書名,書籍網站,作者,出版社,ISBN,圖片網址
中老年人快樂學電腦 （Windows 10+Office 2019/2016）《大字大圖好閱讀，教學影片好上手》,https://www.kingstone.com.tw//basic/2014713607331?zone=book&lid=book_class3_lac&actid=book_class3_lac,鄧文淵、文淵閣工作室,碁峰資訊  ,9789865026554,https://cdn.kingstone.com.tw/book/images/product/20147/2014713607331/2014713607331b.jpg
Windows 電腦入門 快速上手,https://www.kingstone.com.tw//basic/2013120516700?zone=book&lid=book_class3_lac&actid=book_class3_lac,林佳生,易習圖書  ,9789576153891,https://cdn.kingstone.com.tw/book/images/product/20131/2013120516700/2013120516700b.jpg
簡易電腦快速入門,https://www.kingstone.com.tw//basic/2013120500341?zone=book&lid=book_class3_lac&actid=book_class3_lac,林佳生、陳榮展,易習圖書  ,9789576153457,https://cdn.kingstone.com.tw/book/images/product/20131/2013120500341/2013120500341b.jpg
新世代電腦入門,https://www.kingstone.com.tw//basic/2013120417571?zone=book&lid=book_class3_lac&actid=book_class3_lac,林佳生,經瑋      ,9789869409513,https://cdn.kingstone.com.tw/book/images/product/20131/2013120417571/2013120417571b.jpg
密技冰風暴：潘達利亞之謎特別號,https://www.kingstone.com.tw//basic/2014713365156?zone=book&lid=book_class3_lac&actid=book_class3_lac,林偉翔,PC Gamer    ,4717702081676,https://cdn.kingstone.com.tw/book/images/product/20147/2014713365156/2014713365156b.jpg
簡易電腦基礎入門隨手翻,https://www.kingstone.com.tw//basic/2013120457669?zone=book&lid=book_class3_lac&actid=book_class3_lac,林佳生、陳榮展,易習圖書  ,9789869555784,https://cdn.kingstone.com.tw/book/images/product/20131/2013120457669/2013120457669b.jpg
自己的神盾自己做,https://www.kingstone.com.tw//basic/2014480869239?zone=book&lid=book_class3_lac&actid=book_class3_lac,王家林、王家俊、王家虎,佳魁      ,9789863795803,https://cdn.kingstone.com.tw/book/images/product/20144/2014480869239/2014480869239b.jpg
資訊技能與實作,https://www.kingstone.com.tw//basic/2013120446670?zone=book&lid=book_class3_lac&actid=book_class3_lac,劉智偉、王調榮、林柏宇,藍海文化  ,9789866432897,https://cdn.kingstone.com.tw/book/images/product/20131/2013120446670/2013120446670b.jpg
專業聚焦Computer Knowledge Today,https://www.kingstone.com.tw//basic/2013120443174?zone=book&lid=book_class3_lac&actid=book_class3_lac,白乃遠、趙逸萍、洪錦魁等,上奇科技  ,9789869515603,https://cdn.kingstone.com.tw/book/images/product/20131/2013120443174/2013120443174b.jpg
最新版計算機概論：邁向資訊新世代,https://www.kingstone.com.tw//basic/2013120438477?zone=book&lid=book_class3_lac&actid=book_class3_lac,陳德來,上奇科技  ,9789869497299,https://cdn.kingstone.com.tw/book/images/product/20131/2013120438477/2013120438477b.jpg
深度學習快速入門：使用TensorFlow,https://www.kingstone.com.tw//basic/2013120414235?zone=book&lid=book_class3_lac&actid=book_class3_lac,Giancarlo Zaccone,博碩文化  ,9789864341795,https://cdn.kingstone.com.tw/book/images/product/20131/2013120414235/2013120414235b.jpg
第一名的電腦主從熱備，Corosync及Heartbeat的DRBD,https://www.kingstone.com.tw//basic/2013120359512?zone=book&lid=book_class3_lac&actid=book_class3_lac,陶利軍,佳魁      ,9789863792338,https://cdn.kingstone.com.tw/book/images/product/20131/2013120359512/2013120359512b.jpg
