書名,書籍網站,作者,出版社,ISBN,圖片網址
Python：股票演算法交易實務147個關鍵技巧詳解（第二版）,https://www.kingstone.com.tw//basic/2015630688762?zone=book&lid=book_class3_lae&actid=book_class3_lae,酆士昌、劉承彥,博碩文化  ,9789864345670,https://cdn.kingstone.com.tw/book/images/product/20156/2015630688762/2015630688762b.jpg
tf.keras 技術者們必讀！深度學習攻略手冊,https://www.kingstone.com.tw//basic/2013120534780?zone=book&lid=book_class3_lae&actid=book_class3_lae,施威銘研究室,旗標      ,9789863126034,https://cdn.kingstone.com.tw/book/images/product/20131/2013120534780/2013120534780b.jpg
Python：期貨演算法交易實務１３６個關鍵技巧詳解,https://www.kingstone.com.tw//basic/2015630648384?zone=book&lid=book_class3_lae&actid=book_class3_lae,酆士昌、劉承彥,博碩文化  ,9789864344017,https://cdn.kingstone.com.tw/book/images/product/20156/2015630648384/2015630648384b.jpg
圖解區塊鏈,https://www.kingstone.com.tw//basic/2014713541406?zone=book&lid=book_class3_lae&actid=book_class3_lae,徐明星、田穎、李霽月,碁峰資訊  ,9789864766697,https://cdn.kingstone.com.tw/book/images/product/20147/2014713541406/2014713541406b.jpg
快速學會 MetaTrader 5 貨幣交易,https://www.kingstone.com.tw//basic/2015630703137?zone=book&lid=book_class3_lae&actid=book_class3_lae,Dave C、任以能、奕滕,知果文化  ,9789869946735,https://cdn.kingstone.com.tw/book/images/product/20156/2015630703137/2015630703137b.jpg
MetaTrader 5貨幣自動交易 武功祕笈,https://www.kingstone.com.tw//basic/2015630693629?zone=book&lid=book_class3_lae&actid=book_class3_lae,Dave C、任以能、奕滕,易習圖書  ,9789863801191,https://cdn.kingstone.com.tw/book/images/product/20156/2015630693629/2015630693629b.jpg
資訊科技與教學應用：議題、理論與實務,https://www.kingstone.com.tw//basic/2013120580107?zone=book&lid=book_class3_lae&actid=book_class3_lae,吳明隆、林振欽,經瑋      ,9789576154614,https://cdn.kingstone.com.tw/book/images/product/20131/2013120580107/2013120580107b.jpg
輕鬆學會Google TensorFlow 2人工智慧深度學習實作開發（第三版）,https://www.kingstone.com.tw//basic/2013120575240?zone=book&lid=book_class3_lae&actid=book_class3_lae,黃士嘉、林邑撰,博碩文化  ,9789864345540,https://cdn.kingstone.com.tw/book/images/product/20131/2013120575240/2013120575240b.jpg
AI Application in Fashion Trend （英文版）（人工智慧在流行趨勢研究的應用）,https://www.kingstone.com.tw//basic/2013120569881?zone=book&lid=book_class3_lae&actid=book_class3_lae,顏志晃,元華文創  ,9789577111951,https://cdn.kingstone.com.tw/book/images/product/20131/2013120569881/2013120569881b.jpg
人工智慧與影像知識詮釋化,https://www.kingstone.com.tw//basic/2014150492156?zone=book&lid=book_class3_lae&actid=book_class3_lae,羅崇銘,元華文創  ,9789577110916,https://cdn.kingstone.com.tw/book/images/product/20141/2014150492156/2014150492156b.jpg
趨勢未來：機器學習技術實戰醫療大數據深度應用,https://www.kingstone.com.tw//basic/2013120564091?zone=book&lid=book_class3_lae&actid=book_class3_lae,洪松林,深石數位  ,9789865004941,https://cdn.kingstone.com.tw/book/images/product/20131/2013120564091/2013120564091b.jpg
區塊鏈：不可不知的金融大未來,https://www.kingstone.com.tw//basic/2014900173083?zone=book&lid=book_class3_lae&actid=book_class3_lae,陳根,博碩文化  ,9789864344697,https://cdn.kingstone.com.tw/book/images/product/20149/2014900173083/2014900173083b.jpg
圖解Fintech的知識與技術,https://www.kingstone.com.tw//basic/2013120537576?zone=book&lid=book_class3_lae&actid=book_class3_lae,大和總研,碁峰資訊  ,9789865024314,https://cdn.kingstone.com.tw/book/images/product/20131/2013120537576/2013120537576b.jpg
ＮＸ智能製造：電腹D異U加工製造,https://www.kingstone.com.tw//basic/2014400148352?zone=book&lid=book_class3_lae&actid=book_class3_lae,巫靖瑋、王中良,深石數位  ,9789865004491,https://cdn.kingstone.com.tw/book/images/product/20144/2014400148352/2014400148352b.jpg
深度學習的商戰必修課：人工智慧實用案例解析，看35家走在時代尖端的日本企業如何翻轉思考活用AI,https://www.kingstone.com.tw//basic/2013120533608?zone=book&lid=book_class3_lae&actid=book_class3_lae,日經xTREND等,臉譜文化  ,9789862357927,https://cdn.kingstone.com.tw/book/images/product/20131/2013120533608/2013120533608b.jpg
機器學習的數學基礎 ： AI、深度學習打底必讀,https://www.kingstone.com.tw//basic/2013120532946?zone=book&lid=book_class3_lae&actid=book_class3_lae,西內啟,旗標      ,9789863126140,https://cdn.kingstone.com.tw/book/images/product/20131/2013120532946/2013120532946b.jpg
區塊鏈的商業應用成功實例|企業轉型x創新x營收成長,https://www.kingstone.com.tw//basic/2014713590909?zone=book&lid=book_class3_lae&actid=book_class3_lae,Jai Singh Arun等,碁峰資訊  ,9789865022624,https://cdn.kingstone.com.tw/book/images/product/20147/2014713590909/2014713590909b.jpg
機器學習實務|資料科學工作流程與應用程式開發及最佳化,https://www.kingstone.com.tw//basic/2014713589750?zone=book&lid=book_class3_lae&actid=book_class3_lae,Andrew Kelleher等,碁峰資訊  ,9789865023089,https://cdn.kingstone.com.tw/book/images/product/20147/2014713589750/2014713589750b.jpg
全球第一個成熟商用區塊鏈框架（熱銷版）：Hyperledger Fabric實戰,https://www.kingstone.com.tw//basic/2015630656457?zone=book&lid=book_class3_lae&actid=book_class3_lae,楊毅,佳魁      ,9789863797838,https://cdn.kingstone.com.tw/book/images/product/20156/2015630656457/2015630656457b.jpg
TensorFlow 與 Keras － Python 深度學習應用實務,https://www.kingstone.com.tw//basic/2013120516120?zone=book&lid=book_class3_lae&actid=book_class3_lae,陳允傑,旗標      ,9789863126027,https://cdn.kingstone.com.tw/book/images/product/20131/2013120516120/2013120516120b.jpg
資訊科技與教學應用：議題、理論與實務,https://www.kingstone.com.tw//basic/2013120516540?zone=book&lid=book_class3_lae&actid=book_class3_lae,吳明隆、林振欽,易習圖書  ,9789576153877,https://cdn.kingstone.com.tw/book/images/product/20131/2013120516540/2013120516540b.jpg
晉昇軟體最高殿堂：Jenkins2持續整合大師之路,https://www.kingstone.com.tw//basic/2013120515758?zone=book&lid=book_class3_lae&actid=book_class3_lae,翟志軍,深智數位  ,9789869807210,https://cdn.kingstone.com.tw/book/images/product/20131/2013120515758/2013120515758b.jpg
行動通訊╳物聯網：機器通訊M2M搭載LTE技術終端進化,https://www.kingstone.com.tw//basic/2014840047857?zone=book&lid=book_class3_lae&actid=book_class3_lae,朱雪田、趙孝武、宋令陽等,佳魁      ,9789863797623,https://cdn.kingstone.com.tw/book/images/product/20148/2014840047857/2014840047857b.jpg
全圖解！AI知識一本通：用故事讓你三小時輕鬆搞懂人工智慧,https://www.kingstone.com.tw//basic/2013120515598?zone=book&lid=book_class3_lae&actid=book_class3_lae,三宅陽一郎,聯經      ,9789570853551,https://cdn.kingstone.com.tw/book/images/product/20131/2013120515598/2013120515598b.jpg
秒懂金融科技,https://www.kingstone.com.tw//basic/2014713578921?zone=book&lid=book_class3_lae&actid=book_class3_lae,Agustin Rubini,碁峰資訊  ,9789865021481,https://cdn.kingstone.com.tw/book/images/product/20147/2014713578921/2014713578921b.jpg
區塊鏈智能合約與DApp實務應用,https://www.kingstone.com.tw//basic/2014713577849?zone=book&lid=book_class3_lae&actid=book_class3_lae,李昇暾、詹智安,碁峰資訊  ,9789865021108,https://cdn.kingstone.com.tw/book/images/product/20147/2014713577849/2014713577849b.jpg
區塊鏈深入淺出：精選16堂課輕鬆學會智慧合約與加密貨幣,https://www.kingstone.com.tw//basic/2015630640388?zone=book&lid=book_class3_lae&actid=book_class3_lae,陳浩,博碩文化  ,9789864343683,https://cdn.kingstone.com.tw/book/images/product/20156/2015630640388/2015630640388b.jpg
企業級區塊鏈技術開發實戰,https://www.kingstone.com.tw//basic/2014713569486?zone=book&lid=book_class3_lae&actid=book_class3_lae,蔡亮、李啟雷、梁秀波,碁峰資訊  ,9789864769988,https://cdn.kingstone.com.tw/book/images/product/20147/2014713569486/2014713569486b.jpg
全球第一個成熟商用區塊鏈框架：HyperLedger Fabric實戰,https://www.kingstone.com.tw//basic/2015630633427?zone=book&lid=book_class3_lae&actid=book_class3_lae,楊毅,佳魁數位  ,9789863797067,https://cdn.kingstone.com.tw/book/images/product/20156/2015630633427/2015630633427b.jpg
不只是金融商品：區塊鏈技術用程式碼實作,https://www.kingstone.com.tw//basic/2015630630341?zone=book&lid=book_class3_lae&actid=book_class3_lae,黃連金、吳思進、曹鋒、季宙棟,佳魁數位  ,9789863796954,https://cdn.kingstone.com.tw/book/images/product/20156/2015630630341/2015630630341b.jpg
區塊鏈智慧合約開發與安全防護實作,https://www.kingstone.com.tw//basic/2014941558283?zone=book&lid=book_class3_lae&actid=book_class3_lae,田照博,旗標      ,9789863125358,https://cdn.kingstone.com.tw/book/images/product/20149/2014941558283/2014941558283b.jpg
實戰區塊鏈技術|加密貨幣與密碼學,https://www.kingstone.com.tw//basic/2014713553157?zone=book&lid=book_class3_lae&actid=book_class3_lae,王毅丞,碁峰資訊  ,9789864767632,https://cdn.kingstone.com.tw/book/images/product/20147/2014713553157/2014713553157b.jpg
區塊鏈：未來經濟的藍圖,https://www.kingstone.com.tw//basic/2014713545404?zone=book&lid=book_class3_lae&actid=book_class3_lae,Melanie Swan,歐萊禮    ,9789864766895,https://cdn.kingstone.com.tw/book/images/product/20147/2014713545404/2014713545404b.jpg
改變世界的力量：臺灣物聯網大商機（第二版）,https://www.kingstone.com.tw//basic/2014840044351?zone=book&lid=book_class3_lae&actid=book_class3_lae,裴有恆、陳冠伶,博碩文化  ,9789864342556,https://cdn.kingstone.com.tw/book/images/product/20148/2014840044351/2014840044351b.jpg
改變世界的力量：臺灣物聯網大商機,https://www.kingstone.com.tw//basic/2014840038602?zone=book&lid=book_class3_lae&actid=book_class3_lae,裴有恆、陳冠伶,博碩文化  ,9789864341061,https://cdn.kingstone.com.tw/book/images/product/20148/2014840038602/2014840038602b.jpg
無卡無現金時代：網路支付業務規劃設計及實作,https://www.kingstone.com.tw//basic/2015610107023?zone=book&lid=book_class3_lae&actid=book_class3_lae,曹兵强,深智數位  ,9789865501792,https://cdn.kingstone.com.tw/book/images/product/20156/2015610107023/2015610107023b.jpg
輕鬆學會Google TensorFlow 2.0人工智慧深度學習實作開發(第二版),https://www.kingstone.com.tw//basic/2013120534810?zone=book&lid=book_class3_lae&actid=book_class3_lae,黃士嘉、林邑撰,博碩文化  ,9789864344635,https://cdn.kingstone.com.tw/book/images/product/20131/2013120534810/2013120534810b.jpg
輕鬆學會Google TensorFlow 2.0人工智慧深度學習實作開發,https://www.kingstone.com.tw//basic/2013120516960?zone=book&lid=book_class3_lae&actid=book_class3_lae,黃士嘉、林邑撰,博碩文化  ,9789864344178,https://cdn.kingstone.com.tw/book/images/product/20131/2013120516960/2013120516960b.jpg
白話區塊鏈,https://www.kingstone.com.tw//basic/2014713564726?zone=book&lid=book_class3_lae&actid=book_class3_lae,蔣勇、文延、嘉文,碁峰資訊  ,9789864769421,https://cdn.kingstone.com.tw/book/images/product/20147/2014713564726/2014713564726b.jpg
穿戴式裝置,https://www.kingstone.com.tw//basic/2014840046065?zone=book&lid=book_class3_lae&actid=book_class3_lae,徐旺,輕刻      ,9789863796831,https://cdn.kingstone.com.tw/book/images/product/20148/2014840046065/2014840046065b.jpg
多螢幕時代的新平台：虛擬實境的運算世代,https://www.kingstone.com.tw//basic/2013120465572?zone=book&lid=book_class3_lae&actid=book_class3_lae,徐兆吉、馬君、何仲、劉曉宇,佳魁數位  ,9789863796367,https://cdn.kingstone.com.tw/book/images/product/20131/2013120465572/2013120465572b.jpg
IoT物聯網無限商機：產業概論x 實務應用,https://www.kingstone.com.tw//basic/2014713530387?zone=book&lid=book_class3_lae&actid=book_class3_lae,裴有恆、林祐祺,碁峰資訊  ,9789864764624,https://cdn.kingstone.com.tw/book/images/product/20147/2014713530387/2014713530387b.jpg
