書名,書籍網站,作者,出版社,ISBN,圖片網址
跟著樂齡優良教師將手機、平板常見問題一網打盡！,https://www.kingstone.com.tw//basic/2013120486218?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,陳千里,旗標      ,9789863125389,https://cdn.kingstone.com.tw/book/images/product/20131/2013120486218/2013120486218b.jpg
Samsung Galaxy Note 9 完全活用200技,https://www.kingstone.com.tw//basic/2014480873274?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,阿祥、3C布政司,電腦人    ,9789572049068,https://cdn.kingstone.com.tw/book/images/product/20144/2014480873274/2014480873274b.jpg
Samsung Galaxy Note8完全活用200技,https://www.kingstone.com.tw//basic/2014480869079?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,阿祥;3C布政司,電腦人    ,9789861994819,https://cdn.kingstone.com.tw/book/images/product/20144/2014480869079/2014480869079b.jpg
iOS 11+iPhone 8 / X / iPad 完全活用術 － 225個超進化技巧攻略,https://www.kingstone.com.tw//basic/2014713536129?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,i 點子工作室,碁峰資訊  ,9789864766284,https://cdn.kingstone.com.tw/book/images/product/20147/2014713536129/2014713536129b.jpg
動手玩藍牙：用Arduino、Raspberry Pi與智慧型手機打造低功耗藍牙專題,https://www.kingstone.com.tw//basic/2014713518989?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,艾拉斯戴爾．艾倫,馥林文化  ,9789864050390,https://cdn.kingstone.com.tw/book/images/product/20147/2014713518989/2014713518989b.jpg
中老年人愛用APP全收錄 （ 第二版 ）＜適用iOS+Android雙系統手機及平板＞,https://www.kingstone.com.tw//basic/2014713512567?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,鄧文淵總監製、文淵閣工作室,碁峰資訊  ,9789864762989,https://cdn.kingstone.com.tw/book/images/product/20147/2014713512567/2014713512567b.jpg
完全詳解 iPhone 7. 7 Plus + iOS10 活用事典,https://www.kingstone.com.tw//basic/2014480865521?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,poppyplus,旗標      ,9789863123934,https://cdn.kingstone.com.tw/book/images/product/20144/2014480865521/2014480865521b.jpg
一級棒公仔插畫繪製：日本公仔達人向量描繪技法大公開＜限量回饋版＞,https://www.kingstone.com.tw//basic/2013120354982?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,廣まさき,心弦      ,9789869238311,https://cdn.kingstone.com.tw/book/images/product/20131/2013120354982/2013120354982b.jpg
ios Android一書雙修！祕笈寶典,https://www.kingstone.com.tw//basic/2014713469625?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,顧武雄,上奇科技  ,9789863754077,https://cdn.kingstone.com.tw/book/images/product/20147/2014713469625/2014713469625b.jpg
愛上小蘋果！iLife ╳Mac OS一次搞定,https://www.kingstone.com.tw//basic/2014713454348?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,王元綱,博悅博碩,9789869149594,https://cdn.kingstone.com.tw/book/images/product/20147/2014713454348/2014713454348b.jpg
中老年人愛用APP全收錄 ＜ 適用 iOS + Android 雙系統手機及平板＞,https://www.kingstone.com.tw//basic/2014713449641?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,鄧文淵總監製、文淵閣工作室,碁峰資訊  ,9789863475514,https://cdn.kingstone.com.tw/book/images/product/20147/2014713449641/2014713449641b.jpg
一級棒公仔插畫繪製：日本公仔達人向量描繪技法大公開,https://www.kingstone.com.tw//basic/2019450056619?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,廣,博誌文化  ,9789862101056,https://cdn.kingstone.com.tw/book/images/product/20194/2019450056619/2019450056619b.jpg
大字輕鬆讀 誰都能看懂的iPad玩全攻略：FB x Line x 娛樂x生活應用（隨書附影音DVD ）,https://www.kingstone.com.tw//basic/2014713417626?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,陳千里、吳銘崧,碁峰資訊  ,9789863470113,https://cdn.kingstone.com.tw/book/images/product/20147/2014713417626/2014713417626b.jpg
iPad Air / iPad mini 完全活用術 － 220 個超進化技巧攻略,https://www.kingstone.com.tw//basic/2014713416124?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,i 點子工作室,碁峰資訊  ,9789863470649,https://cdn.kingstone.com.tw/book/images/product/20147/2014713416124/2014713416124b.jpg
iPhone與iPad這樣玩才有趣！輕鬆學會180個你早該會的超實用技巧：iOS 7速解強化版,https://www.kingstone.com.tw//basic/2014480846599?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,小雲,博碩文化  ,9789862018330,https://cdn.kingstone.com.tw/book/images/product/20144/2014480846599/2014480846599b.jpg
用iPhone拍出高質感照片的魔法技巧,https://www.kingstone.com.tw//basic/2019520060584?zone=book&lid=book_class3_lbb&actid=book_class3_lbb,名鹿祥史、本田光一,瑞昇文化  ,9789865957919,https://cdn.kingstone.com.tw/book/images/product/20195/2019520060584/2019520060584b.jpg
