書名,書籍網站,作者,出版社,ISBN,圖片網址
我也要當 YouTuber（第二版）：百萬粉絲網紅不能說的秘密－拍片、剪輯、直播與宣傳實戰大揭密,https://www.kingstone.com.tw//basic/2014713615084?zone=book&lid=book_class3_lbc&actid=book_class3_lbc,鄧文淵(總監製),碁峰資訊  ,9789865027926,https://cdn.kingstone.com.tw/book/images/product/20147/2014713615084/2014713615084b.jpg
網紅養成手冊|內容行銷x拍攝技巧x廣告收入,https://www.kingstone.com.tw//basic/2014840048779?zone=book&lid=book_class3_lbc&actid=book_class3_lbc,染谷昌利， 木村博史,碁峰資訊  ,9789865023256,https://cdn.kingstone.com.tw/book/images/product/20148/2014840048779/2014840048779b.jpg
玩轉社群：文字大數據實作,https://www.kingstone.com.tw//basic/2013120525245?zone=book&lid=book_class3_lbc&actid=book_class3_lbc,謝邦昌,五南      ,9789577636706,https://cdn.kingstone.com.tw/book/images/product/20131/2013120525245/2013120525245b.jpg
我也要當YouTuber！百萬粉絲網紅不能說的秘密：拍片、剪輯、直播與宣傳實戰大揭密,https://www.kingstone.com.tw//basic/2014713574183?zone=book&lid=book_class3_lbc&actid=book_class3_lbc,鄧文淵總監製、文淵閣工作室編,碁峰資訊  ,9789865020651,https://cdn.kingstone.com.tw/book/images/product/20147/2014713574183/2014713574183b.jpg
大字大圖解：快樂用Facebook+LINE,https://www.kingstone.com.tw//basic/2014713567192?zone=book&lid=book_class3_lbc&actid=book_class3_lbc,鄧文淵總監製、文淵閣工作室編,碁峰資訊  ,9789864769889,https://cdn.kingstone.com.tw/book/images/product/20147/2014713567192/2014713567192b.jpg
LINE@生活圈大解構：操作攻略手冊,https://www.kingstone.com.tw//basic/2013120468658?zone=book&lid=book_class3_lbc&actid=book_class3_lbc,黃兆偉、Cecilia,四塊玉文創,9789578587250,https://cdn.kingstone.com.tw/book/images/product/20131/2013120468658/2013120468658b.jpg
LINE動態貼圖SOP全破解：角色企劃+ Crazytalk Animator 3動畫軟體實作 + 開戶上架一本搞定！,https://www.kingstone.com.tw//basic/2013120445888?zone=book&lid=book_class3_lbc&actid=book_class3_lbc,NiNi老師(謝昊霓),深石數位  ,9789865000059,https://cdn.kingstone.com.tw/book/images/product/20131/2013120445888/2013120445888b.jpg
史上最強！LINE動態貼圖：設計、行銷、經營必殺技,https://www.kingstone.com.tw//basic/2014713509604?zone=book&lid=book_class3_lbc&actid=book_class3_lbc,吳宜瑾,博碩文化  ,9789864341696,https://cdn.kingstone.com.tw/book/images/product/20147/2014713509604/2014713509604b.jpg
LINE動態貼圖自己畫|6~9小時讓你擁有圓夢的商機！,https://www.kingstone.com.tw//basic/2014713505866?zone=book&lid=book_class3_lbc&actid=book_class3_lbc,漂漂老師、蔡雅琦,碁峰資訊  ,9789864761920,https://cdn.kingstone.com.tw/book/images/product/20147/2014713505866/2014713505866b.jpg
部落格．網誌人氣排名提升與行銷的不傳秘技,https://www.kingstone.com.tw//basic/2013120121843?zone=book&lid=book_class3_lbc&actid=book_class3_lbc,許清榮,博碩文化  ,9789862013427,https://cdn.kingstone.com.tw/book/images/product/20131/2013120121843/2013120121843b.jpg
