書名,書籍網站,作者,出版社,ISBN,圖片網址
快速學會 Google 全新體驗,https://www.kingstone.com.tw//basic/2013120587991?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,林佳生,知果文化  ,9789860622539,https://cdn.kingstone.com.tw/book/images/product/20131/2013120587991/2013120587991b.jpg
數位家庭網路與居家安全監視  設計寶典,https://www.kingstone.com.tw//basic/2013120585447?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,石維寬、梁文耀、鄭憲宗、蔡智強,經瑋      ,9789576154621,https://cdn.kingstone.com.tw/book/images/product/20131/2013120585447/2013120585447b.jpg
Google網際網路輕鬆學,https://www.kingstone.com.tw//basic/2015233153414?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,蘇清得,宏全資訊  ,9789869901000,https://cdn.kingstone.com.tw/book/images/product/20152/2015233153414/2015233153414b.jpg
翻倍效率工作術：不會就太可惜的Excel必學圖表（第二版） （大數據時代必備的圖表視覺分析術！）,https://www.kingstone.com.tw//basic/2013120541801?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,鄧文淵、文淵閣工作室,碁峰資訊  ,9789865024611,https://cdn.kingstone.com.tw/book/images/product/20131/2013120541801/2013120541801b.jpg
翻倍效率工作術：不會就太可惜的Google超極限應用（第四版）,https://www.kingstone.com.tw//basic/2014713591371?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,鄧文淵總監製,碁峰資訊  ,9789865023430,https://cdn.kingstone.com.tw/book/images/product/20147/2014713591371/2014713591371b.jpg
MAC超密技！省時省力的APPLE工作術,https://www.kingstone.com.tw//basic/2013120465732?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,蘋果仁編輯群,一心文化  ,9789869530620,https://cdn.kingstone.com.tw/book/images/product/20131/2013120465732/2013120465732b.jpg
用手機一分鐘做貼圖！大家一起LINE拍貼！,https://www.kingstone.com.tw//basic/2014713543110?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,漂漂老師、蔡雅琦,碁峰資訊  ,9789864766376,https://cdn.kingstone.com.tw/book/images/product/20147/2014713543110/2014713543110b.jpg
再來一本Lumion的書：挑戰四十分鐘做動畫,https://www.kingstone.com.tw//basic/2013120454583?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,陳力欣,太陽系數位,9789869475525,https://cdn.kingstone.com.tw/book/images/product/20131/2013120454583/2013120454583b.jpg
快速掌握VR基本功：從概念到應用－使用Unity打造虛擬世界 附影片教學與範例素材檔－適用Unity5.X,https://www.kingstone.com.tw//basic/2014713536389?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,歐陽芳泉 惡魔遊戲人團隊,台科大    ,9789864555079,https://cdn.kingstone.com.tw/book/images/product/20147/2014713536389/2014713536389b.jpg
SOEZ2u 多媒體學園電子書 －－ Google 全體驗雲端應用,https://www.kingstone.com.tw//basic/2014713517937?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,林佳生,經瑋      ,9789869409599,https://cdn.kingstone.com.tw/book/images/product/20147/2014713517937/2014713517937b.jpg
數位時代的端士刀來了：Arduino開創物聯網大局,https://www.kingstone.com.tw//basic/2014713510273?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,楊佩璐,佳魁      ,9789863794363,https://cdn.kingstone.com.tw/book/images/product/20147/2014713510273/2014713510273b.jpg
VR來了！第一本虛擬實境專書：VR發展史、當紅產品介紹、未來應用解析,https://www.kingstone.com.tw//basic/2014840039814?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,才華有限實驗室,寫樂文化  ,4712966621132,https://cdn.kingstone.com.tw/book/images/product/20148/2014840039814/2014840039814b.jpg
Evernote 100個做筆記的好方法：數位化重整你的工作與人生（全新增訂版）,https://www.kingstone.com.tw//basic/2013120393738?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,電腦玩物站長,創意市集  ,9789869337649,https://cdn.kingstone.com.tw/book/images/product/20131/2013120393738/2013120393738b.jpg
VR來了！第一本虛擬實境專書：VR發展史、當紅產品介紹、未來應用解析【限量隨書贈送VR精靈眼鏡乙副】,https://www.kingstone.com.tw//basic/2014840039524?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,才華有限實驗室,寫樂文化  ,9789869251457,https://cdn.kingstone.com.tw/book/images/product/20148/2014840039524/2014840039524b.jpg
EVERNOTE最強活用術：你Never Know 的１４７個實用筆記,https://www.kingstone.com.tw//basic/2014713490148?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,酆士昌,博碩文化  ,9789864341139,https://cdn.kingstone.com.tw/book/images/product/20147/2014713490148/2014713490148b.jpg
Google超活用點子集：搞定工作.生活大小事,https://www.kingstone.com.tw//basic/2013120374256?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,施威銘研究室,旗標      ,9789863123149,https://cdn.kingstone.com.tw/book/images/product/20131/2013120374256/2013120374256b.jpg
Apple TV 好好玩：蘋果達人暗藏的 Apple TV 進擊攻略,https://www.kingstone.com.tw//basic/2014480856826?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,蘋果梗,博誌文化  ,9789862101490,https://cdn.kingstone.com.tw/book/images/product/20144/2014480856826/2014480856826b.jpg
第一次用筆電就上手|選購x雲端應用x重灌還原x維護,https://www.kingstone.com.tw//basic/2014713433862?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,孫維康,碁峰資訊  ,9789863472995,https://cdn.kingstone.com.tw/book/images/product/20147/2014713433862/2014713433862b.jpg
畫說Evernote數位記事本：管理生活大小事,https://www.kingstone.com.tw//basic/2013120303515?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,潘奕萍,書泉      ,9789861219233,https://cdn.kingstone.com.tw/book/images/product/20131/2013120303515/2013120303515b.jpg
3D列印決勝未來,https://www.kingstone.com.tw//basic/2014770086063?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,蘇英嘉,五南      ,9789571176550,https://cdn.kingstone.com.tw/book/images/product/20147/2014770086063/2014770086063b.jpg
Dropbox.Evernote.Google高效率雲端工作術,https://www.kingstone.com.tw//basic/2013120299689?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,詹博仁,旗標      ,9789863122074,https://cdn.kingstone.com.tw/book/images/product/20131/2013120299689/2013120299689b.jpg
Evernote雲端整理術：提升記事效率的137個實用筆記,https://www.kingstone.com.tw//basic/2013120278523?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,酆士昌,博碩文化  ,9789862018439,https://cdn.kingstone.com.tw/book/images/product/20131/2013120278523/2013120278523b.jpg
數位出版：未來主義者的宣言,https://www.kingstone.com.tw//basic/2014713410122?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,Hugh McGuire-Brian O`Leary,歐萊禮    ,9789862769867,https://cdn.kingstone.com.tw/book/images/product/20147/2014713410122/2014713410122b.jpg
Google雲端工作術：提升工作效能的160個實用技巧,https://www.kingstone.com.tw//basic/2013120269408?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,酆士昌,博碩文化  ,9789862018217,https://cdn.kingstone.com.tw/book/images/product/20131/2013120269408/2013120269408b.jpg
CPLD數位邏輯設計（附VCD影音教學光碟）,https://www.kingstone.com.tw//basic/2013120008922?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,林全財,台科大    ,9789863083894,https://cdn.kingstone.com.tw/book/images/product/20131/2013120008922/2013120008922b.jpg
數位影音製作：新世代影音內容創作寶典,https://www.kingstone.com.tw//basic/2019870095557?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,蔡念中,五南      ,9789571165288,https://cdn.kingstone.com.tw/book/images/product/20198/2019870095557/2019870095557b.jpg
Google全球走透透－不為人知密笈,https://www.kingstone.com.tw//basic/2014713319289?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,林佳生,易習圖書  ,9789866025266,https://cdn.kingstone.com.tw/book/images/product/20147/2014713319289/2014713319289b.jpg
圖說電子書&數位閱讀,https://www.kingstone.com.tw//basic/2014870009627?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,潘奕萍,書泉      ,9789861217178,https://cdn.kingstone.com.tw/book/images/product/20148/2014870009627/2014870009627b.jpg
You Tube 好好玩 隨手翻,https://www.kingstone.com.tw//basic/2014712993701?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,林佳生,知城      ,9789866850424,https://cdn.kingstone.com.tw/book/images/product/20147/2014712993701/2014712993701b.jpg
一天遊遍100大網站,https://www.kingstone.com.tw//basic/2014712286483?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,吳維淇,科博館    ,9789574592920,https://cdn.kingstone.com.tw/book/images/product/20147/2014712286483/2014712286483b.jpg
翻倍效率工作術：不會就太可惜的Google超極限應用(第三版),https://www.kingstone.com.tw//basic/2014713549952?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,鄧文淵總監製、文淵閣工作室編,碁峰資訊  ,9789864767625,https://cdn.kingstone.com.tw/book/images/product/20147/2014713549952/2014713549952b.jpg
從玩家到工程師：VR全視界開發實戰,https://www.kingstone.com.tw//basic/2013120462816?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,冀盼、謝懿德,佳魁數位  ,9789863796275,https://cdn.kingstone.com.tw/book/images/product/20131/2013120462816/2013120462816b.jpg
網站可靠性工程|Google的系統管理之道,https://www.kingstone.com.tw//basic/2014713538093?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,Betsy Beyer等,歐萊禮    ,9789864766253,https://cdn.kingstone.com.tw/book/images/product/20147/2014713538093/2014713538093b.jpg
人類無極限-智慧家居產品的全面革新,https://www.kingstone.com.tw//basic/2014840043699?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,向忠宏,輕刻      ,9789863795681,https://cdn.kingstone.com.tw/book/images/product/20148/2014840043699/2014840043699b.jpg
Google [G Suite] for Education上課趣－文件、試算表、簡報、雲端教室完全活用,https://www.kingstone.com.tw//basic/2013120418653?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,江軍、葉俞佛,博碩文化  ,9789864341870,https://cdn.kingstone.com.tw/book/images/product/20131/2013120418653/2013120418653b.jpg
Google輕鬆玩，漫步在雲端！一定要學會的Google應用密技200+招(2017最新版),https://www.kingstone.com.tw//basic/2013120417281?zone=book&lid=book_class3_lbz&actid=book_class3_lbz,黃建庭,松崗      ,9789572246207,https://cdn.kingstone.com.tw/book/images/product/20131/2013120417281/2013120417281b.jpg
