書名,書籍網站,作者,出版社,ISBN,圖片網址
企業資安裁罰案件分析：深度解析27個實際案件，靈活運用資安策略（iT邦幫忙鐵人賽系列書）,https://www.kingstone.com.tw//basic/2013120596986?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,彭偉鎧,博碩文化  ,9789864348527,https://cdn.kingstone.com.tw/book/images/product/20131/2013120596986/2013120596986b.jpg
生活資安五四三！：從生活周遭看風險與資訊安全（iT邦幫忙鐵人賽系列書）,https://www.kingstone.com.tw//basic/2013120581579?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,iThome資安主編 羅正漢,博碩文化  ,9789864347445,https://cdn.kingstone.com.tw/book/images/product/20131/2013120581579/2013120581579b.jpg
資訊安全概論與實務（第三版）,https://www.kingstone.com.tw//basic/2014713377937?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,潘天佑,碁峰資訊  ,9789862766644,https://cdn.kingstone.com.tw/book/images/product/20147/2014713377937/2014713377937b.jpg
改變歷史的加密訊息（iT邦幫忙鐵人賽系列書）,https://www.kingstone.com.tw//basic/2013120582491?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,彭偉皓,博碩文化  ,9789864347469,https://cdn.kingstone.com.tw/book/images/product/20131/2013120582491/2013120582491b.jpg
力抗暗黑：Azure 資安天使的逆襲（iT邦幫忙鐵人賽系列書）,https://www.kingstone.com.tw//basic/2013120580817?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,葛明淞,博碩文化  ,9789864347414,https://cdn.kingstone.com.tw/book/images/product/20131/2013120580817/2013120580817b.jpg
駭客廝殺不講武德：CTF強者攻防大戰直擊,https://www.kingstone.com.tw//basic/2013120576322?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,Nu1L戰隊,深智數位  ,9789865501723,https://cdn.kingstone.com.tw/book/images/product/20131/2013120576322/2013120576322b.jpg
突破困境：資安開源工具應用（iT邦幫忙鐵人賽系列書）,https://www.kingstone.com.tw//basic/2013120569751?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,鄭郁霖（Jason Cheng）,博碩文化  ,9789864345465,https://cdn.kingstone.com.tw/book/images/product/20131/2013120569751/2013120569751b.jpg
資安專家的nmap與NSE網路診斷與掃描技巧大公開,https://www.kingstone.com.tw//basic/2014713550811?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,陳明照,碁峰資訊  ,9789864767984,https://cdn.kingstone.com.tw/book/images/product/20147/2014713550811/2014713550811b.jpg
極黑駭客專用的OS：Kali Linux2無差別全網滲透,https://www.kingstone.com.tw//basic/2013120593930?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,李華峰,深智數位  ,9789860776072,https://cdn.kingstone.com.tw/book/images/product/20131/2013120593930/2013120593930b.jpg
駭客就在你旁邊：內網安全攻防滲透你死我活,https://www.kingstone.com.tw//basic/2013120589315?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,徐焱、賈曉璐,深智數位  ,9789860776010,https://cdn.kingstone.com.tw/book/images/product/20131/2013120589315/2013120589315b.jpg
嵌入式網路處理器安全系統建置設計寶典,https://www.kingstone.com.tw//basic/2013120592148?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,鄭伯炤、曹爾凱、鄭雅文,經瑋      ,9789576154720,https://cdn.kingstone.com.tw/book/images/product/20131/2013120592148/2013120592148b.jpg
Windows APT Warfare：惡意程式前線戰術指南,https://www.kingstone.com.tw//basic/2013120585867?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,aaaddress1（馬聖豪）,博碩文化  ,9789864347544,https://cdn.kingstone.com.tw/book/images/product/20131/2013120585867/2013120585867b.jpg
Web開發者一定要懂的駭客攻防術,https://www.kingstone.com.tw//basic/2014713613370?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,Malcolm McDonald,碁峰資訊  ,9789865027407,https://cdn.kingstone.com.tw/book/images/product/20147/2014713613370/2014713613370b.jpg
零信任網路：在不受信任的網路中建構安全系統,https://www.kingstone.com.tw//basic/2014713606549?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,Evan Gilman,歐萊禮    ,9789865026332,https://cdn.kingstone.com.tw/book/images/product/20147/2014713606549/2014713606549b.jpg
資訊生活安全、行動智慧應用與網駭實務,https://www.kingstone.com.tw//basic/2013120561465?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,王旭正、李榮三、魏國瑞,博碩文化  ,9789864345205,https://cdn.kingstone.com.tw/book/images/product/20131/2013120561465/2013120561465b.jpg
Flags創客‧自造者工作坊資安衛士破解駭客戲法,https://www.kingstone.com.tw//basic/2013120555716?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,施威銘研究室,旗標      ,4712946750821,https://cdn.kingstone.com.tw/book/images/product/20131/2013120555716/2013120555716b.jpg
Windows駭客程式設計：勒索病毒原理篇 （第二冊）,https://www.kingstone.com.tw//basic/2013120547773?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,北極星,博碩文化  ,9789864344888,https://cdn.kingstone.com.tw/book/images/product/20131/2013120547773/2013120547773b.jpg
Windows駭客程式設計：駭客攻防及惡意程式研發基礎修行篇,https://www.kingstone.com.tw//basic/2013120534940?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,北極星,博碩文化  ,9789864344680,https://cdn.kingstone.com.tw/book/images/product/20131/2013120534940/2013120534940b.jpg
Kali Linux滲透測試工具第三版|花小錢做資安，你也是防駭高手,https://www.kingstone.com.tw//basic/2014713591791?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,陳明照,碁峰資訊  ,9789865023584,https://cdn.kingstone.com.tw/book/images/product/20147/2014713591791/2014713591791b.jpg
駭客自首：極惡網路攻擊的內幕技巧,https://www.kingstone.com.tw//basic/2013120528581?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,林椏泉,深智數位  ,9789865501082,https://cdn.kingstone.com.tw/book/images/product/20131/2013120528581/2013120528581b.jpg
Bash資安管理手冊,https://www.kingstone.com.tw//basic/2014713591111?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,Paul Troncone等,歐萊禮    ,9789865023232,https://cdn.kingstone.com.tw/book/images/product/20147/2014713591111/2014713591111b.jpg
Windows駭客程式設計：勒索病毒加密篇,https://www.kingstone.com.tw//basic/2013120527409?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,北極星,博碩文化  ,9789864344512,https://cdn.kingstone.com.tw/book/images/product/20131/2013120527409/2013120527409b.jpg
資安專家談Wireshark|Wireshark與Metasploit整合應用,https://www.kingstone.com.tw//basic/2014713557865?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,Jessey Bullock- Jeff T. Parker,碁峰資訊  ,9789864768660,https://cdn.kingstone.com.tw/book/images/product/20147/2014713557865/2014713557865b.jpg
駭客的修練|使用IDA Pro進行底層分析第二版,https://www.kingstone.com.tw//basic/2014713542748?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,秋聲&北極星編輯群,碁峰資訊  ,9789864766796,https://cdn.kingstone.com.tw/book/images/product/20147/2014713542748/2014713542748b.jpg
打造安全無虞的網站－使用ModSecurity,https://www.kingstone.com.tw//basic/2013120447332?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,吳惠麟,博碩文化  ,9789864342518,https://cdn.kingstone.com.tw/book/images/product/20131/2013120447332/2013120447332b.jpg
資安風險評估指南第三版,https://www.kingstone.com.tw//basic/2014713532671?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,Chris McNab,歐萊禮    ,9789864765478,https://cdn.kingstone.com.tw/book/images/product/20147/2014713532671/2014713532671b.jpg
圖解密碼學與比特幣原理,https://www.kingstone.com.tw//basic/2014713508102?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,結城浩,碁峰資訊  ,9789864761937,https://cdn.kingstone.com.tw/book/images/product/20147/2014713508102/2014713508102b.jpg
誰說手機防毒要用買的？自己寫Android全防位防護服務,https://www.kingstone.com.tw//basic/2014480863787?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,王家林、王家俊、王家虎,佳魁      ,9789863793823,https://cdn.kingstone.com.tw/book/images/product/20144/2014480863787/2014480863787b.jpg
Android Hacker，s Handbook駭客攻防聖經,https://www.kingstone.com.tw//basic/2013120345317?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,Joshua J. Drake,博碩文化  ,9789864340439,https://cdn.kingstone.com.tw/book/images/product/20131/2013120345317/2013120345317b.jpg
實戰網路安全監控|入侵偵測與因應之道,https://www.kingstone.com.tw//basic/2014713434814?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,Richard Bejtlich,碁峰資訊  ,9789863472766,https://cdn.kingstone.com.tw/book/images/product/20147/2014713434814/2014713434814b.jpg
你的手機中毒了！搶救上網變慢、異常耗電、APP閃當、簡訊發不了的隱藏危機,https://www.kingstone.com.tw//basic/2014480850954?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,Yu-Zhen Wang,尖端      ,9789571056692,https://cdn.kingstone.com.tw/book/images/product/20144/2014480850954/2014480850954b.jpg
網路安全概論與實務－－開源碼架構之網路安全防禦解密,https://www.kingstone.com.tw//basic/2014713421661?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,陳嘉玫、吳惠麟,碁峰資訊  ,9789863470601,https://cdn.kingstone.com.tw/book/images/product/20147/2014713421661/2014713421661b.jpg
安全之美：深入探索卓越安全專家的思維,https://www.kingstone.com.tw//basic/2014713347756?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,Andy Oram&John Viega,歐萊禮    ,9789862764213,https://cdn.kingstone.com.tw/book/images/product/20147/2014713347756/2014713347756b.jpg
企業級的網路安全架構－終極防駭技術大剖析,https://www.kingstone.com.tw//basic/2014713345592?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,諶璽,博碩文化  ,9789862015919,https://cdn.kingstone.com.tw/book/images/product/20147/2014713345592/2014713345592b.jpg
雲端資安與隱私：企業風險應對之道,https://www.kingstone.com.tw//basic/2014713341594?zone=book&lid=book_class3_lcb&actid=book_class3_lcb,Tim Mather-Shahed Latif,歐萊禮    ,9789862764763,https://cdn.kingstone.com.tw/book/images/product/20147/2014713341594/2014713341594b.jpg
