書名,書籍網站,作者,出版社,ISBN,圖片網址
最完整5G技術架構白皮書,https://www.kingstone.com.tw//basic/2014480875148?zone=book&lid=book_class3_lcc&actid=book_class3_lcc,張傳福、趙立英、張宇,深智數位  ,9789869772693,https://cdn.kingstone.com.tw/book/images/product/20144/2014480875148/2014480875148b.jpg
圖解TCP/IP,https://www.kingstone.com.tw//basic/2013120593220?zone=book&lid=book_class3_lcc&actid=book_class3_lcc,吳燦銘,博碩文化  ,9789864347933,https://cdn.kingstone.com.tw/book/images/product/20131/2013120593220/2013120593220b.jpg
Wireshark實戰演練與網路封包分析寶典,https://www.kingstone.com.tw//basic/2013120579538?zone=book&lid=book_class3_lcc&actid=book_class3_lcc,陳雲龍,博碩文化  ,9789864345793,https://cdn.kingstone.com.tw/book/images/product/20131/2013120579538/2013120579538b.jpg
IPFS原理與實戰,https://www.kingstone.com.tw//basic/2014713604385?zone=book&lid=book_class3_lcc&actid=book_class3_lcc,董天一、戴嘉樂、黃禹銘,碁峰資訊  ,9789865026363,https://cdn.kingstone.com.tw/book/images/product/20147/2014713604385/2014713604385b.jpg
超端智慧型：高畫質視訊監控系統應用（好評絕賣版）,https://www.kingstone.com.tw//basic/2014480878064?zone=book&lid=book_class3_lcc&actid=book_class3_lcc,潘國輝,上奇科技  ,9789865004897,https://cdn.kingstone.com.tw/book/images/product/20144/2014480878064/2014480878064b.jpg
5G革命,https://www.kingstone.com.tw//basic/2014713602251?zone=book&lid=book_class3_lcc&actid=book_class3_lcc,許宏金,碁峰資訊  ,9789865025656,https://cdn.kingstone.com.tw/book/images/product/20147/2014713602251/2014713602251b.jpg
社群網站的資料探勘 第三版,https://www.kingstone.com.tw//basic/2014713602091?zone=book&lid=book_class3_lcc&actid=book_class3_lcc,Matthew A. Russell,歐萊禮    ,9789865026035,https://cdn.kingstone.com.tw/book/images/product/20147/2014713602091/2014713602091b.jpg
Kubernetes最佳實務,https://www.kingstone.com.tw//basic/2014713598035?zone=book&lid=book_class3_lcc&actid=book_class3_lcc,Brendan Burns,歐萊禮    ,9789865024918,https://cdn.kingstone.com.tw/book/images/product/20147/2014713598035/2014713598035b.jpg
網路代理人理論與實務設計寶典,https://www.kingstone.com.tw//basic/2013120542433?zone=book&lid=book_class3_lcc&actid=book_class3_lcc,竇其仁、林志敏、林正敏,易習圖書  ,9789576154256,https://cdn.kingstone.com.tw/book/images/product/20131/2013120542433/2013120542433b.jpg
數位轉型IT大健診：全面性能測試方案－系統效能穩定的必備良藥,https://www.kingstone.com.tw//basic/2013120532076?zone=book&lid=book_class3_lcc&actid=book_class3_lcc,陳紹英、周志龍、金成姬,佳魁      ,9789863797951,https://cdn.kingstone.com.tw/book/images/product/20131/2013120532076/2013120532076b.jpg
