書名,書籍網站,作者,出版社,ISBN,圖片網址
大話AWS雲端架構：雲端應用架構圖解輕鬆學,https://www.kingstone.com.tw//basic/2013120563339?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,李秉鴻、周廷諺、李建德、何,博碩文化  ,9789864345137,https://cdn.kingstone.com.tw/book/images/product/20131/2013120563339/2013120563339b.jpg
圖解雲端技術的原理與商業應用,https://www.kingstone.com.tw//basic/2014713618290?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,西村泰洋,碁峰資訊  ,9789865028633,https://cdn.kingstone.com.tw/book/images/product/20147/2014713618290/2014713618290b.jpg
巨型服務架構：分布式/資料庫優化/記憶體快取設計/IO模型,https://www.kingstone.com.tw//basic/2013120590014?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,易哥,深智數位  ,9789860776003,https://cdn.kingstone.com.tw/book/images/product/20131/2013120590014/2013120590014b.jpg
APCS大學程式設計先修檢測：Ｃ語言超效解題致勝祕笈（暢銷回饋版）,https://www.kingstone.com.tw//basic/2013120573376?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,吳燦銘,博碩文化  ,9789864345533,https://cdn.kingstone.com.tw/book/images/product/20131/2013120573376/2013120573376b.jpg
超強Google雲端應用：贏家必勝技能與行銷方程式【暢銷回饋版】,https://www.kingstone.com.tw//basic/2013120570580?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,鄭苑鳳,博碩文化  ,9789864345502,https://cdn.kingstone.com.tw/book/images/product/20131/2013120570580/2013120570580b.jpg
AWS實戰：快速開發、建立和部署應用程式,https://www.kingstone.com.tw//basic/2013120527959?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,Aurobindo Sarkar等,博碩文化  ,9789864344376,https://cdn.kingstone.com.tw/book/images/product/20131/2013120527959/2013120527959b.jpg
Spring Cloud：極致精巧的微服務架構開發技術,https://www.kingstone.com.tw//basic/2014713587916?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,翟永超,佳魁      ,9789863797777,https://cdn.kingstone.com.tw/book/images/product/20147/2014713587916/2014713587916b.jpg
雲端運算概論,https://www.kingstone.com.tw//basic/2013120376960?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,廖文華,五南      ,9789571185583,https://cdn.kingstone.com.tw/book/images/product/20131/2013120376960/2013120376960b.jpg
整合地理資訊技術之物聯網系統開發（基礎入門篇）,https://www.kingstone.com.tw//basic/2014713619242?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,曹永忠,千華駐    ,9789575927530,https://cdn.kingstone.com.tw/book/images/product/20147/2014713619242/2014713619242b.jpg
超前部署企業雲 非懂不可：最強圖解虛擬化，openstack企業雲一日即成,https://www.kingstone.com.tw//basic/2013120584495?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,羅偉立、楊文智,深石數位  ,9789865005252,https://cdn.kingstone.com.tw/book/images/product/20131/2013120584495/2013120584495b.jpg
實戰VMware vSphere 7部署與管理,https://www.kingstone.com.tw//basic/2014713614902?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,顧武雄,碁峰資訊  ,9789865027797,https://cdn.kingstone.com.tw/book/images/product/20147/2014713614902/2014713614902b.jpg
比Docker再高階一步：使用Harbor完成Helm Chart容器及鏡像雲端原生管理,https://www.kingstone.com.tw//basic/2013120582521?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,張海寧、鄒佳、王岩、尹文開,深智數位  ,9789865501891,https://cdn.kingstone.com.tw/book/images/product/20131/2013120582521/2013120582521b.jpg
網際網路資源與雲端服務的12堂必修課（2版）,https://www.kingstone.com.tw//basic/2013120580947?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,陳德來,上奇科技  ,9789865005191,https://cdn.kingstone.com.tw/book/images/product/20131/2013120580947/2013120580947b.jpg
基礎架構即程式碼|管理雲端伺服器,https://www.kingstone.com.tw//basic/2014713605627?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,Kief Morris,歐萊禮    ,9789864763382,https://cdn.kingstone.com.tw/book/images/product/20147/2014713605627/2014713605627b.jpg
和艦長一起 30 天玩轉 GitLab（iT邦幫忙鐵人賽系列書）,https://www.kingstone.com.tw//basic/2013120565623?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,陳正瑋,博碩文化  ,9789864345311,https://cdn.kingstone.com.tw/book/images/product/20131/2013120565623/2013120565623b.jpg
原來世界是這樣運轉的：微服務架構原理與實戰,https://www.kingstone.com.tw//basic/2013120563889?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,吳治輝,深智數位  ,9789865501563,https://cdn.kingstone.com.tw/book/images/product/20131/2013120563889/2013120563889b.jpg
實況直播：用Docker建構大型資料中心,https://www.kingstone.com.tw//basic/2013120560093?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,馬獻章,深智數位  ,9789865501518,https://cdn.kingstone.com.tw/book/images/product/20131/2013120560093/2013120560093b.jpg
雲端發展與重要創新應用,https://www.kingstone.com.tw//basic/2013120539570?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,數位新知有限公司,深石數位  ,9789865004552,https://cdn.kingstone.com.tw/book/images/product/20131/2013120539570/2013120539570b.jpg
機器學習開發神器！Google Cloud Platform 雲端開發應用超入門,https://www.kingstone.com.tw//basic/2013120526617?zone=book&lid=book_class3_lcf&actid=book_class3_lcf,阿佐志保  、 中井悅司,旗標      ,9789863126133,https://cdn.kingstone.com.tw/book/images/product/20131/2013120526617/2013120526617b.jpg
