書名,書籍網站,作者,出版社,ISBN,圖片網址
快速學會 Flash 動畫視覺設計,https://www.kingstone.com.tw//basic/2013120580527?zone=book&lid=book_class3_lda&actid=book_class3_lda,林國棟,知果文化  ,9789869946797,https://cdn.kingstone.com.tw/book/images/product/20131/2013120580527/2013120580527b.jpg
Flash CC 武功祕笈,https://www.kingstone.com.tw//basic/2013120552630?zone=book&lid=book_class3_lda&actid=book_class3_lda,趙雅芝,易習圖書  ,9789863801016,https://cdn.kingstone.com.tw/book/images/product/20131/2013120552630/2013120552630b.jpg
學會多媒體設計的12堂黃金入門課：免費軟體活用教室,https://www.kingstone.com.tw//basic/2013120527669?zone=book&lid=book_class3_lda&actid=book_class3_lda,鄭苑鳳,博碩文化  ,9789864344574,https://cdn.kingstone.com.tw/book/images/product/20131/2013120527669/2013120527669b.jpg
遊戲動畫 高手,https://www.kingstone.com.tw//basic/2013120526907?zone=book&lid=book_class3_lda&actid=book_class3_lda,林佳生,易習圖書  ,9789863800644,https://cdn.kingstone.com.tw/book/images/product/20131/2013120526907/2013120526907b.jpg
徹底研究Flash CC（書+光碟不分售）,https://www.kingstone.com.tw//basic/2013120448414?zone=book&lid=book_class3_lda&actid=book_class3_lda,Adobe Creative Team,上奇科技  ,9789869523769,https://cdn.kingstone.com.tw/book/images/product/20131/2013120448414/2013120448414b.jpg
跟Adobe徹底研究Flash CC,https://www.kingstone.com.tw//basic/2013120414495?zone=book&lid=book_class3_lda&actid=book_class3_lda,Russell Chun,上奇科技  ,9789863759058,https://cdn.kingstone.com.tw/book/images/product/20131/2013120414495/2013120414495b.jpg
Flash創意社群遊戲製作so easy！,https://www.kingstone.com.tw//basic/2013120411579?zone=book&lid=book_class3_lda&actid=book_class3_lda,李長沛,上奇科技  ,9789863758709,https://cdn.kingstone.com.tw/book/images/product/20131/2013120411579/2013120411579b.jpg
跟Adobe徹底研究Flash CC[熱銷回饋版],https://www.kingstone.com.tw//basic/2013120375178?zone=book&lid=book_class3_lda&actid=book_class3_lda,Adobe Creative Team,上奇科技  ,9789863756583,https://cdn.kingstone.com.tw/book/images/product/20131/2013120375178/2013120375178b.jpg
Flash動畫設計標準教科書（適用CC/CS6） （附範例/近650分鐘影音教學）,https://www.kingstone.com.tw//basic/2014713461889?zone=book&lid=book_class3_lda&actid=book_class3_lda,白乃遠、劉長儒、余秉學等,碁峰資訊  ,9789863476696,https://cdn.kingstone.com.tw/book/images/product/20147/2014713461889/2014713461889b.jpg
Flash CS6動畫設計應用集（第三版）,https://www.kingstone.com.tw//basic/2013120339088?zone=book&lid=book_class3_lda&actid=book_class3_lda,鄭苑鳳,博碩文化  ,9789864340224,https://cdn.kingstone.com.tw/book/images/product/20131/2013120339088/2013120339088b.jpg
