書名,書籍網站,作者,出版社,ISBN,圖片網址
打造集客瘋潮的微電影行銷術（第二版）：影音剪輯實戰ｘ行動影音剪輯ｘ特效處理ｘ微電影實作ｘ影音社群行,https://www.kingstone.com.tw//basic/2013120594852?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,鄭苑鳳,博碩文化  ,9789864347964,https://cdn.kingstone.com.tw/book/images/product/20131/2013120594852/2013120594852b.jpg
After Effects全面攻佔：影片動畫製作剪輯超密技精粹,https://www.kingstone.com.tw//basic/2013120570610?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,李燕秋、陳啟維,深石數位  ,9789865004989,https://cdn.kingstone.com.tw/book/images/product/20131/2013120570610/2013120570610b.jpg
用媒體萌生影音特效剪輯創作的故事,https://www.kingstone.com.tw//basic/2013120435131?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,李佳欣、陳棖輝,佳魁      ,9789863795216,https://cdn.kingstone.com.tw/book/images/product/20131/2013120435131/2013120435131b.jpg
快速學會 Windows 影音、相片、生活、娛樂,https://www.kingstone.com.tw//basic/2013120588073?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,林佳生,知果文化  ,9789860622546,https://cdn.kingstone.com.tw/book/images/product/20131/2013120588073/2013120588073b.jpg
第一次學影片調色調光就上手,https://www.kingstone.com.tw//basic/2014713602961?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,Charles Haine,碁峰資訊  ,9789865025908,https://cdn.kingstone.com.tw/book/images/product/20147/2014713602961/2014713602961b.jpg
Cartoon Animator 4一天完成動畫短片：打造專屬你的2D偶像,https://www.kingstone.com.tw//basic/2014713600677?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,漂漂老師 蔡雅琦、黃天恩,碁峰資訊  ,9789865023492,https://cdn.kingstone.com.tw/book/images/product/20147/2014713600677/2014713600677b.jpg
Vegas Pro 武功祕笈,https://www.kingstone.com.tw//basic/2013120545229?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,王國衛,易習圖書  ,9789863800835,https://cdn.kingstone.com.tw/book/images/product/20131/2013120545229/2013120545229b.jpg
ActionScript 動畫程式 設計寶典,https://www.kingstone.com.tw//basic/2013120516830?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,蔡國強,易習圖書  ,9789576153907,https://cdn.kingstone.com.tw/book/images/product/20131/2013120516830/2013120516830b.jpg
解析！多媒體概論與實務應用,https://www.kingstone.com.tw//basic/2013120510708?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,數位新知,深石數位  ,9789865003944,https://cdn.kingstone.com.tw/book/images/product/20131/2013120510708/2013120510708b.jpg
Vegas Pro 數位視訊剪輯設計寶典,https://www.kingstone.com.tw//basic/2013120500211?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,王國衛,易習圖書  ,9789576153440,https://cdn.kingstone.com.tw/book/images/product/20131/2013120500211/2013120500211b.jpg
解析！多媒體概論與實務應用（第5版）,https://www.kingstone.com.tw//basic/2013120483682?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,梁采汝,上奇科技  ,9789865002800,https://cdn.kingstone.com.tw/book/images/product/20131/2013120483682/2013120483682b.jpg
跟Adobe徹底研究Creative Cloud影音剪輯（第三版）,https://www.kingstone.com.tw//basic/2013120420694?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,Adobe Creative Team,上奇科技  ,9789863759218,https://cdn.kingstone.com.tw/book/images/product/20131/2013120420694/2013120420694b.jpg
彩繪天堂Painter15數位插畫輕鬆學,https://www.kingstone.com.tw//basic/2013120339118?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,吳宜瑾,博碩文化  ,9789864340262,https://cdn.kingstone.com.tw/book/images/product/20131/2013120339118/2013120339118b.jpg
定格動畫：如何製作與分享創意影片,https://www.kingstone.com.tw//basic/2014170111761?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,梅爾文．特南,龍溪國際圖,9789867022820,https://cdn.kingstone.com.tw/book/images/product/20141/2014170111761/2014170111761b.jpg
Mirage幻影大師－－影像大視界,https://www.kingstone.com.tw//basic/2014713432520?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,陳俊宏,碁峰資訊  ,9789863471684,https://cdn.kingstone.com.tw/book/images/product/20147/2014713432520/2014713432520b.jpg
PhotoCap 6有趣的影像世界,https://www.kingstone.com.tw//basic/2013120308985?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,夏天工作室,小石頭    ,9789868663077,https://cdn.kingstone.com.tw/book/images/product/20131/2013120308985/2013120308985b.jpg
玩設計：數位視覺再進化,https://www.kingstone.com.tw//basic/2014713429247?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,傑森．岑蘭堤斯,流行風    ,4717702087012,https://cdn.kingstone.com.tw/book/images/product/20147/2014713429247/2014713429247b.jpg
AppCross電子書速習手冊：不用學程式碼，7天學會最實用的InDesign電子書設計,https://www.kingstone.com.tw//basic/2014770085851?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,陳吉清、樂閱科技,博碩文化  ,9789862019269,https://cdn.kingstone.com.tw/book/images/product/20147/2014770085851/2014770085851b.jpg
GIPM影像繪圖好好玩,https://www.kingstone.com.tw//basic/2014713398093?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,謝芊宇,小石頭    ,9789868663053,https://cdn.kingstone.com.tw/book/images/product/20147/2014713398093/2014713398093b.jpg
ImageART圖庫精選集（37）,https://www.kingstone.com.tw//basic/2013120003712?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,哲也研究室,再生      ,4712839502568,https://cdn.kingstone.com.tw/book/images/product/20131/2013120003712/2013120003712b.jpg
數位照片、音樂、影片的編修與管理 快易通,https://www.kingstone.com.tw//basic/2014713265555?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,林佳生,易習圖書  ,9789866154393,https://cdn.kingstone.com.tw/book/images/product/20147/2014713265555/2014713265555b.jpg
我是小導演Free影音秀,https://www.kingstone.com.tw//basic/2014713230164?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,王俊隆,小石頭    ,9789868185999,https://cdn.kingstone.com.tw/book/images/product/20147/2014713230164/2014713230164b.jpg
iBook新手學多媒體設計影音書（附SOEZ,https://www.kingstone.com.tw//basic/2014713179579?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,曾莉雯,知城      ,9789866551628,https://cdn.kingstone.com.tw/book/images/product/20147/2014713179579/2014713179579b.jpg
多媒體概論（第三版）,https://www.kingstone.com.tw//basic/2014713142054?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,鄭苑鳳,博碩文化  ,9789862012239,https://cdn.kingstone.com.tw/book/images/product/20147/2014713142054/2014713142054b.jpg
你能懂－多媒體,https://www.kingstone.com.tw//basic/2013120032071?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,鄒景平,大塊      ,9789578468641,https://cdn.kingstone.com.tw/book/images/product/20131/2013120032071/2013120032071b.jpg
打造集客瘋潮的微電影行銷術：影音剪輯實戰ｘ行動影音剪輯ｘ特效處理ｘ微電影實作ｘ影音社群行銷(暢,https://www.kingstone.com.tw//basic/2013120574038?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,鄭苑鳳,博碩文化  ,9789864345717,https://cdn.kingstone.com.tw/book/images/product/20131/2013120574038/2013120574038b.jpg
Windows 數位影音 快速上手,https://www.kingstone.com.tw//basic/2013120536654?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,林佳生,易習圖書  ,9789576154126,https://cdn.kingstone.com.tw/book/images/product/20131/2013120536654/2013120536654b.jpg
打造集客瘋潮的微電影行銷術：影音剪輯實戰ｘ行動影音剪輯ｘ特效處理ｘ微電影實作ｘ影音社群行銷,https://www.kingstone.com.tw//basic/2013120498969?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,鄭苑鳳,博碩文化  ,9789864343706,https://cdn.kingstone.com.tw/book/images/product/20131/2013120498969/2013120498969b.jpg
剪輯特效Easy Go,https://www.kingstone.com.tw//basic/2013120484474?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,葉人豪,佳魁      ,9789863797111,https://cdn.kingstone.com.tw/book/images/product/20131/2013120484474/2013120484474b.jpg
Final Cut Pro X活用萬事通：Mac影音剪輯一本就學會！(暢銷回饋版),https://www.kingstone.com.tw//basic/2013120445208?zone=book&lid=book_class3_ldz&actid=book_class3_ldz,蘋果梗,博碩文化  ,9789864342426,https://cdn.kingstone.com.tw/book/images/product/20131/2013120445208/2013120445208b.jpg
