書名,書籍網站,作者,出版社,ISBN,圖片網址
Photoshop超完美入門（暢銷第二版）【CC適用】,https://www.kingstone.com.tw//basic/2014713621283?zone=book&lid=book_class3_lec&actid=book_class3_lec,Yumi Makino,碁峰資訊  ,9789865029104,https://cdn.kingstone.com.tw/book/images/product/20147/2014713621283/2014713621283b.jpg
Photoshop完美編修設計事典,https://www.kingstone.com.tw//basic/2014713577399?zone=book&lid=book_class3_lec&actid=book_class3_lec,永雅也、高橋等,碁峰資訊  ,9789865021023,https://cdn.kingstone.com.tw/book/images/product/20147/2014713577399/2014713577399b.jpg
靈感百分百！Photoshop + Illustrator 超犀利特效與創意風格技法,https://www.kingstone.com.tw//basic/2013120521667?zone=book&lid=book_class3_lec&actid=book_class3_lec,楠田諭史,旗標      ,9789863125976,https://cdn.kingstone.com.tw/book/images/product/20131/2013120521667/2013120521667b.jpg
Photoshop CC必學教本：數位影像編修與設計（範例光碟）,https://www.kingstone.com.tw//basic/2013120578456?zone=book&lid=book_class3_lec&actid=book_class3_lec,全華研究室、王麗琴,全華      ,9789865035594,https://cdn.kingstone.com.tw/book/images/product/20131/2013120578456/2013120578456b.jpg
Photoshop設計好入門（CC適用）,https://www.kingstone.com.tw//basic/2013120541511?zone=book&lid=book_class3_lec&actid=book_class3_lec,Socym editorial division,碁峰資訊  ,9789865024550,https://cdn.kingstone.com.tw/book/images/product/20131/2013120541511/2013120541511b.jpg
跟Adobe徹底研究Photoshop  Lightroom CC,https://www.kingstone.com.tw//basic/2013120538238?zone=book&lid=book_class3_lec&actid=book_class3_lec,RC Concepcion,深石數位  ,9789865004514,https://cdn.kingstone.com.tw/book/images/product/20131/2013120538238/2013120538238b.jpg
跟Adobe徹底研究Photoshop CC,https://www.kingstone.com.tw//basic/2013120509429?zone=book&lid=book_class3_lec&actid=book_class3_lec,Andrew Faulkner 等,深石數位  ,9789865003883,https://cdn.kingstone.com.tw/book/images/product/20131/2013120509429/2013120509429b.jpg
Photoshop×Illustrator×InDesign商業平面設計一次搞定,https://www.kingstone.com.tw//basic/2014713572219?zone=book&lid=book_class3_lec&actid=book_class3_lec,楊馥庭(庭庭老師),碁峰資訊  ,9789865020538,https://cdn.kingstone.com.tw/book/images/product/20147/2014713572219/2014713572219b.jpg
設計職人必修：Photoshop+Illustrator圖案與背景設計快速攻略,https://www.kingstone.com.tw//basic/2013120452619?zone=book&lid=book_class3_lec&actid=book_class3_lec,下田和政,旗標      ,9789863124559,https://cdn.kingstone.com.tw/book/images/product/20131/2013120452619/2013120452619b.jpg
教你如何畫出「奇幻風格」用PHOTOSHOP創造觸動人心的場景！,https://www.kingstone.com.tw//basic/2019560013137?zone=book&lid=book_class3_lec&actid=book_class3_lec,清水洋,尖端      ,9789571076300,https://cdn.kingstone.com.tw/book/images/product/20195/2019560013137/2019560013137b.jpg
