書名,書籍網站,作者,出版社,ISBN,圖片網址
Illustrator設計幫幫忙：解決現場問題的速查即效事典（CC/CS6/CS5/CS4/CS3） （增訂版）,https://www.kingstone.com.tw//basic/2014713557315?zone=book&lid=book_class3_led&actid=book_class3_led,生田 信一/ヤマダジュンヤ,碁峰資訊  ,9789864767847,https://cdn.kingstone.com.tw/book/images/product/20147/2014713557315/2014713557315b.jpg
Illustrator CC數位繪圖與插畫設計（含ACA－Illustrator CC國際認證完全模擬與解題）,https://www.kingstone.com.tw//basic/2014713523976?zone=book&lid=book_class3_led&actid=book_class3_led,ACA世界競賽冠軍隊講師,碁峰資訊  ,9789864763801,https://cdn.kingstone.com.tw/book/images/product/20147/2014713523976/2014713523976b.jpg
Illustrator超完美入門（適用CC/CS6/CS5）,https://www.kingstone.com.tw//basic/2014713525130?zone=book&lid=book_class3_led&actid=book_class3_led,高野雅弘,碁峰資訊  ,9789864764297,https://cdn.kingstone.com.tw/book/images/product/20147/2014713525130/2014713525130b.jpg
Illustrator向量圖形設計,https://www.kingstone.com.tw//basic/2013120572614?zone=book&lid=book_class3_led&actid=book_class3_led,鄭苑鳳,博碩文化  ,9789864345588,https://cdn.kingstone.com.tw/book/images/product/20131/2013120572614/2013120572614b.jpg
Illustrator CC 向量設計 高手,https://www.kingstone.com.tw//basic/2015260029164?zone=book&lid=book_class3_led&actid=book_class3_led,趙雅芝,易習圖書  ,9789863801283,https://cdn.kingstone.com.tw/book/images/product/20152/2015260029164/2015260029164b.jpg
Inkscape+TinkerCad繪圖超簡單,https://www.kingstone.com.tw//basic/2011410017951?zone=book&lid=book_class3_led&actid=book_class3_led,夏天工作室,巨岩      ,9789869630719,https://cdn.kingstone.com.tw/book/images/product/20114/2011410017951/2011410017951b.jpg
跟我學Illustrator CC一定要會的美工繪圖技巧－第二版（CC/CS6適用）,https://www.kingstone.com.tw//basic/2014713593405?zone=book&lid=book_class3_led&actid=book_class3_led,志凌資訊 劉緻儀,碁峰資訊  ,9789865023904,https://cdn.kingstone.com.tw/book/images/product/20147/2014713593405/2014713593405b.jpg
Illustrator設計好入門（CC適用）,https://www.kingstone.com.tw//basic/2014713593665?zone=book&lid=book_class3_led&actid=book_class3_led,mille-design,碁峰資訊  ,9789865023836,https://cdn.kingstone.com.tw/book/images/product/20147/2014713593665/2014713593665b.jpg
跟Adobe徹底研究Illustrator CC,https://www.kingstone.com.tw//basic/2013120523791?zone=book&lid=book_class3_led&actid=book_class3_led,侯策、顏海鏡,深石數位  ,9789865004224,https://cdn.kingstone.com.tw/book/images/product/20131/2013120523791/2013120523791b.jpg
精彩 Adobe Illustratror CC 製作向量視覺創意,https://www.kingstone.com.tw//basic/2013120509269?zone=book&lid=book_class3_led&actid=book_class3_led,趙雅芝,易習圖書  ,9789576153754,https://cdn.kingstone.com.tw/book/images/product/20131/2013120509269/2013120509269b.jpg
Illustrator CC 從入門到精通：玩轉AI 設計風華的16堂課,https://www.kingstone.com.tw//basic/2013120499591?zone=book&lid=book_class3_led&actid=book_class3_led,鄭苑鳳,深石數位  ,9789865003661,https://cdn.kingstone.com.tw/book/images/product/20131/2013120499591/2013120499591b.jpg
