書名,書籍網站,作者,出版社,ISBN,圖片網址
快速學你的CLIP STUDIO PAINT,https://www.kingstone.com.tw//basic/2013120516410?zone=book&lid=book_class3_lez&actid=book_class3_lez,張三,飛燕文創  ,9789865402365,https://cdn.kingstone.com.tw/book/images/product/20131/2013120516410/2013120516410b.jpg
CLIP STUDIO PAINT筆刷素材集：由雲朵、街景到質感,https://www.kingstone.com.tw//basic/2019560016763?zone=book&lid=book_class3_lez&actid=book_class3_lez,Zounose、角丸圓,北星      ,9789579559256,https://cdn.kingstone.com.tw/book/images/product/20195/2019560016763/2019560016763b.jpg
教你如何畫出「角色背景」  用CLIP STUDIO PAINT創造傳達人物心思的風景！,https://www.kingstone.com.tw//basic/2013120528161?zone=book&lid=book_class3_lez&actid=book_class3_lez,清水洋,尖端      ,9789571087863,https://cdn.kingstone.com.tw/book/images/product/20131/2013120528161/2013120528161b.jpg
超神！輕鬆成為Line貼圖達人：神奇繪法Ｘ上架教學Ｘ銷售分析 Ｘ 行銷秘訣,https://www.kingstone.com.tw//basic/2019560016503?zone=book&lid=book_class3_lez&actid=book_class3_lez,林立坤,博碩文化  ,9789864344291,https://cdn.kingstone.com.tw/book/images/product/20195/2019560016503/2019560016503b.jpg
2D動畫的數位繪製大進擊：初心者Good Job微動創養成祕技,https://www.kingstone.com.tw//basic/2013120495463?zone=book&lid=book_class3_lez&actid=book_class3_lez,劉怡君、謝珮雯,深石數位  ,9789865003456,https://cdn.kingstone.com.tw/book/images/product/20131/2013120495463/2013120495463b.jpg
數位相片編修聖經 第二版,https://www.kingstone.com.tw//basic/2019520060164?zone=book&lid=book_class3_lez&actid=book_class3_lez,施威銘工作室,旗標      ,1020100000020,https://cdn.kingstone.com.tw/book/images/product/20195/2019520060164/2019520060164b.jpg
2D動畫的數位繪製大進擊（2版）：初心者Good Job微動創養成祕技,https://www.kingstone.com.tw//basic/2013120577404?zone=book&lid=book_class3_lez&actid=book_class3_lez,劉怡君、謝珮雯,上奇科技  ,9789865005092,https://cdn.kingstone.com.tw/book/images/product/20131/2013120577404/2013120577404b.jpg
Inkscape+Tinkercad小創客動手畫,https://www.kingstone.com.tw//basic/2015233153124?zone=book&lid=book_class3_lez&actid=book_class3_lez,蘇清得,宏全資訊  ,9789869461252,https://cdn.kingstone.com.tw/book/images/product/20152/2015233153124/2015233153124b.jpg
After Effects 高級特效技術手冊十大插件應用精粹,https://www.kingstone.com.tw//basic/2013120538078?zone=book&lid=book_class3_lez&actid=book_class3_lez,白乃遠、黃文興、陳冠鵬,深石數位  ,9789865004521,https://cdn.kingstone.com.tw/book/images/product/20131/2013120538078/2013120538078b.jpg
Adobe Lightroom CC－從攝影到編修（熱銷版）：調色、潤色、風格、三位一體,https://www.kingstone.com.tw//basic/2019520080148?zone=book&lid=book_class3_lez&actid=book_class3_lez,白乃遠、黃文興,上奇科技  ,9789865004477,https://cdn.kingstone.com.tw/book/images/product/20195/2019520080148/2019520080148b.jpg
