書名,書籍網站,作者,出版社,ISBN,圖片網址
3ds Max 2021遊戲建模與動畫設計（熱銷版）,https://www.kingstone.com.tw//basic/2013210002236?zone=book&lid=book_class3_lfd&actid=book_class3_lfd,張家盛,上奇科技  ,9789865005382,https://cdn.kingstone.com.tw/book/images/product/20132/2013210002236/2013210002236b.jpg
Autodesk Revit 2020建築設計入門與案例實作（附240分鐘基礎關鍵影音教學/範例檔）,https://www.kingstone.com.tw//basic/2014713608123?zone=book&lid=book_class3_lfd&actid=book_class3_lfd,邱聰倚、姚家琦、劉庭佑,碁峰資訊  ,9789865026523,https://cdn.kingstone.com.tw/book/images/product/20147/2014713608123/2014713608123b.jpg
Cartoon Animator ４動態製作全攻略,https://www.kingstone.com.tw//basic/2013120534230?zone=book&lid=book_class3_lfd&actid=book_class3_lfd,謝昊霓(NiNi老師),深石數位  ,9789865004286,https://cdn.kingstone.com.tw/book/images/product/20131/2013120534230/2013120534230b.jpg
3ds Max實務操作手冊（熱銷版）,https://www.kingstone.com.tw//basic/2013120597648?zone=book&lid=book_class3_lfd&actid=book_class3_lfd,許村翔,上奇科技  ,9789865005375,https://cdn.kingstone.com.tw/book/images/product/20131/2013120597648/2013120597648b.jpg
3ds Max 2021室內設計速繪與V－Ray絕佳亮眼展現,https://www.kingstone.com.tw//basic/2014713615664?zone=book&lid=book_class3_lfd&actid=book_class3_lfd,邱聰倚、姚家琦、劉庭佑,碁峰資訊  ,9789865027452,https://cdn.kingstone.com.tw/book/images/product/20147/2014713615664/2014713615664b.jpg
3D列印：積層製造技術與應用（第二版）,https://www.kingstone.com.tw//basic/2013120584105?zone=book&lid=book_class3_lfd&actid=book_class3_lfd,鄭正元、江卓培、林宗翰、林榮信,全華      ,9789865036331,https://cdn.kingstone.com.tw/book/images/product/20131/2013120584105/2013120584105b.jpg
3ds Max 動畫製作高手,https://www.kingstone.com.tw//basic/2013120574328?zone=book&lid=book_class3_lfd&actid=book_class3_lfd,elearningDJ,易習圖書  ,9789863801337,https://cdn.kingstone.com.tw/book/images/product/20131/2013120574328/2013120574328b.jpg
3ds Max 2021遊戲建模與動畫設計,https://www.kingstone.com.tw//basic/2013120562417?zone=book&lid=book_class3_lfd&actid=book_class3_lfd,張家盛,深石數位  ,9789865004880,https://cdn.kingstone.com.tw/book/images/product/20131/2013120562417/2013120562417b.jpg
3ds Max 2020 動畫設計快速入門,https://www.kingstone.com.tw//basic/2014713601599?zone=book&lid=book_class3_lfd&actid=book_class3_lfd,邱聰倚、姚家琦、吳華等,碁峰資訊  ,9789865025571,https://cdn.kingstone.com.tw/book/images/product/20147/2014713601599/2014713601599b.jpg
3ds Max 實務操作手冊,https://www.kingstone.com.tw//basic/2013120555976?zone=book&lid=book_class3_lfd&actid=book_class3_lfd,許村翔,深石數位  ,9789865004859,https://cdn.kingstone.com.tw/book/images/product/20131/2013120555976/2013120555976b.jpg
