書名,書籍網站,作者,出版社,ISBN,圖片網址
教你如何畫出「透亮肌膚」：mignon親自傳授肌膚著色電繪技巧祕訣,https://www.kingstone.com.tw//basic/2013120585577?zone=book&lid=book_class3_lfz&actid=book_class3_lfz,mignon,尖端      ,9789571097398,https://cdn.kingstone.com.tw/book/images/product/20131/2013120585577/2013120585577b.jpg
職人繪師CG繪圖技術講座（Vol.3）講師：DSマイル,https://www.kingstone.com.tw//basic/2019479965831?zone=book&lid=book_class3_lfz&actid=book_class3_lfz,DSマイル,更生文化  ,9789869944649,https://cdn.kingstone.com.tw/book/images/product/20194/2019479965831/2019479965831b.jpg
動畫輕鬆做（極薦版）：iClone全功能實戰攻略,https://www.kingstone.com.tw//basic/2013120597808?zone=book&lid=book_class3_lfz&actid=book_class3_lfz,張嘉仁,上奇科技  ,9789865005412,https://cdn.kingstone.com.tw/book/images/product/20131/2013120597808/2013120597808b.jpg
這是一本SketchUp to LayOut的書：用一半時間畫兩套彩色施工圖,https://www.kingstone.com.tw//basic/2013120569041?zone=book&lid=book_class3_lfz&actid=book_class3_lfz,林芷如,太陽系數位,9789869475570,https://cdn.kingstone.com.tw/book/images/product/20131/2013120569041/2013120569041b.jpg
SketchUp 2020/2021室內設計速繪與V－Ray絕佳亮眼彩現（附220分鐘影音教學/範例）,https://www.kingstone.com.tw//basic/2014713618740?zone=book&lid=book_class3_lfz&actid=book_class3_lfz,邱聰倚、姚家琦、劉庭佑,碁峰資訊  ,9789865028626,https://cdn.kingstone.com.tw/book/images/product/20147/2014713618740/2014713618740b.jpg
超Easy！Blender 3D繪圖設計速成包含3D列印技巧（第二版）（附MOSME）,https://www.kingstone.com.tw//basic/2013120583313?zone=book&lid=book_class3_lfz&actid=book_class3_lfz,倪慧君,台科大    ,9789865232115,https://cdn.kingstone.com.tw/book/images/product/20131/2013120583313/2013120583313b.jpg
MasterCam 2021 輔助製造高手,https://www.kingstone.com.tw//basic/2014460213250?zone=book&lid=book_class3_lfz&actid=book_class3_lfz,周曉龍,易習圖書  ,9789863801238,https://cdn.kingstone.com.tw/book/images/product/20144/2014460213250/2014460213250b.jpg
MasterCam 2021 實戰演練,https://www.kingstone.com.tw//basic/2014460212208?zone=book&lid=book_class3_lfz&actid=book_class3_lfz,陳俊鴻,經瑋      ,9789576154430,https://cdn.kingstone.com.tw/book/images/product/20144/2014460212208/2014460212208b.jpg
Creo Parametric 6.0 零件設計進階篇,https://www.kingstone.com.tw//basic/2014400148772?zone=book&lid=book_class3_lfz&actid=book_class3_lfz,梁景華,易習圖書  ,9789576154089,https://cdn.kingstone.com.tw/book/images/product/20144/2014400148772/2014400148772b.jpg
Creo Parametric 6.0 零件設計基礎篇,https://www.kingstone.com.tw//basic/2014400147430?zone=book&lid=book_class3_lfz&actid=book_class3_lfz,梁景華,易習圖書  ,9789576154027,https://cdn.kingstone.com.tw/book/images/product/20144/2014400147430/2014400147430b.jpg
