書名,書籍網站,作者,出版社,ISBN,圖片網址
舞動倉頡輸入法,https://www.kingstone.com.tw//basic/2013120587861?zone=book&lid=book_class3_lga&actid=book_class3_lga,數位內容工作室,經瑋      ,9789576154652,https://cdn.kingstone.com.tw/book/images/product/20131/2013120587861/2013120587861b.jpg
倉頡輸入法 武功祕笈,https://www.kingstone.com.tw//basic/2013120561915?zone=book&lid=book_class3_lga&actid=book_class3_lga,周森森,易習圖書  ,9789863800903,https://cdn.kingstone.com.tw/book/images/product/20131/2013120561915/2013120561915b.jpg
快速學會 倉頡輸入法,https://www.kingstone.com.tw//basic/2013120602076?zone=book&lid=book_class3_lga&actid=book_class3_lga,數位內容工作室,知果文化  ,9789860622522,https://cdn.kingstone.com.tw/book/images/product/20131/2013120602076/2013120602076b.jpg
中英數輸入實力養成暨評量（2021年版）,https://www.kingstone.com.tw//basic/2014713618320?zone=book&lid=book_class3_lga&actid=book_class3_lga,財團法人中華民國電腦技能基金會,碁峰資訊  ,9789865028442,https://cdn.kingstone.com.tw/book/images/product/20147/2014713618320/2014713618320b.jpg
中英數輸入實力養成暨評量（2019年版）,https://www.kingstone.com.tw//basic/2014713579423?zone=book&lid=book_class3_lga&actid=book_class3_lga,財團法人電腦技能基金會,碁峰資訊  ,9789865021542,https://cdn.kingstone.com.tw/book/images/product/20147/2014713579423/2014713579423b.jpg
DIY自創自己的中文輸入法,https://www.kingstone.com.tw//basic/2013120492387?zone=book&lid=book_class3_lga&actid=book_class3_lga,蘇勝宏,德威國際  ,9789865756970,https://cdn.kingstone.com.tw/book/images/product/20131/2013120492387/2013120492387b.jpg
中英數輸入實力養成暨評量（2018年版）,https://www.kingstone.com.tw//basic/2014713551993?zone=book&lid=book_class3_lga&actid=book_class3_lga,財團法人中華民國電腦技能基金會,碁峰資訊  ,9789864768042,https://cdn.kingstone.com.tw/book/images/product/20147/2014713551993/2014713551993b.jpg
中英數輸入實力養成暨評量（2017年版）,https://www.kingstone.com.tw//basic/2014713519931?zone=book&lid=book_class3_lga&actid=book_class3_lga,中華民國電腦技能基金會,碁峰資訊  ,9789864763702,https://cdn.kingstone.com.tw/book/images/product/20147/2014713519931/2014713519931b.jpg
中文輸入實力養成暨評量（2017年版）,https://www.kingstone.com.tw//basic/2014713520050?zone=book&lid=book_class3_lga&actid=book_class3_lga,中華民國電腦技能基金會,碁峰資訊  ,9789864763849,https://cdn.kingstone.com.tw/book/images/product/20147/2014713520050/2014713520050b.jpg
Typing Credential 英文輸入訓練認證教材（附英文輸入國際認證練習系統） － 最新版,https://www.kingstone.com.tw//basic/2013120270787?zone=book&lid=book_class3_lga&actid=book_class3_lga,e檢研究小組,台科大    ,9789863085942,https://cdn.kingstone.com.tw/book/images/product/20131/2013120270787/2013120270787b.jpg
倉頡,https://www.kingstone.com.tw//basic/2015390155566?zone=book&lid=book_class3_lga&actid=book_class3_lga,周濯街,國家      ,9789573613657,https://cdn.kingstone.com.tw/book/images/product/20153/2015390155566/2015390155566b.jpg
中文輸入好好玩,https://www.kingstone.com.tw//basic/2013120179394?zone=book&lid=book_class3_lga&actid=book_class3_lga,蘇勝宏,德威國際  ,9789866153310,https://cdn.kingstone.com.tw/book/images/product/20131/2013120179394/2013120179394b.jpg
電腦中文字碼便覽,https://www.kingstone.com.tw//basic/2013120093805?zone=book&lid=book_class3_lga&actid=book_class3_lga,蘇勝宏,德威國際  ,9789866498183,https://cdn.kingstone.com.tw/book/images/product/20131/2013120093805/2013120093805b.jpg
倉頡碼隨意通,https://www.kingstone.com.tw//basic/2014712877414?zone=book&lid=book_class3_lga&actid=book_class3_lga,蘇勝宏,三遠文化  ,9789861277066,https://cdn.kingstone.com.tw/book/images/product/20147/2014712877414/2014712877414b.jpg
舞動倉頡輸入法,https://www.kingstone.com.tw//basic/2013120548305?zone=book&lid=book_class3_lga&actid=book_class3_lga,數位內容工作室,易習圖書  ,9789576154225,https://cdn.kingstone.com.tw/book/images/product/20131/2013120548305/2013120548305b.jpg
舞動倉頡輸入法,https://www.kingstone.com.tw//basic/2013120493209?zone=book&lid=book_class3_lga&actid=book_class3_lga,數位內容工作室,易習圖書  ,9789578755871,https://cdn.kingstone.com.tw/book/images/product/20131/2013120493209/2013120493209b.jpg
舞動倉頡輸入法,https://www.kingstone.com.tw//basic/2013120470859?zone=book&lid=book_class3_lga&actid=book_class3_lga,數位內容工作室,易習圖書  ,9789578755321,https://cdn.kingstone.com.tw/book/images/product/20131/2013120470859/2013120470859b.jpg
舞動倉頡輸入法,https://www.kingstone.com.tw//basic/2013120440128?zone=book&lid=book_class3_lga&actid=book_class3_lga,數位內容工作室,易習圖書  ,9789869496346,https://cdn.kingstone.com.tw/book/images/product/20131/2013120440128/2013120440128b.jpg
全字庫中文倉頡輸入法,https://www.kingstone.com.tw//basic/2013120426986?zone=book&lid=book_class3_lga&actid=book_class3_lga,謝振孟,上奇科技  ,9789863759867,https://cdn.kingstone.com.tw/book/images/product/20131/2013120426986/2013120426986b.jpg
