書名,書籍網站,作者,出版社,ISBN,圖片網址
Excel 公式+函數職場專用超級辭典【暢銷第二版】：新人、老鳥到大師級部D搨n的速查指引,https://www.kingstone.com.tw//basic/2013120594562?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,王國勝,電腦人    ,9789572049174,https://cdn.kingstone.com.tw/book/images/product/20131/2013120594562/2013120594562b.jpg
Excel自學聖經：從完整入門到職場活用的技巧與實例大全（附商業分析資料取得與整合超值影片/範例/速查,https://www.kingstone.com.tw//basic/2014713597373?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,鄧文淵、文淵閣工作室,碁峰資訊  ,9789865025182,https://cdn.kingstone.com.tw/book/images/product/20147/2014713597373/2014713597373b.jpg
【圖解】零基礎入門Excel╳Python高效工作術：輕鬆匯入大量資料、交叉分析、繪製圖表，連PDF轉檔都能自動化處理，讓效率倍增,https://www.kingstone.com.tw//basic/2013120598300?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,金宏和實,采實文化  ,9789865074753,https://cdn.kingstone.com.tw/book/images/product/20131/2013120598300/2013120598300b.jpg
Excel職場首選360技：一定會用到的各式報表製作超效率解答（第二版）,https://www.kingstone.com.tw//basic/2014713517487?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,杭琳、汪智、朱艷秋,電腦人    ,4717702095895,https://cdn.kingstone.com.tw/book/images/product/20147/2014713517487/2014713517487b.jpg
翻倍效率工作術：不會就太可惜的Excel+Power BI大數據視覺圖表設計與分析（第二版）,https://www.kingstone.com.tw//basic/2013120534490?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,鄧文淵 總監製,碁峰資訊  ,9789865024048,https://cdn.kingstone.com.tw/book/images/product/20131/2013120534490/2013120534490b.jpg
邁向加薪之路！從職場範例學 Excel 函數X函數組合應用,https://www.kingstone.com.tw//basic/2013120524613?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,施威銘研究室,旗標      ,9789863126096,https://cdn.kingstone.com.tw/book/images/product/20131/2013120524613/2013120524613b.jpg
超實用 Excel 商務實例函數字典,https://www.kingstone.com.tw//basic/2013120319684?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,Kitami Akiko,旗標      ,9789863122227,https://cdn.kingstone.com.tw/book/images/product/20131/2013120319684/2013120319684b.jpg
超實用！會計．生管．財務的辦公室EXCEL必備50招省時技（2016/2019）【暢銷回饋版】,https://www.kingstone.com.tw//basic/2013120598560?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,張雯燕,博碩文化  ,9789864348596,https://cdn.kingstone.com.tw/book/images/product/20131/2013120598560/2013120598560b.jpg
一圖秒懂最強Excel商用圖表（實用基礎版）：讓圖自己會說話，1秒內表達重點！,https://www.kingstone.com.tw//basic/2013120582941?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,龍逸凡,大樂文化  ,9789865564216,https://cdn.kingstone.com.tw/book/images/product/20131/2013120582941/2013120582941b.jpg
翻倍效率工作術：詢問度破表的Office最強職人技（加量增訂版）,https://www.kingstone.com.tw//basic/2014713611666?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,鄧文淵 總監製、文淵閣工作室,碁峰資訊  ,9789865027445,https://cdn.kingstone.com.tw/book/images/product/20147/2014713611666/2014713611666b.jpg
Excel 2019實力養成暨評量解題秘笈,https://www.kingstone.com.tw//basic/2013120536524?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,楊明玉 編著,碁峰資訊  ,9789865024321,https://cdn.kingstone.com.tw/book/images/product/20131/2013120536524/2013120536524b.jpg
會計人的Excel小教室進階篇|報表自動化,https://www.kingstone.com.tw//basic/2014713574503?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,贊贊小屋,碁峰資訊  ,9789865020699,https://cdn.kingstone.com.tw/book/images/product/20147/2014713574503/2014713574503b.jpg
EXCEL樞紐分析【第二版】：職場必學的大量數據解讀力,https://www.kingstone.com.tw//basic/2013120486898?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,簡倍祥,電腦人    ,4717702904203,https://cdn.kingstone.com.tw/book/images/product/20131/2013120486898/2013120486898b.jpg
Microsoft MOS Excel 2016 Expert 原廠國際認證應考指南 （Exam 77－728）,https://www.kingstone.com.tw//basic/2014713536679?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,王仲麒,碁峰資訊  ,9789864766048,https://cdn.kingstone.com.tw/book/images/product/20147/2014713536679/2014713536679b.jpg
會計人的Excel小教室 增訂版,https://www.kingstone.com.tw//basic/2014713575265?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,贊贊小屋,碁峰資訊  ,9789865021009,https://cdn.kingstone.com.tw/book/images/product/20147/2014713575265/2014713575265b.jpg
翻倍效率工作術：不會就太可惜的Excel必學函數（第三版） （大數據時代必備的資料統計整理與運算力）,https://www.kingstone.com.tw//basic/2014713617088?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,鄧文淵(總監製),碁峰資訊  ,9789865028572,https://cdn.kingstone.com.tw/book/images/product/20147/2014713617088/2014713617088b.jpg
Excel職場函數468招【第二版】：超完整！新人工作就要用到的計算函數+公式範例集,https://www.kingstone.com.tw//basic/2013120546431?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,羅剛君,電腦人    ,4717702100711,https://cdn.kingstone.com.tw/book/images/product/20131/2013120546431/2013120546431b.jpg
職場決勝關鍵 Excel 商業資料分析|正確分析+用對圖表，你的報告更有說服力！,https://www.kingstone.com.tw//basic/2013120546981?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,平井明夫,碁峰資訊  ,9789865024819,https://cdn.kingstone.com.tw/book/images/product/20131/2013120546981/2013120546981b.jpg
Excel商業智慧分析|樞紐分析x大數據分析工具PowerPivot及PowerView,https://www.kingstone.com.tw//basic/2013120540019?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,王仲麒,碁峰資訊  ,9789865023966,https://cdn.kingstone.com.tw/book/images/product/20131/2013120540019/2013120540019b.jpg
Excel 辦公室管理 高手,https://www.kingstone.com.tw//basic/2013120527119?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,林佳生,易習圖書  ,9789863800668,https://cdn.kingstone.com.tw/book/images/product/20131/2013120527119/2013120527119b.jpg
翻倍效率工作術：Excel職場最強急救包,https://www.kingstone.com.tw//basic/2014713583468?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,鄧文淵 總監製,碁峰資訊  ,9789865021979,https://cdn.kingstone.com.tw/book/images/product/20147/2014713583468/2014713583468b.jpg
Excel 2019實力養成暨評量,https://www.kingstone.com.tw//basic/2014713582126?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,中華民國電腦技能基金會,碁峰資訊  ,9789865022020,https://cdn.kingstone.com.tw/book/images/product/20147/2014713582126/2014713582126b.jpg
EXCEL最強商業實戰書,https://www.kingstone.com.tw//basic/2013120498129?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,藤井直、大山介,悅知文化  ,9789578787810,https://cdn.kingstone.com.tw/book/images/product/20131/2013120498129/2013120498129b.jpg
Excel職場新人300招【第二版】：函數、圖表、報表、數據整理有訣竅，原來這樣做會更快！,https://www.kingstone.com.tw//basic/2013120476301?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,賈婷婷,電腦人    ,4717702903299,https://cdn.kingstone.com.tw/book/images/product/20131/2013120476301/2013120476301b.jpg
資料探勘：程序與模式：使用Excel實作,https://www.kingstone.com.tw//basic/2013120444836?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,葉怡成,五南      ,9789571191966,https://cdn.kingstone.com.tw/book/images/product/20131/2013120444836/2013120444836b.jpg
從樞紐分析到大數據分析|Power Query、Power Pivot、Power View、Power Map應用解析,https://www.kingstone.com.tw//basic/2014713516855?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,王作桓、蕭涵憶著、王恩琦,碁峰資訊  ,9789864763214,https://cdn.kingstone.com.tw/book/images/product/20147/2014713516855/2014713516855b.jpg
Excel 2016實力養成暨評量（附練習光碟）,https://www.kingstone.com.tw//basic/2013120406612?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,電腦技能基金會,全華      ,9789864633364,https://cdn.kingstone.com.tw/book/images/product/20131/2013120406612/2013120406612b.jpg
Microsoft Excel 2016 商用範例實作,https://www.kingstone.com.tw//basic/2013120390492?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,施威銘研究室,旗標      ,9789863123125,https://cdn.kingstone.com.tw/book/images/product/20131/2013120390492/2013120390492b.jpg
最強Excel資料整理術（2013/2010/2007適用）,https://www.kingstone.com.tw//basic/2013120327177?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,不二櫻,旗標      ,9789863122333,https://cdn.kingstone.com.tw/book/images/product/20131/2013120327177/2013120327177b.jpg
Excel 公式+函數職場專用超級辭典：新人、老鳥到大師級都需要的速查指引,https://www.kingstone.com.tw//basic/2013120432765?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,王國勝,電腦人    ,9789861994772,https://cdn.kingstone.com.tw/book/images/product/20131/2013120432765/2013120432765b.jpg
經理人提升資源分配最佳化的Excel目標搜尋&規劃求解技巧,https://www.kingstone.com.tw//basic/2013120118270?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,城井田勝仁,博碩文化  ,9789862013267,https://cdn.kingstone.com.tw/book/images/product/20131/2013120118270/2013120118270b.jpg
Excel財會、進銷存、門市銷售  設計寶典,https://www.kingstone.com.tw//basic/2013120598690?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,孫惠民,經瑋      ,9789576154812,https://cdn.kingstone.com.tw/book/images/product/20131/2013120598690/2013120598690b.jpg
Excel函數資料庫統計分析 設計寶典,https://www.kingstone.com.tw//basic/2013120599062?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,孫惠民,經瑋      ,9789576154805,https://cdn.kingstone.com.tw/book/images/product/20131/2013120599062/2013120599062b.jpg
Excel 2016/2019商務應用必學的16堂課,https://www.kingstone.com.tw//basic/2013120593350?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,吳燦銘,博碩文化  ,9789864348282,https://cdn.kingstone.com.tw/book/images/product/20131/2013120593350/2013120593350b.jpg
舞動 Excel 2010 中文版,https://www.kingstone.com.tw//basic/2013120585157?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,黃景增,經瑋      ,9789576154676,https://cdn.kingstone.com.tw/book/images/product/20131/2013120585157/2013120585157b.jpg
Excel函數庫最完整職場商業應用王者歸來,https://www.kingstone.com.tw//basic/2013120582651?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,洪錦魁,深智數位  ,9789865501907,https://cdn.kingstone.com.tw/book/images/product/20131/2013120582651/2013120582651b.jpg
Excel工作現場實戰寶典第二版,https://www.kingstone.com.tw//basic/2014713612908?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,王作桓,碁峰資訊  ,9789865027575,https://cdn.kingstone.com.tw/book/images/product/20147/2014713612908/2014713612908b.jpg
Excel 公司財務管理 高手,https://www.kingstone.com.tw//basic/2013120577534?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,林佳生,易習圖書  ,9789863801351,https://cdn.kingstone.com.tw/book/images/product/20131/2013120577534/2013120577534b.jpg
Excel函數與分析工具－應用解析x實務範例x統計分析（適用Excel 2019~2013）,https://www.kingstone.com.tw//basic/2014713603203?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,楊世瑩,碁峰資訊  ,9789865026028,https://cdn.kingstone.com.tw/book/images/product/20147/2014713603203/2014713603203b.jpg
舞動 Excel 公式與函數,https://www.kingstone.com.tw//basic/2013120561755?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,黃景增,易習圖書  ,9789576154379,https://cdn.kingstone.com.tw/book/images/product/20131/2013120561755/2013120561755b.jpg
Excel 實務應用 武功秘笈,https://www.kingstone.com.tw//basic/2013120562097?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,孫惠民,易習圖書  ,9789863801153,https://cdn.kingstone.com.tw/book/images/product/20131/2013120562097/2013120562097b.jpg
Excel 行銷管理 高手,https://www.kingstone.com.tw//basic/2013120557420?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,林佳生,易習圖書  ,9789863801085,https://cdn.kingstone.com.tw/book/images/product/20131/2013120557420/2013120557420b.jpg
EXCEL2016商務應用：８堂一點就通的基礎活用課,https://www.kingstone.com.tw//basic/2013120551688?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,吳燦銘,博碩文化  ,9789864344970,https://cdn.kingstone.com.tw/book/images/product/20131/2013120551688/2013120551688b.jpg
PowerQuery實戰技巧精粹與M語言|新世代Excel BI大數據處理,https://www.kingstone.com.tw//basic/2014713598455?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,王仲麒,碁峰資訊  ,9789865025465,https://cdn.kingstone.com.tw/book/images/product/20147/2014713598455/2014713598455b.jpg
Excel 武功祕笈,https://www.kingstone.com.tw//basic/2013120552470?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,孫惠民,易習圖書  ,9789863800996,https://cdn.kingstone.com.tw/book/images/product/20131/2013120552470/2013120552470b.jpg
Excel 行銷管理 武功祕笈,https://www.kingstone.com.tw//basic/2013120548695?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,林佳生,易習圖書  ,9789863800927,https://cdn.kingstone.com.tw/book/images/product/20131/2013120548695/2013120548695b.jpg
創業必學EXCEL財務控管及理財分析,https://www.kingstone.com.tw//basic/2013120544017?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,簡倍祥、葛瑩、張殷,電腦人    ,9789572049136,https://cdn.kingstone.com.tw/book/images/product/20131/2013120544017/2013120544017b.jpg
Excel程式設計入門教材,https://www.kingstone.com.tw//basic/2013120544857?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,洪國勝,泉勝出版  ,9789869685955,https://cdn.kingstone.com.tw/book/images/product/20131/2013120544857/2013120544857b.jpg
Excel 入門到完整學習 邁向最強職場應用－王者歸來 （C：彩色印刷）,https://www.kingstone.com.tw//basic/2013120533028?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,洪錦魁,深智數位  ,9789865501143,https://cdn.kingstone.com.tw/book/images/product/20131/2013120533028/2013120533028b.jpg
Excel 2019嚴選教材！核心觀念×範例應用×操作技巧（適用Excel 2019/2016/2013）,https://www.kingstone.com.tw//basic/2014713592453?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,楊世瑩,碁峰資訊  ,9789865023539,https://cdn.kingstone.com.tw/book/images/product/20147/2014713592453/2014713592453b.jpg
Excel 試算表 高手,https://www.kingstone.com.tw//basic/2013120530362?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,黃景增,易習圖書  ,9789863800682,https://cdn.kingstone.com.tw/book/images/product/20131/2013120530362/2013120530362b.jpg
Excel統計分析實務|市場調查與資料分析（適用Excel 2019/2016/2013）,https://www.kingstone.com.tw//basic/2014713589460?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,楊世瑩,碁峰資訊  ,9789865023010,https://cdn.kingstone.com.tw/book/images/product/20147/2014713589460/2014713589460b.jpg
不需要Hadoop（熱銷版）：用Excel+VB更高竿玩轉大數據,https://www.kingstone.com.tw//basic/2013120522169?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,朱正和,佳魁      ,9789863797753,https://cdn.kingstone.com.tw/book/images/product/20131/2013120522169/2013120522169b.jpg
AI 證券投資分析：探索超額報酬 －－ 使用Excel實作,https://www.kingstone.com.tw//basic/2015630654293?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,葉怡成,博碩文化  ,9789864344253,https://cdn.kingstone.com.tw/book/images/product/20156/2015630654293/2015630654293b.jpg
準時下班秘笈：超實用！公務員EXCEL省時秘技１０８招（暢銷回饋版）,https://www.kingstone.com.tw//basic/2013120520035?zone=book&lid=book_class3_lgc&actid=book_class3_lgc,張雯燕,博碩文化  ,9789864344314,https://cdn.kingstone.com.tw/book/images/product/20131/2013120520035/2013120520035b.jpg
