書名,書籍網站,作者,出版社,ISBN,圖片網址
PowerPoint 2016/2019高效實用範例必修16課,https://www.kingstone.com.tw//basic/2014713608963?zone=book&lid=book_class3_lge&actid=book_class3_lge,鄧文淵、文淵閣工作室,碁峰資訊  ,9789865027018,https://cdn.kingstone.com.tw/book/images/product/20147/2014713608963/2014713608963b.jpg
PowerBI商業智慧分析,https://www.kingstone.com.tw//basic/2014713596901?zone=book&lid=book_class3_lge&actid=book_class3_lge,集英信誠 胡百敬、黃雅玲,碁峰資訊  ,9789865025151,https://cdn.kingstone.com.tw/book/images/product/20147/2014713596901/2014713596901b.jpg
專業PPT簡報的配色x用字x製作秘訣大公開,https://www.kingstone.com.tw//basic/2014713553027?zone=book&lid=book_class3_lge&actid=book_class3_lge,@PPT-娘娘,碁峰資訊  ,9789864767922,https://cdn.kingstone.com.tw/book/images/product/20147/2014713553027/2014713553027b.jpg
PowerPoint 2016實力養成暨評量,https://www.kingstone.com.tw//basic/2014713504654?zone=book&lid=book_class3_lge&actid=book_class3_lge,財團法人中華民國電腦技能基金會,碁峰資訊  ,9789864762101,https://cdn.kingstone.com.tw/book/images/product/20147/2014713504654/2014713504654b.jpg
設計滿分的簡報：用 103個經典活用術來成就PowerPoint,https://www.kingstone.com.tw//basic/2013120394520?zone=book&lid=book_class3_lge&actid=book_class3_lge,蔡志成,佳魁      ,9789863793632,https://cdn.kingstone.com.tw/book/images/product/20131/2013120394520/2013120394520b.jpg
一流簡報就是這樣做：PowerPoint企劃設計大全,https://www.kingstone.com.tw//basic/2013120140295?zone=book&lid=book_class3_lge&actid=book_class3_lge,PPTKOREA,博碩文化  ,9789862014059,https://cdn.kingstone.com.tw/book/images/product/20131/2013120140295/2013120140295b.jpg
新簡報王－將腦中的創意企劃有效表達的簡報,https://www.kingstone.com.tw//basic/2014713035462?zone=book&lid=book_class3_lge&actid=book_class3_lge,竹島慎一郎,博碩文化  ,9789862010990,https://cdn.kingstone.com.tw/book/images/product/20147/2014713035462/2014713035462b.jpg
輕鬆搞定商業簡報製作|PowerPoint （適用2016 & 2019版）,https://www.kingstone.com.tw//basic/2014713621023?zone=book&lid=book_class3_lge&actid=book_class3_lge,林文恭,碁峰資訊  ,9789865029050,https://cdn.kingstone.com.tw/book/images/product/20147/2014713621023/2014713621023b.jpg
Impress 7.x 簡報自由學,https://www.kingstone.com.tw//basic/2011410018873?zone=book&lid=book_class3_lge&actid=book_class3_lge,蔡慧儀,巨岩      ,9789869630788,https://cdn.kingstone.com.tw/book/images/product/20114/2011410018873/2011410018873b.jpg
Power BI 實作大數據篩選分析與商業圖表設計,https://www.kingstone.com.tw//basic/2013120577664?zone=book&lid=book_class3_lge&actid=book_class3_lge,吳燦銘,博碩文化  ,9789864345632,https://cdn.kingstone.com.tw/book/images/product/20131/2013120577664/2013120577664b.jpg
Power BI金融大數據分析應用：貼近產業實務，掌握決策效率,https://www.kingstone.com.tw//basic/2014713610164?zone=book&lid=book_class3_lge&actid=book_class3_lge,謝邦昌、蘇志雄、蕭育仁、宋龍華,碁峰資訊  ,9789865026905,https://cdn.kingstone.com.tw/book/images/product/20147/2014713610164/2014713610164b.jpg
PowerPoint 高手,https://www.kingstone.com.tw//basic/2013120574588?zone=book&lid=book_class3_lge&actid=book_class3_lge,林佳生,易習圖書  ,9789863801320,https://cdn.kingstone.com.tw/book/images/product/20131/2013120574588/2013120574588b.jpg
PowerPoint 2019小創客做簡報,https://www.kingstone.com.tw//basic/2015233153544?zone=book&lid=book_class3_lge&actid=book_class3_lge,蘇清得,宏全資訊  ,9789869901017,https://cdn.kingstone.com.tw/book/images/product/20152/2015233153544/2015233153544b.jpg
Project專案管理認證高手,https://www.kingstone.com.tw//basic/2013120564701?zone=book&lid=book_class3_lge&actid=book_class3_lge,李育文,易習圖書  ,9789863801207,https://cdn.kingstone.com.tw/book/images/product/20131/2013120564701/2013120564701b.jpg
PowerPoint 職場應用 武功密笈,https://www.kingstone.com.tw//basic/2013120562127?zone=book&lid=book_class3_lge&actid=book_class3_lge,林國榮,易習圖書  ,9789863801160,https://cdn.kingstone.com.tw/book/images/product/20131/2013120562127/2013120562127b.jpg
PowerPoint 2019實力養成暨評量解題秘笈,https://www.kingstone.com.tw//basic/2013120536074?zone=book&lid=book_class3_lge&actid=book_class3_lge,陳美玲 編著,碁峰資訊  ,9789865023935,https://cdn.kingstone.com.tw/book/images/product/20131/2013120536074/2013120536074b.jpg
會動的PowerPoint職場簡報2000例：剪貼就能用，讓內容變生動的範本素材大集合（附光碟）,https://www.kingstone.com.tw//basic/2013120495203?zone=book&lid=book_class3_lge&actid=book_class3_lge,河合浩之,電腦人    ,9789572049075,https://cdn.kingstone.com.tw/book/images/product/20131/2013120495203/2013120495203b.jpg
超極制霸：PowerPoint速成精通祕典（2013以上版本適用）,https://www.kingstone.com.tw//basic/2023120475822?zone=book&lid=book_class3_lge&actid=book_class3_lge,洪錦魁,上奇科技  ,9789865002190,https://cdn.kingstone.com.tw/book/images/product/20231/2023120475822/2023120475822b.jpg
SOEZ2u 多媒體學園電子書：PowerPoint 簡報,https://www.kingstone.com.tw//basic/2014713546326?zone=book&lid=book_class3_lge&actid=book_class3_lge,林老師,易習圖書  ,9789578755031,https://cdn.kingstone.com.tw/book/images/product/20147/2014713546326/2014713546326b.jpg
