書名,書籍網站,作者,出版社,ISBN,圖片網址
職場急用！Excel視覺圖表速成：會這招最搶手，新創、外商與行銷都在用的資料視覺化技巧,https://www.kingstone.com.tw//basic/2013120572454?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,張文霖、于偉偉、陳巍琪,電腦人    ,9789572049150,https://cdn.kingstone.com.tw/book/images/product/20131/2013120572454/2013120572454b.jpg
101招學會LibreOffice|Writer文書 x Calc試算表 x Impress簡報實戰技巧,https://www.kingstone.com.tw//basic/2014713596451?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,蔡凱如、孫賜萍,碁峰資訊  ,9789865025144,https://cdn.kingstone.com.tw/book/images/product/20147/2014713596451/2014713596451b.jpg
Office 2019高效實用範例必修16課（附418分鐘影音教學/範例檔）,https://www.kingstone.com.tw//basic/2014713586704?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,鄧文淵 總監製,碁峰資訊  ,9789865022891,https://cdn.kingstone.com.tw/book/images/product/20147/2014713586704/2014713586704b.jpg
超實用！人資．行政．總務的辦公室EXCEL省時高手必備50招（Office 365版）,https://www.kingstone.com.tw//basic/2013120519596?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,張雯燕 著、ZCT 策劃,博碩文化  ,9789864344260,https://cdn.kingstone.com.tw/book/images/product/20131/2013120519596/2013120519596b.jpg
Word、Excel、PowerPoint強效精攻500招（附贈爆量密技別冊）,https://www.kingstone.com.tw//basic/2013120472273?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,PCuSER研究室,電腦人    ,4717702902704,https://cdn.kingstone.com.tw/book/images/product/20131/2013120472273/2013120472273b.jpg
Project 2019 專案管理武功祕笈,https://www.kingstone.com.tw//basic/2013120580237?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,周曉龍,易習圖書  ,9789863801245,https://cdn.kingstone.com.tw/book/images/product/20131/2013120580237/2013120580237b.jpg
快速學會 Office 資料處理,https://www.kingstone.com.tw//basic/2013120571822?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,林佳生,知果文化  ,9789869946780,https://cdn.kingstone.com.tw/book/images/product/20131/2013120571822/2013120571822b.jpg
超實用！Word．Excel．PowerPoint辦公室Office365省時高手必備50招,https://www.kingstone.com.tw//basic/2013120501003?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,張雯燕,博碩文化  ,9789864343805,https://cdn.kingstone.com.tw/book/images/product/20131/2013120501003/2013120501003b.jpg
超實用！Word．Excel．PowerPoint辦公室Office必備50招省時技（2016/2019）,https://www.kingstone.com.tw//basic/2013120497917?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,張雯燕,博碩文化  ,9789864343768,https://cdn.kingstone.com.tw/book/images/product/20131/2013120497917/2013120497917b.jpg
Microsoft Office 2016 非常 EASY,https://www.kingstone.com.tw//basic/2013120361393?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,施威銘研究室,旗標      ,9789863123095,https://cdn.kingstone.com.tw/book/images/product/20131/2013120361393/2013120361393b.jpg
Writer 7.x 文書自由學,https://www.kingstone.com.tw//basic/2011410018743?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,蔡慧儀,巨岩      ,9789869630771,https://cdn.kingstone.com.tw/book/images/product/20114/2011410018743/2011410018743b.jpg
Office 2016/2019商務應用必學的16堂課,https://www.kingstone.com.tw//basic/2013120593060?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,吳燦銘,博碩文化  ,9789864348299,https://cdn.kingstone.com.tw/book/images/product/20131/2013120593060/2013120593060b.jpg
Visio 2019商業圖表繪製（2版）,https://www.kingstone.com.tw//basic/2013120584365?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,張家盛,上奇科技  ,9789865005245,https://cdn.kingstone.com.tw/book/images/product/20131/2013120584365/2013120584365b.jpg
Project 專案管理設計寶典,https://www.kingstone.com.tw//basic/2013120585027?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,立雅科技,經瑋      ,9789576154669,https://cdn.kingstone.com.tw/book/images/product/20131/2013120585027/2013120585027b.jpg
專題實作理論與呈現技巧（Office 2016版）,https://www.kingstone.com.tw//basic/2013120577824?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,楊仁元、張顯盛、林家德,台科大    ,9789865232016,https://cdn.kingstone.com.tw/book/images/product/20131/2013120577824/2013120577824b.jpg
Project 2019 實戰演練,https://www.kingstone.com.tw//basic/2013120571532?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,elearningDJ,經瑋      ,9789576154447,https://cdn.kingstone.com.tw/book/images/product/20131/2013120571532/2013120571532b.jpg
馬上就會Office 2019商務實作與應用,https://www.kingstone.com.tw//basic/2013120564121?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,數位新知有限公司,深石數位  ,9789865004934,https://cdn.kingstone.com.tw/book/images/product/20131/2013120564121/2013120564121b.jpg
Office 2019學習手冊（附範例光碟）,https://www.kingstone.com.tw//basic/2013120563179?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,全華研究室、王麗琴,全華      ,9789865034658,https://cdn.kingstone.com.tw/book/images/product/20131/2013120563179/2013120563179b.jpg
套裝軟體應用Using Microsoft Office 2016含BAP Fundamentals Master商務專業應用能力國際認證–最新版－,https://www.kingstone.com.tw//basic/2013120560703?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,JYiC認證研究團隊,台科大    ,9789865230845,https://cdn.kingstone.com.tw/book/images/product/20131/2013120560703/2013120560703b.jpg
專題實作 書面報告呈現技巧（Office 2016：文書、統計、簡報）－線上多媒體影音教學－最新版－附MOSME行動,https://www.kingstone.com.tw//basic/2013120561045?zone=book&lid=book_class3_lgf&actid=book_class3_lgf,呂聰賢,台科大    ,9789865231071,https://cdn.kingstone.com.tw/book/images/product/20131/2013120561045/2013120561045b.jpg
