書名,書籍網站,作者,出版社,ISBN,圖片網址
套裝軟體應用Using?Microsoft?Office?2010：邁向BAP?Fundamentals?Master商務專業應用能力,https://www.kingstone.com.tw//basic/2014713622785?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,JYiC認證研究團隊,台科大    ,9789865233143,https://cdn.kingstone.com.tw/book/images/product/20147/2014713622785/2014713622785b.jpg
PMP專案經理 武功祕笈,https://www.kingstone.com.tw//basic/2014941731877?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,李育文,易習圖書  ,9789863801382,https://cdn.kingstone.com.tw/book/images/product/20149/2014941731877/2014941731877b.jpg
翻轉職涯！轉職PM的必備工作力ｘ與工程師的協作心法（iT邦幫忙鐵人賽系列書）,https://www.kingstone.com.tw//basic/2014840052004?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,Rafeni(李星玟),博碩文化  ,9789864348619,https://cdn.kingstone.com.tw/book/images/product/20148/2014840052004/2014840052004b.jpg
以PMP觀點，專案經理工具箱,https://www.kingstone.com.tw//basic/2013120584945?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,李育文,經瑋      ,9789576154645,https://cdn.kingstone.com.tw/book/images/product/20131/2013120584945/2013120584945b.jpg
以PMP觀點，專案經理工具箱,https://www.kingstone.com.tw//basic/2013120505391?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,李育文,易習圖書  ,9789576153600,https://cdn.kingstone.com.tw/book/images/product/20131/2013120505391/2013120505391b.jpg
跟Adobe徹底研究CS6 Design & Web Premium（暢銷版）,https://www.kingstone.com.tw//basic/2013120494701?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,Adobe Creative Team,上奇科技  ,9789865003326,https://cdn.kingstone.com.tw/book/images/product/20131/2013120494701/2013120494701b.jpg
實用R程式設計：第二版,https://www.kingstone.com.tw//basic/2014713562982?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,謝哲光、郭英勝、龔志銘、鄭志宏,碁峰資訊  ,9789864769155,https://cdn.kingstone.com.tw/book/images/product/20147/2014713562982/2014713562982b.jpg
以PMP觀點：Microsoft Project 實務操作與運用,https://www.kingstone.com.tw//basic/2013120446380?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,洪家祥、李育文,易習圖書  ,9789869527569,https://cdn.kingstone.com.tw/book/images/product/20131/2013120446380/2013120446380b.jpg
iWork 活用萬事通：Keynote+Pages+Numbers 一本就學會！（第三版）,https://www.kingstone.com.tw//basic/2013120445918?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,蘋果梗,博碩文化  ,9789864342372,https://cdn.kingstone.com.tw/book/images/product/20131/2013120445918/2013120445918b.jpg
Project專案管理實務,https://www.kingstone.com.tw//basic/2013120436213?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,立雅科技,易習圖書  ,9789869496308,https://cdn.kingstone.com.tw/book/images/product/20131/2013120436213/2013120436213b.jpg
一步一腳印丙級電腦軟體應用,https://www.kingstone.com.tw//basic/2013120381087?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,德克斯特實驗室 李俊德、朱奐,上奇科技  ,9789863756347,https://cdn.kingstone.com.tw/book/images/product/20131/2013120381087/2013120381087b.jpg
SOA架構的唯一途徑：Apache CXF完美建立企業解決方案,https://www.kingstone.com.tw//basic/2013120370968?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,任鋼,佳魁      ,9789863792833,https://cdn.kingstone.com.tw/book/images/product/20131/2013120370968/2013120370968b.jpg
IFRS經營管理e化實務,https://www.kingstone.com.tw//basic/2014713470164?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,蔡文賢、藍淑慧,碁峰資訊  ,9789863476788,https://cdn.kingstone.com.tw/book/images/product/20147/2014713470164/2014713470164b.jpg
Writer自由玩文書,https://www.kingstone.com.tw//basic/2013120308855?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,蔡慧儀,小石頭    ,9789868663084,https://cdn.kingstone.com.tw/book/images/product/20131/2013120308855/2013120308855b.jpg
iWork活用萬事通：Keynote、Pages、Numbers一本學會！,https://www.kingstone.com.tw//basic/2013120283220?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,蘋果梗,博碩文化  ,9789862018613,https://cdn.kingstone.com.tw/book/images/product/20131/2013120283220/2013120283220b.jpg
Mac活用萬事通：Sierra一本就學會！,https://www.kingstone.com.tw//basic/2013120409378?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,蘋果梗,博碩文化  ,9789864341689,https://cdn.kingstone.com.tw/book/images/product/20131/2013120409378/2013120409378b.jpg
i Work無限玩,https://www.kingstone.com.tw//basic/2013120336612?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,蔡學欣、張嘉鳴,有意思    ,9789863753124,https://cdn.kingstone.com.tw/book/images/product/20131/2013120336612/2013120336612b.jpg
跟Adobe徹底研究Design & Web Premium CS6,https://www.kingstone.com.tw//basic/2013120317130?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,Adobe Creative Team,上奇科技  ,9789863750543,https://cdn.kingstone.com.tw/book/images/product/20131/2013120317130/2013120317130b.jpg
笑談軟體工程：例外處理設計的逆襲,https://www.kingstone.com.tw//basic/2013120297395?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,Teddy Chen,悅知文化  ,9789865740382,https://cdn.kingstone.com.tw/book/images/product/20131/2013120297395/2013120297395b.jpg
跟Adobe徹底研究Acrobat XI,https://www.kingstone.com.tw//basic/2013120245266?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,陳亦苓,上奇科技  ,9789862577226,https://cdn.kingstone.com.tw/book/images/product/20131/2013120245266/2013120245266b.jpg
跟Adobe徹底研究CS6 Design & Web Premium,https://www.kingstone.com.tw//basic/2013120232853?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,Adobe Creative Team,上奇科技  ,9789862576793,https://cdn.kingstone.com.tw/book/images/product/20131/2013120232853/2013120232853b.jpg
Adobe Acrobat 工作必備的 PDF 文件煉金術 第四版,https://www.kingstone.com.tw//basic/2013120024168?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,簡嘉宏,旗標      ,9789863120971,https://cdn.kingstone.com.tw/book/images/product/20131/2013120024168/2013120024168b.jpg
精通Cassandra,https://www.kingstone.com.tw//basic/2013120017207?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,郭鵬,佳魁      ,9789865908850,https://cdn.kingstone.com.tw/book/images/product/20131/2013120017207/2013120017207b.jpg
深入淺出軟體開發,https://www.kingstone.com.tw//basic/2014713421951?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,Dan Pilone- Russell Miles,歐萊禮    ,9789866840210,https://cdn.kingstone.com.tw/book/images/product/20147/2014713421951/2014713421951b.jpg
跟Adobe徹底研究Acrobat X,https://www.kingstone.com.tw//basic/2013120181595?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,Adobe Creative Team,上奇科技  ,9789862571965,https://cdn.kingstone.com.tw/book/images/product/20131/2013120181595/2013120181595b.jpg
Hello! iWork,https://www.kingstone.com.tw//basic/2013120135888?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,陳璟鴻,松崗      ,9789867309921,https://cdn.kingstone.com.tw/book/images/product/20131/2013120135888/2013120135888b.jpg
OpenOffice.org範例學習很Easy,https://www.kingstone.com.tw//basic/2013120127395?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,廖仁國,松崗      ,9789867309723,https://cdn.kingstone.com.tw/book/images/product/20131/2013120127395/2013120127395b.jpg
Acrobat文書達人隨手翻（附範例VCD）,https://www.kingstone.com.tw//basic/2014713231406?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,林麗琴,易習圖書  ,9789866227134,https://cdn.kingstone.com.tw/book/images/product/20147/2014713231406/2014713231406b.jpg
愛玩iwork(附cd),https://www.kingstone.com.tw//basic/2014713206305?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,林鴻,上奇科技  ,9789862570074,https://cdn.kingstone.com.tw/book/images/product/20147/2014713206305/2014713206305b.jpg
加薪必備50招,https://www.kingstone.com.tw//basic/2013120098695?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,PCuSER研究,電腦人    ,9789861991610,https://cdn.kingstone.com.tw/book/images/product/20131/2013120098695/2013120098695b.jpg
OpenOffice.org Calc：免費、易用、好學的E,https://www.kingstone.com.tw//basic/2013120094697?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,鄧慧華,松崗      ,9789866482595,https://cdn.kingstone.com.tw/book/images/product/20131/2013120094697/2013120094697b.jpg
跟Adobe完全掌握Acrobat 9(附光碟),https://www.kingstone.com.tw//basic/2014713113955?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,Adobe Creative Team,碁峰資訊  ,9789861815725,https://cdn.kingstone.com.tw/book/images/product/20147/2014713113955/2014713113955b.jpg
我的e學園-Medi@Show魅力四射超炫多媒,https://www.kingstone.com.tw//basic/2014713105912?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,李俊青,松崗      ,9789862043585,https://cdn.kingstone.com.tw/book/images/product/20147/2014713105912/2014713105912b.jpg
Acrobat 9 PDF 精彩創意,https://www.kingstone.com.tw//basic/2014713091956?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,吳宏信,上奇科技  ,9789866587160,https://cdn.kingstone.com.tw/book/images/product/20147/2014713091956/2014713091956b.jpg
專題製作－使用CPLD,https://www.kingstone.com.tw//basic/2014713057570?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,黃國倫,文魁      ,9789862042267,https://cdn.kingstone.com.tw/book/images/product/20147/2014713057570/2014713057570b.jpg
小文魁電腦學園：Writer文書處理自由行,https://www.kingstone.com.tw//basic/2014713050526?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,詹勝凱,文魁      ,9789862041987,https://cdn.kingstone.com.tw/book/images/product/20147/2014713050526/2014713050526b.jpg
小文魁電腦學園：Impress簡報製造自由行,https://www.kingstone.com.tw//basic/2014713050656?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,蔡士源,文魁      ,9789862041994,https://cdn.kingstone.com.tw/book/images/product/20147/2014713050656/2014713050656b.jpg
SOEZ2u多媒體學園－－Acrobat PDF 文件達人,https://www.kingstone.com.tw//basic/2014712979569?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,新造數位,知城      ,4712487290329,https://cdn.kingstone.com.tw/book/images/product/20147/2014712979569/2014712979569b.jpg
Openoffice.org範例應用輕鬆學,https://www.kingstone.com.tw//basic/2013120083028?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,歐展嘉,松崗      ,9789862040010,https://cdn.kingstone.com.tw/book/images/product/20131/2013120083028/2013120083028b.jpg
Acrobat 文書達人 隨手翻,https://www.kingstone.com.tw//basic/2014712960314?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,林佳生,知城      ,9789866850233,https://cdn.kingstone.com.tw/book/images/product/20147/2014712960314/2014712960314b.jpg
Microsoft Office SharePoint Server 2007 新一代企業Web解決方案  ( 第1集 ),https://www.kingstone.com.tw//basic/2014712951169?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,屠立剛,悅知文化  ,9789868323971,https://cdn.kingstone.com.tw/book/images/product/20147/2014712951169/2014712951169b.jpg
Acrobat 8 PDF應用全蒐錄,https://www.kingstone.com.tw//basic/2014712914577?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,詹國廷,上奇科技  ,9789866884085,https://cdn.kingstone.com.tw/book/images/product/20147/2014712914577/2014712914577b.jpg
OpenOffice.org成功導入寶典,https://www.kingstone.com.tw//basic/2014712913655?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,晟鑫科技OS,學貫      ,9789867198778,https://cdn.kingstone.com.tw/book/images/product/20147/2014712913655/2014712913655b.jpg
新密技字典5－8,https://www.kingstone.com.tw//basic/2014712887611?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,電腦人    ,貨到通知我,4717702048785,https://cdn.kingstone.com.tw/book/images/product/20147/2014712887611/2014712887611b.jpg
免費!合法!超Easy OpenOffice.org 2,https://www.kingstone.com.tw//basic/2014712876592?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,施威銘研究室,旗標      ,9789574423842,https://cdn.kingstone.com.tw/book/images/product/20147/2014712876592/2014712876592b.jpg
上班族一次搞定Acrobat,https://www.kingstone.com.tw//basic/2014712812552?zone=book&lid=book_class3_lgz&actid=book_class3_lgz,Donna Baker,上奇科技  ,9789867199423,https://cdn.kingstone.com.tw/book/images/product/20147/2014712812552/2014712812552b.jpg
