書名,書籍網站,作者,出版社,ISBN,圖片網址
Linux運行維護實作大全：高效管理所有主流服務,https://www.kingstone.com.tw//basic/2013120570740?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,高俊峰,深智數位  ,9789865501662,https://cdn.kingstone.com.tw/book/images/product/20131/2013120570740/2013120570740b.jpg
Linuxの繪本|快速上手LINUX的九堂課,https://www.kingstone.com.tw//basic/2014713605597?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,株式会社アンク,碁峰資訊  ,9789865026530,https://cdn.kingstone.com.tw/book/images/product/20147/2014713605597/2014713605597b.jpg
圖解LINUX指令操作與網路設定,https://www.kingstone.com.tw//basic/2014713604255?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,河野寿,碁峰資訊  ,9789865026349,https://cdn.kingstone.com.tw/book/images/product/20147/2014713604255/2014713604255b.jpg
精通嵌入式Linux程式設計（暢銷回饋版）,https://www.kingstone.com.tw//basic/2013120527249?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,Chris Simmonds,博碩文化  ,9789864344444,https://cdn.kingstone.com.tw/book/images/product/20131/2013120527249/2013120527249b.jpg
駭客的Linux基礎入門必修課,https://www.kingstone.com.tw//basic/2014713581594?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,OccupyTheWeb,碁峰資訊  ,9789865021993,https://cdn.kingstone.com.tw/book/images/product/20147/2014713581594/2014713581594b.jpg
圖解Linux核心工作原理|透過實作與圖解學習OS與硬體的基礎知識,https://www.kingstone.com.tw//basic/2014713568724?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,武內覺,碁峰資訊  ,9789864769964,https://cdn.kingstone.com.tw/book/images/product/20147/2014713568724/2014713568724b.jpg
生物人的電腦教室（生物資訊入門者的必備讀物，非資訊專業者也能快速上手！）,https://www.kingstone.com.tw//basic/2014713483577?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,李鎮宇,碁峰資訊  ,9789863479505,https://cdn.kingstone.com.tw/book/images/product/20147/2014713483577/2014713483577b.jpg
鳥哥的Linux私房菜：基礎學習篇（第四版）,https://www.kingstone.com.tw//basic/2014713479112?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,鳥哥,碁峰資訊  ,9789863478652,https://cdn.kingstone.com.tw/book/images/product/20147/2014713479112/2014713479112b.jpg
大師功力再昇華：實作Linux核心偵錯及實戰演練,https://www.kingstone.com.tw//basic/2013120597198?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,笨叔,深智數位  ,9789860776201,https://cdn.kingstone.com.tw/book/images/product/20131/2013120597198/2013120597198b.jpg
大師養成起手式：從核心真正了解Linux運作原理,https://www.kingstone.com.tw//basic/2013120596436?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,笨叔、陳悅,深智數位  ,9789860776164,https://cdn.kingstone.com.tw/book/images/product/20131/2013120596436/2013120596436b.jpg
Ubuntu 20管理入門與實作,https://www.kingstone.com.tw//basic/2013120592568?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,王進德,博碩文化  ,9789864347834,https://cdn.kingstone.com.tw/book/images/product/20131/2013120592568/2013120592568b.jpg
使用AWS在雲端建置Linux伺服器的20堂課,https://www.kingstone.com.tw//basic/2014713614582?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,山下光洋,碁峰資訊  ,9789865027827,https://cdn.kingstone.com.tw/book/images/product/20147/2014713614582/2014713614582b.jpg
CentOS Linux 8實務管理應用,https://www.kingstone.com.tw//basic/2013120543645?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,酆士昌,博碩文化  ,9789864344758,https://cdn.kingstone.com.tw/book/images/product/20131/2013120543645/2013120543645b.jpg
邁向Linux工程師之路：Superuser一定要懂的技術與運用 （第二版）,https://www.kingstone.com.tw//basic/2013120524323?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,Brian Ward,博碩文化  ,9789864344383,https://cdn.kingstone.com.tw/book/images/product/20131/2013120524323/2013120524323b.jpg
LINUX FIREWALLS 中文版（4th Edition）：善用NFTABLES 等超強工具捍衛LINUX防火牆的安全性,https://www.kingstone.com.tw//basic/2013120519176?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,Steve Suehring,博碩文化  ,9789864344239,https://cdn.kingstone.com.tw/book/images/product/20131/2013120519176/2013120519176b.jpg
Linux動手打造企業E化環境（第2版）,https://www.kingstone.com.tw//basic/2013120484344?zone=book&lid=book_class3_lhb&actid=book_class3_lhb,顧武雄,上奇科技  ,9789865002626,https://cdn.kingstone.com.tw/book/images/product/20131/2013120484344/2013120484344b.jpg
