書名,書籍網站,作者,出版社,ISBN,圖片網址
Power BI入門 大數據視覺化 + 智慧決策 + 雲端分享 王者歸來（全彩印刷）,https://www.kingstone.com.tw//basic/2013120596566?zone=book&lid=book_class3_lia&actid=book_class3_lia,洪錦魁,深智數位  ,9789860776249,https://cdn.kingstone.com.tw/book/images/product/20131/2013120596566/2013120596566b.jpg
７天學會大數據資料處理NoSQL：MongoDB入門與活用（第四版）,https://www.kingstone.com.tw//basic/2013120597488?zone=book&lid=book_class3_lia&actid=book_class3_lia,黃士嘉、周映樵,博碩文化  ,9789864347988,https://cdn.kingstone.com.tw/book/images/product/20131/2013120597488/2013120597488b.jpg
大數據時代超吸睛視覺化工具與技術：Excel+Tableau成功晉升資料分析師,https://www.kingstone.com.tw//basic/2013120587571?zone=book&lid=book_class3_lia&actid=book_class3_lia,彭其捷,博碩文化  ,9789864347568,https://cdn.kingstone.com.tw/book/images/product/20131/2013120587571/2013120587571b.jpg
Google Analytics網站資料分析：網路行銷與商務決策的利器,https://www.kingstone.com.tw//basic/2013120584655?zone=book&lid=book_class3_lia&actid=book_class3_lia,北極星,博碩文化  ,9789864345809,https://cdn.kingstone.com.tw/book/images/product/20131/2013120584655/2013120584655b.jpg
大話資料結構（全新彩色版）,https://www.kingstone.com.tw//basic/2013120575400?zone=book&lid=book_class3_lia&actid=book_class3_lia,程杰,深智數位  ,9789865501693,https://cdn.kingstone.com.tw/book/images/product/20131/2013120575400/2013120575400b.jpg
R語言邁向Big Data之路：王者歸來（第二版）,https://www.kingstone.com.tw//basic/2013120568839?zone=book&lid=book_class3_lia&actid=book_class3_lia,洪錦魁、蔡桂宏,深智數位  ,9789865501655,https://cdn.kingstone.com.tw/book/images/product/20131/2013120568839/2013120568839b.jpg
大數據時代超吸睛視覺化工具與技術：Tableau資料分析師進階高手養成實戰經典,https://www.kingstone.com.tw//basic/2013120554344?zone=book&lid=book_class3_lia&actid=book_class3_lia,彭其捷、劉姿嘉,博碩文化  ,9789864344963,https://cdn.kingstone.com.tw/book/images/product/20131/2013120554344/2013120554344b.jpg
東京大學資料科學家養成全書：使用Python動手學習資料分析,https://www.kingstone.com.tw//basic/2013120548275?zone=book&lid=book_class3_lia&actid=book_class3_lia,塚本邦尊、山田典一、大澤文孝,臉譜文化  ,9789862358320,https://cdn.kingstone.com.tw/book/images/product/20131/2013120548275/2013120548275b.jpg
精通機器學習|使用Scikit－Learn， Keras與TensorFlow 第二版,https://www.kingstone.com.tw//basic/2014713594457?zone=book&lid=book_class3_lia&actid=book_class3_lia,Aurelien Geron,歐萊禮    ,9789865024345,https://cdn.kingstone.com.tw/book/images/product/20147/2014713594457/2014713594457b.jpg
大數據分析Excel Power BI全方位應用（第三版）,https://www.kingstone.com.tw//basic/2014713582386?zone=book&lid=book_class3_lia&actid=book_class3_lia,謝邦昌、鄭宇庭、宋龍華等,碁峰資訊  ,9789865021788,https://cdn.kingstone.com.tw/book/images/product/20147/2014713582386/2014713582386b.jpg
PyTorch自然語言處理|以深度學習建立語言應用程式,https://www.kingstone.com.tw//basic/2014713580702?zone=book&lid=book_class3_lia&actid=book_class3_lia,Delip Rao等,歐萊禮    ,9789865021566,https://cdn.kingstone.com.tw/book/images/product/20147/2014713580702/2014713580702b.jpg
Big Data大數據分析－使用Power BI視覺化應用與Azure雲端平台,https://www.kingstone.com.tw//basic/2015217020992?zone=book&lid=book_class3_lia&actid=book_class3_lia,許家祥、劉文琇、嚴紹綺、施毓雯,台科大    ,9789865232856,https://cdn.kingstone.com.tw/book/images/product/20152/2015217020992/2015217020992b.jpg
喬叔帶你上手Elastic Stack：Elasticsearch的最佳實踐與最佳化技巧（iT邦幫忙鐵人賽系列書）,https://www.kingstone.com.tw//basic/2013120600362?zone=book&lid=book_class3_lia&actid=book_class3_lia,吳楨文,博碩文化  ,9789864348572,https://cdn.kingstone.com.tw/book/images/product/20131/2013120600362/2013120600362b.jpg
GA到GA4：掌握網站數據分析新工具的技術原理與商業思維,https://www.kingstone.com.tw//basic/2013120600072?zone=book&lid=book_class3_lia&actid=book_class3_lia,張秉祖,深智數位  ,9789860776287,https://cdn.kingstone.com.tw/book/images/product/20131/2013120600072/2013120600072b.jpg
最強行銷武器—整合行銷研究與資料科學,https://www.kingstone.com.tw//basic/2014713620491?zone=book&lid=book_class3_lia&actid=book_class3_lia,羅凱揚、蘇宇暉、鍾皓軒,碁峰資訊  ,9789865028244,https://cdn.kingstone.com.tw/book/images/product/20147/2014713620491/2014713620491b.jpg
人人都學得會的網路大數據分析入門：一步步教！超詳細！專為非專業人士所寫的機器學習指引,https://www.kingstone.com.tw//basic/2013120591646?zone=book&lid=book_class3_lia&actid=book_class3_lia,贊贊小屋,財經傳訊  ,9789860619409,https://cdn.kingstone.com.tw/book/images/product/20131/2013120591646/2013120591646b.jpg
資料淘金時代來臨：企業BI專案建置營運高生產力,https://www.kingstone.com.tw//basic/2014941715761?zone=book&lid=book_class3_lia&actid=book_class3_lia,王文信、楊揚,深智數位  ,9789865501952,https://cdn.kingstone.com.tw/book/images/product/20149/2014941715761/2014941715761b.jpg
Reinforcement Learning中文版|強化學習深度解析,https://www.kingstone.com.tw//basic/2014713614872?zone=book&lid=book_class3_lia&actid=book_class3_lia,Richard S. Sutton,碁峰資訊  ,9789865027193,https://cdn.kingstone.com.tw/book/images/product/20147/2014713614872/2014713614872b.jpg
深度強化式學習,https://www.kingstone.com.tw//basic/2013120579118?zone=book&lid=book_class3_lia&actid=book_class3_lia,Alexander Zai,旗標      ,9789863126522,https://cdn.kingstone.com.tw/book/images/product/20131/2013120579118/2013120579118b.jpg
大數據精析：PB級資料倉儲企業實戰,https://www.kingstone.com.tw//basic/2013120578876?zone=book&lid=book_class3_lia&actid=book_class3_lia,尚硅谷IT教育,深智數位  ,9789865501846,https://cdn.kingstone.com.tw/book/images/product/20131/2013120578876/2013120578876b.jpg
Kaggle 競賽攻頂秘笈： 揭開 Grandmaster 的特徵工程心法，掌握制勝的關鍵技術,https://www.kingstone.com.tw//basic/2013120575820?zone=book&lid=book_class3_lia&actid=book_class3_lia,門脇大輔、阪田隆司、保坂桂佑,旗標      ,9789863126379,https://cdn.kingstone.com.tw/book/images/product/20131/2013120575820/2013120575820b.jpg
機器學習入門：R語言（附範例光碟）,https://www.kingstone.com.tw//basic/2013120575790?zone=book&lid=book_class3_lia&actid=book_class3_lia,徐偉智、社團法人數位經濟發展,全華      ,9789865035334,https://cdn.kingstone.com.tw/book/images/product/20131/2013120575790/2013120575790b.jpg
文本探勘：小技術大應用（附範例光碟）,https://www.kingstone.com.tw//basic/2013120567047?zone=book&lid=book_class3_lia&actid=book_class3_lia,許健將、劉福蒝,全華      ,9789865035082,https://cdn.kingstone.com.tw/book/images/product/20131/2013120567047/2013120567047b.jpg
大數據X資料探勘X智慧營運,https://www.kingstone.com.tw//basic/2013120558632?zone=book&lid=book_class3_lia&actid=book_class3_lia,梁棟、張兆靜、彭木根,崧燁文化  ,9789577359926,https://cdn.kingstone.com.tw/book/images/product/20131/2013120558632/2013120558632b.jpg
社群網站資料探勘|看數字說故事、不用拔草也能測風向,https://www.kingstone.com.tw//basic/2014713599537?zone=book&lid=book_class3_lia&actid=book_class3_lia,Lam Thuy Vo,碁峰資訊  ,9789865025588,https://cdn.kingstone.com.tw/book/images/product/20147/2014713599537/2014713599537b.jpg
Statistics Hacks 統計學駭客75招,https://www.kingstone.com.tw//basic/2013190030243?zone=book&lid=book_class3_lia&actid=book_class3_lia,Bruce Frey,歐萊禮    ,9789865025366,https://cdn.kingstone.com.tw/book/images/product/20131/2013190030243/2013190030243b.jpg
D3實用指南|程式設計師和科學家的互動式圖形工具箱,https://www.kingstone.com.tw//basic/2014713599117?zone=book&lid=book_class3_lia&actid=book_class3_lia,Philipp K. Janert,歐萊禮    ,9789865025168,https://cdn.kingstone.com.tw/book/images/product/20147/2014713599117/2014713599117b.jpg
互聯網進化史：網路AI超應用 大數據×雲端×區塊鏈,https://www.kingstone.com.tw//basic/2013120551848?zone=book&lid=book_class3_lia&actid=book_class3_lia,楊吉,清文華泉  ,9789869920902,https://cdn.kingstone.com.tw/book/images/product/20131/2013120551848/2013120551848b.jpg
你也能做出Google：用Elasticsearch搭建叢集搜索引擎,https://www.kingstone.com.tw//basic/2013120550506?zone=book&lid=book_class3_lia&actid=book_class3_lia,牛冬,深智數位  ,9789865501358,https://cdn.kingstone.com.tw/book/images/product/20131/2013120550506/2013120550506b.jpg
一本書搞懂雲端計算、物聯網、大數據,https://www.kingstone.com.tw//basic/2013120551398?zone=book&lid=book_class3_lia&actid=book_class3_lia,楊正洪、周發武,崧燁文化  ,9789577359827,https://cdn.kingstone.com.tw/book/images/product/20131/2013120551398/2013120551398b.jpg
生成深度學習|訓練機器繪畫、作曲、寫作與玩遊戲,https://www.kingstone.com.tw//basic/2014713596291?zone=book&lid=book_class3_lia&actid=book_class3_lia,David Foster,歐萊禮    ,9789865024901,https://cdn.kingstone.com.tw/book/images/product/20147/2014713596291/2014713596291b.jpg
誰在帶風向、玩精準行銷｜認知駭客如何操弄人心,https://www.kingstone.com.tw//basic/2014713596031?zone=book&lid=book_class3_lia&actid=book_class3_lia,Kris Shaffer,碁峰資訊  ,9789865024482,https://cdn.kingstone.com.tw/book/images/product/20147/2014713596031/2014713596031b.jpg
機器學習|特徵工程,https://www.kingstone.com.tw//basic/2014713595249?zone=book&lid=book_class3_lia&actid=book_class3_lia,Alice Zheng、 Amanda Casari,歐萊禮    ,9789865024833,https://cdn.kingstone.com.tw/book/images/product/20147/2014713595249/2014713595249b.jpg
scikit－learn新手的晉級：實作各種機器學習解決方案,https://www.kingstone.com.tw//basic/2013120544307?zone=book&lid=book_class3_lia&actid=book_class3_lia,Gavin Hackeling,博碩文化  ,9789864344840,https://cdn.kingstone.com.tw/book/images/product/20131/2013120544307/2013120544307b.jpg
圖解！一次搞懂資料庫,https://www.kingstone.com.tw//basic/2013120544697?zone=book&lid=book_class3_lia&actid=book_class3_lia,小笠原種高,碁峰資訊  ,9789865024758,https://cdn.kingstone.com.tw/book/images/product/20131/2013120544697/2013120544697b.jpg
資料視覺化|製作充滿說服力的資訊圖表,https://www.kingstone.com.tw//basic/2014713594327?zone=book&lid=book_class3_lia&actid=book_class3_lia,Claus O. Wilke,歐萊禮    ,9789865024468,https://cdn.kingstone.com.tw/book/images/product/20147/2014713594327/2014713594327b.jpg
Google Analytics 疑難雜症大解惑－讓你恍然大悟的37個必備祕訣（2020年最新版）?,https://www.kingstone.com.tw//basic/2013120539440?zone=book&lid=book_class3_lia&actid=book_class3_lia,曾瀚平、鄭江宇,五南      ,9789577638540,https://cdn.kingstone.com.tw/book/images/product/20131/2013120539440/2013120539440b.jpg
雲端&區塊鏈必備技能－Hadoop：大數據高效處理實戰範典,https://www.kingstone.com.tw//basic/2013120535572?zone=book&lid=book_class3_lia&actid=book_class3_lia,譚磊、范磊,佳魁      ,9789863797999,https://cdn.kingstone.com.tw/book/images/product/20131/2013120535572/2013120535572b.jpg
Impala大數據查詢引擎：Hadoop高手養成攻略,https://www.kingstone.com.tw//basic/2013120528321?zone=book&lid=book_class3_lia&actid=book_class3_lia,賈傳青,佳魁      ,9789863797913,https://cdn.kingstone.com.tw/book/images/product/20131/2013120528321/2013120528321b.jpg
Kafka超限精析：重磅級大數據流處理技術平台,https://www.kingstone.com.tw//basic/2013120525955?zone=book&lid=book_class3_lia&actid=book_class3_lia,鄭奇煌,佳魁數位  ,9789863797869,https://cdn.kingstone.com.tw/book/images/product/20131/2013120525955/2013120525955b.jpg
圖形演算法|Apache Spark與Neo4j實務範例,https://www.kingstone.com.tw//basic/2014713589620?zone=book&lid=book_class3_lia&actid=book_class3_lia,Mark Needham- Amy E. Hodler,歐萊禮    ,9789865023096,https://cdn.kingstone.com.tw/book/images/product/20147/2014713589620/2014713589620b.jpg
Spark技術手冊|輕鬆寫意處理大數據,https://www.kingstone.com.tw//basic/2014713588258?zone=book&lid=book_class3_lia&actid=book_class3_lia,Matei Zaharia等,歐萊禮    ,9789865022990,https://cdn.kingstone.com.tw/book/images/product/20147/2014713588258/2014713588258b.jpg
Spark SQL親自動手做（熱銷版）：大數據時代的資料庫處理,https://www.kingstone.com.tw//basic/2013120522039?zone=book&lid=book_class3_lia&actid=book_class3_lia,紀涵、靖曉文、趙政達,佳魁      ,9789863797814,https://cdn.kingstone.com.tw/book/images/product/20131/2013120522039/2013120522039b.jpg
HBase應用大神：OpenTSDB時序式資料庫詳解,https://www.kingstone.com.tw//basic/2013120518964?zone=book&lid=book_class3_lia&actid=book_class3_lia,百里燊,深智數位  ,9789869807265,https://cdn.kingstone.com.tw/book/images/product/20131/2013120518964/2013120518964b.jpg
