書名,書籍網站,作者,出版社,ISBN,圖片網址
SQL Server 2014專業開發與設計,https://www.kingstone.com.tw//basic/2013120336902?zone=book&lid=book_class3_lic&actid=book_class3_lic,陳祥輝,博碩文化  ,9789864340156,https://cdn.kingstone.com.tw/book/images/product/20131/2013120336902/2013120336902b.jpg
NoSQL開發完美方案：Redis+Docker高性能虛擬化實戰,https://www.kingstone.com.tw//basic/2013120594272?zone=book&lid=book_class3_lic&actid=book_class3_lic,高洪岩,深智數位  ,9789860776140,https://cdn.kingstone.com.tw/book/images/product/20131/2013120594272/2013120594272b.jpg
最親切的SQL入門教室,https://www.kingstone.com.tw//basic/2014713602381?zone=book&lid=book_class3_lic&actid=book_class3_lic,矢沢久雄,碁峰資訊  ,9789865026004,https://cdn.kingstone.com.tw/book/images/product/20147/2014713602381/2014713602381b.jpg
SQL Server 2019/2017資料庫設計與開發實務,https://www.kingstone.com.tw//basic/2014713594747?zone=book&lid=book_class3_lic&actid=book_class3_lic,陳會安,碁峰資訊  ,9789865024727,https://cdn.kingstone.com.tw/book/images/product/20147/2014713594747/2014713594747b.jpg
優化 SQL|語法與資料庫的最佳化應用,https://www.kingstone.com.tw//basic/2014713588388?zone=book&lid=book_class3_lic&actid=book_class3_lic,羅炳森/黃超/鐘僥,碁峰資訊  ,9789865023065,https://cdn.kingstone.com.tw/book/images/product/20147/2014713588388/2014713588388b.jpg
７天學會大數據資料處理NoSQL：MongoDB入門與活用（第三版）,https://www.kingstone.com.tw//basic/2013120505001?zone=book&lid=book_class3_lic&actid=book_class3_lic,黃士嘉、林敬傑,博碩文化  ,9789864343942,https://cdn.kingstone.com.tw/book/images/product/20131/2013120505001/2013120505001b.jpg
SQL語法查詢入門|挖掘數據真相，征服大數據時代的第一本書,https://www.kingstone.com.tw//basic/2014713576927?zone=book&lid=book_class3_lic&actid=book_class3_lic,Anthony DeBarros,碁峰資訊  ,9789865020989,https://cdn.kingstone.com.tw/book/images/product/20147/2014713576927/2014713576927b.jpg
高效經營Big Data（第2版）：MongoDB資料庫系統管理與開發,https://www.kingstone.com.tw//basic/2013120494671?zone=book&lid=book_class3_lic&actid=book_class3_lic,郭遠威,上奇科技  ,9789865003227,https://cdn.kingstone.com.tw/book/images/product/20131/2013120494671/2013120494671b.jpg
MySQL 5.X/6.X 雲端資料庫SQL設計技術寶典,https://www.kingstone.com.tw//basic/2013120477223?zone=book&lid=book_class3_lic&actid=book_class3_lic,孫惠民,易習圖書  ,9789578755444,https://cdn.kingstone.com.tw/book/images/product/20131/2013120477223/2013120477223b.jpg
從零開始！邁向數據分析SQL資料庫語法入門,https://www.kingstone.com.tw//basic/2013120473485?zone=book&lid=book_class3_lic&actid=book_class3_lic,,旗標      ,9789863124498,https://cdn.kingstone.com.tw/book/images/product/20131/2013120473485/2013120473485b.jpg
大數據時代一定要會的SQL商業資料分析術,https://www.kingstone.com.tw//basic/2013120470019?zone=book&lid=book_class3_lic&actid=book_class3_lic,加嵜長門、田宮直人,旗標      ,9789863125150,https://cdn.kingstone.com.tw/book/images/product/20131/2013120470019/2013120470019b.jpg
SQL Server 2017/2016資料庫設計與開發實務,https://www.kingstone.com.tw//basic/2014713552365?zone=book&lid=book_class3_lic&actid=book_class3_lic,陳會安,碁峰資訊  ,9789864767816,https://cdn.kingstone.com.tw/book/images/product/20147/2014713552365/2014713552365b.jpg
