書名,書籍網站,作者,出版社,ISBN,圖片網址
資料庫解剖學：從內部深解MySQL運作原理,https://www.kingstone.com.tw//basic/2013120589735?zone=book&lid=book_class3_lie&actid=book_class3_lie,小孩子4919,深智數位  ,9789865501990,https://cdn.kingstone.com.tw/book/images/product/20131/2013120589735/2013120589735b.jpg
圖解SQL查詢的基礎知識|以MySQL為例,https://www.kingstone.com.tw//basic/2014713617378?zone=book&lid=book_class3_lie&actid=book_class3_lie,坂下夕里,碁峰資訊  ,9789865028602,https://cdn.kingstone.com.tw/book/images/product/20147/2014713617378/2014713617378b.jpg
圖解資料庫系統理論－使用MySQL實作,https://www.kingstone.com.tw//basic/2013120389533?zone=book&lid=book_class3_lie&actid=book_class3_lie,李春雄,上奇科技  ,9789863757184,https://cdn.kingstone.com.tw/book/images/product/20131/2013120389533/2013120389533b.jpg
必須精通MySQL最新版：最成功應用範例全書,https://www.kingstone.com.tw//basic/2013120571082?zone=book&lid=book_class3_lie&actid=book_class3_lie,王英英,深智數位  ,9789865501679,https://cdn.kingstone.com.tw/book/images/product/20131/2013120571082/2013120571082b.jpg
解析PostgreSQL程式與資料庫應用,https://www.kingstone.com.tw//basic/2013120532106?zone=book&lid=book_class3_lie&actid=book_class3_lie,李浩,佳魁      ,9789863797968,https://cdn.kingstone.com.tw/book/images/product/20131/2013120532106/2013120532106b.jpg
MySQL新手入門超級手冊：第二版（適用MySQL 8.x與MariaDB 10.x）,https://www.kingstone.com.tw//basic/2014713557575?zone=book&lid=book_class3_lie&actid=book_class3_lie,張益裕,碁峰資訊  ,9789864768547,https://cdn.kingstone.com.tw/book/images/product/20147/2014713557575/2014713557575b.jpg
MySQL 5.X/6.X 雲端資料庫SQL設計技術寶典,https://www.kingstone.com.tw//basic/2013120378254?zone=book&lid=book_class3_lie&actid=book_class3_lie,孫惠民,易習圖書  ,9789869291248,https://cdn.kingstone.com.tw/book/images/product/20131/2013120378254/2013120378254b.jpg
MySQL 雲端資料庫 設計寶典,https://www.kingstone.com.tw//basic/2013120561885?zone=book&lid=book_class3_lie&actid=book_class3_lie,孫惠民,易習圖書  ,9789576154386,https://cdn.kingstone.com.tw/book/images/product/20131/2013120561885/2013120561885b.jpg
資料庫高手昇華必經道路：解析PostgreSQL原始程式碼,https://www.kingstone.com.tw//basic/2013120491335?zone=book&lid=book_class3_lie&actid=book_class3_lie,李浩,佳魁數位  ,9789863797241,https://cdn.kingstone.com.tw/book/images/product/20131/2013120491335/2013120491335b.jpg
MySQL與MariaDB學習手冊,https://www.kingstone.com.tw//basic/2014713522924?zone=book&lid=book_class3_lie&actid=book_class3_lie,Russell J.T. Dyer,歐萊禮    ,9789864763832,https://cdn.kingstone.com.tw/book/images/product/20147/2014713522924/2014713522924b.jpg
MySQL新手入門超級手冊(適用MariaDB),https://www.kingstone.com.tw//basic/2014713460417?zone=book&lid=book_class3_lie&actid=book_class3_lie,張益裕,碁峰資訊  ,9789863476351,https://cdn.kingstone.com.tw/book/images/product/20147/2014713460417/2014713460417b.jpg
MySQL完全攻略 ： 管理與維護,https://www.kingstone.com.tw//basic/2013120310186?zone=book&lid=book_class3_lie&actid=book_class3_lie,唐漢明、翟振興、關寶軍等,博碩文化  ,9789862019498,https://cdn.kingstone.com.tw/book/images/product/20131/2013120310186/2013120310186b.jpg
MySQL完全攻略 ： 資料庫開發與效能調校,https://www.kingstone.com.tw//basic/2013120307803?zone=book&lid=book_class3_lie&actid=book_class3_lie,唐漢明、翟振興、關寶軍等,博碩文化  ,9789862019474,https://cdn.kingstone.com.tw/book/images/product/20131/2013120307803/2013120307803b.jpg
比MySQL快60倍：Redis記憶體儲存資料庫快速上手,https://www.kingstone.com.tw//basic/2013120281646?zone=book&lid=book_class3_lie&actid=book_class3_lie,李子驊,佳魁      ,9789865764852,https://cdn.kingstone.com.tw/book/images/product/20131/2013120281646/2013120281646b.jpg
深入MySQL核心技術應用,https://www.kingstone.com.tw//basic/2013120002180?zone=book&lid=book_class3_lie&actid=book_class3_lie,祝定澤,佳魁      ,9789865908768,https://cdn.kingstone.com.tw/book/images/product/20131/2013120002180/2013120002180b.jpg
DreamweaverCS3資料庫網站設計for JSP & MySQL實戰演練（附範例VCD）,https://www.kingstone.com.tw//basic/2014713271044?zone=book&lid=book_class3_lie&actid=book_class3_lie,蔡國強,易習圖書  ,9789866154522,https://cdn.kingstone.com.tw/book/images/product/20147/2014713271044/2014713271044b.jpg
MySQL 5資料庫實務,https://www.kingstone.com.tw//basic/2014712864261?zone=book&lid=book_class3_lie&actid=book_class3_lie,梁仁楷,網奕資訊  ,9789867485885,https://cdn.kingstone.com.tw/book/images/product/20147/2014712864261/2014712864261b.jpg
MySQL 5徹底研究(第三版),https://www.kingstone.com.tw//basic/2014712851148?zone=book&lid=book_class3_lie&actid=book_class3_lie,Michael Kofl,博碩文化  ,9789575279080,https://cdn.kingstone.com.tw/book/images/product/20147/2014712851148/2014712851148b.jpg
My SQL 5 For Windows視覺化資料庫管理及開,https://www.kingstone.com.tw//basic/2014712735691?zone=book&lid=book_class3_lie&actid=book_class3_lie,孫惠民,松崗      ,9789861254814,https://cdn.kingstone.com.tw/book/images/product/20147/2014712735691/2014712735691b.jpg
MySQL設計與管理-奧祕探索,https://www.kingstone.com.tw//basic/2014712721106?zone=book&lid=book_class3_lie&actid=book_class3_lie,李勁,文魁      ,9789861254401,https://cdn.kingstone.com.tw/book/images/product/20147/2014712721106/2014712721106b.jpg
MySQL管理者手札-跟MySQL AB徹底研究,https://www.kingstone.com.tw//basic/2014712714405?zone=book&lid=book_class3_lie&actid=book_class3_lie,My SQL Press,上奇科技  ,9789867529794,https://cdn.kingstone.com.tw/book/images/product/20147/2014712714405/2014712714405b.jpg
