書名,書籍網站,作者,出版社,ISBN,圖片網址
深入淺出PMP 第四版,https://www.kingstone.com.tw//basic/2014713580542?zone=book&lid=book_class3_liz&actid=book_class3_liz,Jennifer Greene等,歐萊禮    ,9789865021351,https://cdn.kingstone.com.tw/book/images/product/20147/2014713580542/2014713580542b.jpg
世界第一簡單資料庫,https://www.kingstone.com.tw//basic/2013120125551?zone=book&lid=book_class3_liz&actid=book_class3_liz,高橋麻奈,世茂      ,9789866363573,https://cdn.kingstone.com.tw/book/images/product/20131/2013120125551/2013120125551b.jpg
為你自己學Git,https://www.kingstone.com.tw//basic/2013120455665?zone=book&lid=book_class3_liz&actid=book_class3_liz,五倍紅寶石高見龍,博碩文化  ,9789864342662,https://cdn.kingstone.com.tw/book/images/product/20131/2013120455665/2013120455665b.jpg
程式語言與設計：使用圖形化WEBDUINO Blockly程式語言：最新版,https://www.kingstone.com.tw//basic/2013120559394?zone=book&lid=book_class3_liz&actid=book_class3_liz,蔡宜坦,台科大    ,9789865230500,https://cdn.kingstone.com.tw/book/images/product/20131/2013120559394/2013120559394b.jpg
TensorFlow 2.0 深度學習快速入門：從１到２快人一步，從０到２一步到位,https://www.kingstone.com.tw//basic/2013120546301?zone=book&lid=book_class3_liz&actid=book_class3_liz,趙英俊,博碩文化  ,9789864344826,https://cdn.kingstone.com.tw/book/images/product/20131/2013120546301/2013120546301b.jpg
資料結構初學指引：入門精要版（第三版）,https://www.kingstone.com.tw//basic/2013120536234?zone=book&lid=book_class3_liz&actid=book_class3_liz,陳錦輝,博碩文化  ,9789864344673,https://cdn.kingstone.com.tw/book/images/product/20131/2013120536234/2013120536234b.jpg
PowerBuilder 應用程式設計寶典,https://www.kingstone.com.tw//basic/2013120536784?zone=book&lid=book_class3_liz&actid=book_class3_liz,方榮久,易習圖書  ,9789576154133,https://cdn.kingstone.com.tw/book/images/product/20131/2013120536784/2013120536784b.jpg
極詳細 + 超深入：最新版TensorFlow 1.x/2.x完整工程實作,https://www.kingstone.com.tw//basic/2013120532786?zone=book&lid=book_class3_liz&actid=book_class3_liz,李金洪,深智數位  ,9789865501136,https://cdn.kingstone.com.tw/book/images/product/20131/2013120532786/2013120532786b.jpg
深度學習,https://www.kingstone.com.tw//basic/2014713588418?zone=book&lid=book_class3_liz&actid=book_class3_liz,Ian Goodfellow 等,碁峰資訊  ,9789865021924,https://cdn.kingstone.com.tw/book/images/product/20147/2014713588418/2014713588418b.jpg
貫串Elasticsearch & Lucene：輕鬆開發高強全文檢索搜尋引擎,https://www.kingstone.com.tw//basic/2013120521957?zone=book&lid=book_class3_liz&actid=book_class3_liz,姚攀,佳魁      ,9789863797807,https://cdn.kingstone.com.tw/book/images/product/20131/2013120521957/2013120521957b.jpg
深度學習|生命科學應用,https://www.kingstone.com.tw//basic/2014713585752?zone=book&lid=book_class3_liz&actid=book_class3_liz,Bharath Ramsundar等,歐萊禮    ,9789865022617,https://cdn.kingstone.com.tw/book/images/product/20147/2014713585752/2014713585752b.jpg
打造股市小秘書：聊天機器人x網路爬蟲x NoSQLxPython整合應用實務,https://www.kingstone.com.tw//basic/2014713585172?zone=book&lid=book_class3_liz&actid=book_class3_liz,行銷資料科學團隊 楊超霆等,碁峰資訊  ,9789865021917,https://cdn.kingstone.com.tw/book/images/product/20147/2014713585172/2014713585172b.jpg
TensorFlow自然語言處理|善用 Python 深度學習函式庫，教機器學會自然語言,https://www.kingstone.com.tw//basic/2014713585042?zone=book&lid=book_class3_liz&actid=book_class3_liz,Thushan Ganegedara,碁峰資訊  ,9789865022471,https://cdn.kingstone.com.tw/book/images/product/20147/2014713585042/2014713585042b.jpg
實戰TensorFlow x Keras工作現場開發,https://www.kingstone.com.tw//basic/2014713573681?zone=book&lid=book_class3_liz&actid=book_class3_liz,太田滿久、須藤大、澤匠雅等,碁峰資訊  ,9789865020620,https://cdn.kingstone.com.tw/book/images/product/20147/2014713573681/2014713573681b.jpg
看得懂的人工智慧實作書：手把手教你玩Tensorflow,https://www.kingstone.com.tw//basic/2013120478435?zone=book&lid=book_class3_liz&actid=book_class3_liz,鄭澤宇、梁博文、顧思宇,深石數位  ,9789865002428,https://cdn.kingstone.com.tw/book/images/product/20131/2013120478435/2013120478435b.jpg
Git活用大事典,https://www.kingstone.com.tw//basic/2013120466494?zone=book&lid=book_class3_liz&actid=book_class3_liz,岡本隆史、武田健太郎、相良幸範,旗標      ,9789863125051,https://cdn.kingstone.com.tw/book/images/product/20131/2013120466494/2013120466494b.jpg
完整學會Git，GitHub，Git Server的24堂課（第二版）,https://www.kingstone.com.tw//basic/2014713544582?zone=book&lid=book_class3_liz&actid=book_class3_liz,孫宏明,碁峰資訊  ,9789864766932,https://cdn.kingstone.com.tw/book/images/product/20147/2014713544582/2014713544582b.jpg
