書名,書籍網站,作者,出版社,ISBN,圖片網址
C++ Primer， 5th Edition 中文版,https://www.kingstone.com.tw//basic/2014713580412?zone=book&lid=book_class3_ljb&actid=book_class3_ljb,Stanley B. Lippman等,碁峰資訊  ,9789865021726,https://cdn.kingstone.com.tw/book/images/product/20147/2014713580412/2014713580412b.jpg
深入淺出 C# 第四版,https://www.kingstone.com.tw//basic/2014713620231?zone=book&lid=book_class3_ljb&actid=book_class3_ljb,Andrew Stellman,歐萊禮    ,9789865028664,https://cdn.kingstone.com.tw/book/images/product/20147/2014713620231/2014713620231b.jpg
C++全方位學習第四版（適用Dev C++與Visual C++）,https://www.kingstone.com.tw//basic/2014713615794?zone=book&lid=book_class3_ljb&actid=book_class3_ljb,古頤榛,碁峰資訊  ,9789865028022,https://cdn.kingstone.com.tw/book/images/product/20147/2014713615794/2014713615794b.jpg
C & C++程式設計經典－第四版（適用Dev C++與Visual C++ 2017）,https://www.kingstone.com.tw//basic/2014713553997?zone=book&lid=book_class3_ljb&actid=book_class3_ljb,蔡文龍、張力元,碁峰資訊  ,9789864768110,https://cdn.kingstone.com.tw/book/images/product/20147/2014713553997/2014713553997b.jpg
C++ Primer Plus中文版 （第六版）,https://www.kingstone.com.tw//basic/2014713371485?zone=book&lid=book_class3_ljb&actid=book_class3_ljb,Stephen Prata,碁峰資訊  ,9789862766361,https://cdn.kingstone.com.tw/book/images/product/20147/2014713371485/2014713371485b.jpg
第一次學C就上手（第三版）－融入專題製作與APCS先修檢測,https://www.kingstone.com.tw//basic/2014713622105?zone=book&lid=book_class3_ljb&actid=book_class3_ljb,李啟龍,碁峰資訊  ,9789865029319,https://cdn.kingstone.com.tw/book/images/product/20147/2014713622105/2014713622105b.jpg
C++ 程式語言 設計寶典,https://www.kingstone.com.tw//basic/2013120595644?zone=book&lid=book_class3_ljb&actid=book_class3_ljb,洪志維,經瑋      ,9789576154744,https://cdn.kingstone.com.tw/book/images/product/20131/2013120595644/2013120595644b.jpg
Visual C# 2019程式設計完全解析（I）：帶著新手打穩程式基礎,https://www.kingstone.com.tw//basic/2013120590724?zone=book&lid=book_class3_ljb&actid=book_class3_ljb,資訊種子研究室,博碩文化  ,9789864347872,https://cdn.kingstone.com.tw/book/images/product/20131/2013120590724/2013120590724b.jpg
AI世代：高中生也能輕鬆搞懂的運算思維與演算法使用C++,https://www.kingstone.com.tw//basic/2013120587441?zone=book&lid=book_class3_ljb&actid=book_class3_ljb,吳燦銘,博碩文化  ,9789864347599,https://cdn.kingstone.com.tw/book/images/product/20131/2013120587441/2013120587441b.jpg
戰勝C語言（第三版）,https://www.kingstone.com.tw//basic/2014713615824?zone=book&lid=book_class3_ljb&actid=book_class3_ljb,蔡明志,碁峰資訊  ,9789865027438,https://cdn.kingstone.com.tw/book/images/product/20147/2014713615824/2014713615824b.jpg
無師自通的C語言程式設計：附大學程式設計先修檢測（APCS）試題解析,https://www.kingstone.com.tw//basic/2013120579088?zone=book&lid=book_class3_ljb&actid=book_class3_ljb,邏輯林,五南      ,9789865224578,https://cdn.kingstone.com.tw/book/images/product/20131/2013120579088/2013120579088b.jpg
