書名,書籍網站,作者,出版社,ISBN,圖片網址
快速學會 Visual Basic,https://www.kingstone.com.tw//basic/2013120588103?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,林義証、松橋工作室,知果文化  ,9789860622553,https://cdn.kingstone.com.tw/book/images/product/20131/2013120588103/2013120588103b.jpg
新觀念 Microsoft Visual Basic 2017 程式設計,https://www.kingstone.com.tw//basic/2013120424302?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,施威銘研究室,旗標      ,9789863124054,https://cdn.kingstone.com.tw/book/images/product/20131/2013120424302/2013120424302b.jpg
Visual Basic 程式設計 武功秘笈,https://www.kingstone.com.tw//basic/2013120564831?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,松橋工作室,易習圖書  ,9789863801214,https://cdn.kingstone.com.tw/book/images/product/20131/2013120564831/2013120564831b.jpg
VisualBasic 程式設計 高手,https://www.kingstone.com.tw//basic/2013120557710?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,黃瑞祥、松橋3小組工作室,易習圖書  ,9789863801061,https://cdn.kingstone.com.tw/book/images/product/20131/2013120557710/2013120557710b.jpg
無師自通的物件導向程式設計：結合生活與遊戲的 Visual Basic 語言,https://www.kingstone.com.tw//basic/2013120553392?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,邏輯林,五南      ,9789577638960,https://cdn.kingstone.com.tw/book/images/product/20131/2013120553392/2013120553392b.jpg
Visual C# 2019 程式設計16堂課,https://www.kingstone.com.tw//basic/2013120546141?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,數位新知,深石數位  ,9789865004736,https://cdn.kingstone.com.tw/book/images/product/20131/2013120546141/2013120546141b.jpg
VB.NET 開發 ASP.NET 資料庫網頁設計寶典,https://www.kingstone.com.tw//basic/2013120542563?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,鄭博元、郭芳熙,易習圖書  ,9789576154263,https://cdn.kingstone.com.tw/book/images/product/20131/2013120542563/2013120542563b.jpg
Visual F# 技術開發設計寶典,https://www.kingstone.com.tw//basic/2013120530072?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,孫惠民,易習圖書  ,9789576154058,https://cdn.kingstone.com.tw/book/images/product/20131/2013120530072/2013120530072b.jpg
Excel VBA經典程式碼：一行抵萬行「偷懶程式碼」應用大全 （下）,https://www.kingstone.com.tw//basic/2013120527379?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,Excel Home　編著,博碩文化  ,9789864344543,https://cdn.kingstone.com.tw/book/images/product/20131/2013120527379/2013120527379b.jpg
ASP.NET 網站開發設計寶典：使用Visual Basic,https://www.kingstone.com.tw//basic/2013120520325?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,蔡國強,易習圖書  ,9789576153969,https://cdn.kingstone.com.tw/book/images/product/20131/2013120520325/2013120520325b.jpg
資料結構：使用Visual C#,https://www.kingstone.com.tw//basic/2013120517332?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,李淑馨,深石數位  ,9789865004132,https://cdn.kingstone.com.tw/book/images/product/20131/2013120517332/2013120517332b.jpg
Visual Basic 程式設計寶典,https://www.kingstone.com.tw//basic/2013120502765?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,黃瑞祥．松橋3小組工作室,易習圖書  ,9789576153587,https://cdn.kingstone.com.tw/book/images/product/20131/2013120502765/2013120502765b.jpg
用Visual Basic學程式設計運算思維（適用VB 2017/2015）,https://www.kingstone.com.tw//basic/2014713567512?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,李啟龍,碁峰資訊  ,9789864769827,https://cdn.kingstone.com.tw/book/images/product/20147/2014713567512/2014713567512b.jpg
實戰Docker|使用Windows Server 2016/Windows 10,https://www.kingstone.com.tw//basic/2014713558657?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,Elton Stoneman,碁峰資訊  ,9789864767915,https://cdn.kingstone.com.tw/book/images/product/20147/2014713558657/2014713558657b.jpg
Visual Basic 2017程式設計（適用2017/2015）,https://www.kingstone.com.tw//basic/2014713556493?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,陳惠貞,碁峰資訊  ,9789864768394,https://cdn.kingstone.com.tw/book/images/product/20147/2014713556493/2014713556493b.jpg
Visual Basic 教學範本,https://www.kingstone.com.tw//basic/2013120474697?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,林義証、松橋工作室,易習圖書  ,9789578755352,https://cdn.kingstone.com.tw/book/images/product/20131/2013120474697/2013120474697b.jpg
Visio 2016 商業應用圖表超強製作術：視覺化實務設計,https://www.kingstone.com.tw//basic/2013120467736?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,楊玉文,博碩文化  ,9789864342952,https://cdn.kingstone.com.tw/book/images/product/20131/2013120467736/2013120467736b.jpg
程式設計實戰精華：使用Visual Basic（第2版）,https://www.kingstone.com.tw//basic/2013120465022?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,潘皇玉,上奇科技  ,9789865001575,https://cdn.kingstone.com.tw/book/images/product/20131/2013120465022/2013120465022b.jpg
Visual Basic程式設計開發實務,https://www.kingstone.com.tw//basic/2013120463608?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,賴榮樞,上奇科技  ,9789865001056,https://cdn.kingstone.com.tw/book/images/product/20131/2013120463608/2013120463608b.jpg
Visual Basic 2017 入門與應用,https://www.kingstone.com.tw//basic/2013120456747?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,李春雄,深石數位  ,9789865000691,https://cdn.kingstone.com.tw/book/images/product/20131/2013120456747/2013120456747b.jpg
Visual Basic.NET 2017物件/ 函數物件/元件模組開發寶典,https://www.kingstone.com.tw//basic/2013120440098?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,孫惠民,易習圖書  ,9789869496322,https://cdn.kingstone.com.tw/book/images/product/20131/2013120440098/2013120440098b.jpg
Visual Basic程式設計一本通,https://www.kingstone.com.tw//basic/2013120438217?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,吳燦銘,上奇科技  ,9789869497206,https://cdn.kingstone.com.tw/book/images/product/20131/2013120438217/2013120438217b.jpg
Visual Basic 2015入門與應用,https://www.kingstone.com.tw//basic/2013120420724?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,李春雄,上奇科技  ,9789863759263,https://cdn.kingstone.com.tw/book/images/product/20131/2013120420724/2013120420724b.jpg
程式設計實戰精華Visual Basic,https://www.kingstone.com.tw//basic/2013120409828?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,潘皇玉,上奇科技  ,9789863758389,https://cdn.kingstone.com.tw/book/images/product/20131/2013120409828/2013120409828b.jpg
Visio 2016 實戰演練,https://www.kingstone.com.tw//basic/2013120396234?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,elearningDJ,易習圖書  ,9789869314954,https://cdn.kingstone.com.tw/book/images/product/20131/2013120396234/2013120396234b.jpg
程式探索Visual Basic完整開發應用,https://www.kingstone.com.tw//basic/2013120389953?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,賴榮福,上奇科技  ,9789863757412,https://cdn.kingstone.com.tw/book/images/product/20131/2013120389953/2013120389953b.jpg
程式探索－Visual Basic開發實例入門,https://www.kingstone.com.tw//basic/2013120388031?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,吳燦銘,上奇科技  ,9789863757429,https://cdn.kingstone.com.tw/book/images/product/20131/2013120388031/2013120388031b.jpg
Visual Basic 2015基礎必修課（適用VB 2015~2013，附範例光碟）,https://www.kingstone.com.tw//basic/2014713479532?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,蔡文龍、何叡、張傑瑞等,碁峰資訊  ,9789863478768,https://cdn.kingstone.com.tw/book/images/product/20147/2014713479532/2014713479532b.jpg
Visual Basic 2015入門與應用,https://www.kingstone.com.tw//basic/2013120367135?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,李春雄,上奇科技  ,9789863755982,https://cdn.kingstone.com.tw/book/images/product/20131/2013120367135/2013120367135b.jpg
程者為王：Visual Basic入門設計128招,https://www.kingstone.com.tw//basic/2013120367425?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,千展資訊,上奇科技  ,9789863756200,https://cdn.kingstone.com.tw/book/images/product/20131/2013120367425/2013120367425b.jpg
Visual Basic 開發應用系統的十堂課,https://www.kingstone.com.tw//basic/2014713478610?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,陳鴻敏,碁峰資訊  ,9789863478454,https://cdn.kingstone.com.tw/book/images/product/20147/2014713478610/2014713478610b.jpg
Microsoft Visual Basic 2015程式設計範例教本,https://www.kingstone.com.tw//basic/2013120354852?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,陳會安,旗標      ,9789863122982,https://cdn.kingstone.com.tw/book/images/product/20131/2013120354852/2013120354852b.jpg
Visual Basic2012程式設計實例[第三版],https://www.kingstone.com.tw//basic/2013120347281?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,潘皇玉,上奇科技  ,9789863754060,https://cdn.kingstone.com.tw/book/images/product/20131/2013120347281/2013120347281b.jpg
yisual Basic 教學範本,https://www.kingstone.com.tw//basic/2013120334168?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,林義証、松橋工作室,經瑋      ,9789863800361,https://cdn.kingstone.com.tw/book/images/product/20131/2013120334168/2013120334168b.jpg
主題式 Visual Basic 2012/2013 入門與專題製作（增訂版）,https://www.kingstone.com.tw//basic/2013120314894?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,徐毅,台科大    ,9789863088516,https://cdn.kingstone.com.tw/book/images/product/20131/2013120314894/2013120314894b.jpg
VisualBasic 程式設計進階,https://www.kingstone.com.tw//basic/2013120293847?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,黃瑞祥、松橋 3小組工作室,經瑋      ,9789865835750,https://cdn.kingstone.com.tw/book/images/product/20131/2013120293847/2013120293847b.jpg
VisualBasic 程式設計入門,https://www.kingstone.com.tw//basic/2013120293977?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,黃瑞祥、松橋 3小組工作室,經瑋      ,9789865835774,https://cdn.kingstone.com.tw/book/images/product/20131/2013120293977/2013120293977b.jpg
用實例學Visual Basic 2013 / 2012程式設計,https://www.kingstone.com.tw//basic/2014713420169?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,陳會安,碁峰資訊  ,9789863470656,https://cdn.kingstone.com.tw/book/images/product/20147/2014713420169/2014713420169b.jpg
Visual Basic 2012從零開始,https://www.kingstone.com.tw//basic/2013120257887?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,資訊教育研究室,博碩文化  ,9789862017937,https://cdn.kingstone.com.tw/book/images/product/20131/2013120257887/2013120257887b.jpg
Visual Basic 教學範本,https://www.kingstone.com.tw//basic/2014713390127?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,林義証,易習圖書  ,9789865835132,https://cdn.kingstone.com.tw/book/images/product/20147/2014713390127/2014713390127b.jpg
主題式 Visual Basic 2012 入門與專題製作（附光碟）,https://www.kingstone.com.tw//basic/2013120233355?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,徐毅,台科大    ,9789863084273,https://cdn.kingstone.com.tw/book/images/product/20131/2013120233355/2013120233355b.jpg
Visual Bacic 程式設計的14堂課,https://www.kingstone.com.tw//basic/2014713355799?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,黃瑞祥,易習圖書  ,9789866025594,https://cdn.kingstone.com.tw/book/images/product/20147/2014713355799/2014713355799b.jpg
一次就掌握ASP.NET3.5－使用VB.NET,https://www.kingstone.com.tw//basic/2014713346094?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,鄭博元,易習圖書  ,9789866025518,https://cdn.kingstone.com.tw/book/images/product/20147/2014713346094/2014713346094b.jpg
Visual Basic 6基礎必修課（附光碟）,https://www.kingstone.com.tw//basic/2014713320728?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,林義証,碁峰資訊  ,9789862764152,https://cdn.kingstone.com.tw/book/images/product/20147/2014713320728/2014713320728b.jpg
Visual Basic 2010 入門與應用含專題製作（附光碟）,https://www.kingstone.com.tw//basic/2019700002618?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,李春雄,台科大    ,9789862387979,https://cdn.kingstone.com.tw/book/images/product/20197/2019700002618/2019700002618b.jpg
Visual Basic 2010從零開始,https://www.kingstone.com.tw//basic/2013120173132?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,資訊教育研究室,博碩文化  ,9789862014431,https://cdn.kingstone.com.tw/book/images/product/20131/2013120173132/2013120173132b.jpg
Visual Basic 2010 程式設計速學對策（附影音教學、範例檔、題解、VS 2010Express中文版）,https://www.kingstone.com.tw//basic/2014713263421?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,鄧文淵,碁峰資訊  ,9789862761304,https://cdn.kingstone.com.tw/book/images/product/20147/2014713263421/2014713263421b.jpg
新觀念Microsoft Visual Basic 2010程式設計,https://www.kingstone.com.tw//basic/2013120160439?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,施威銘研究室,旗標      ,9789574428595,https://cdn.kingstone.com.tw/book/images/product/20131/2013120160439/2013120160439b.jpg
Visual Basic 2008基礎必修課（第二版）（附光碟）,https://www.kingstone.com.tw//basic/2014713199553?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,蔡文龍,碁峰資訊  ,9789861818740,https://cdn.kingstone.com.tw/book/images/product/20147/2014713199553/2014713199553b.jpg
Visual Basic 2008網路遊戲程式設計,https://www.kingstone.com.tw//basic/2014713191977?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,江家頡,博碩文化  ,9789862012802,https://cdn.kingstone.com.tw/book/images/product/20147/2014713191977/2014713191977b.jpg
Visual Basic 2008從零開始,https://www.kingstone.com.tw//basic/2014713184306?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,資訊教育研究室,博碩文化  ,9789862012710,https://cdn.kingstone.com.tw/book/images/product/20147/2014713184306/2014713184306b.jpg
一次就掌握ASP.NET3.5－使用VB.N,https://www.kingstone.com.tw//basic/2014713166326?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,鄭博元,知城      ,9789866551420,https://cdn.kingstone.com.tw/book/images/product/20147/2014713166326/2014713166326b.jpg
Visual Basic 2008程式設計經典教本,https://www.kingstone.com.tw//basic/2014713151629?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,許清榮,博碩文化  ,9789862012369,https://cdn.kingstone.com.tw/book/images/product/20147/2014713151629/2014713151629b.jpg
VisualBasic 2008完美的演繹（,https://www.kingstone.com.tw//basic/2014713147974?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,黃瑞祥,知城      ,9789866551222,https://cdn.kingstone.com.tw/book/images/product/20147/2014713147974/2014713147974b.jpg
Visual Basic 2008網路程式設計之道（附光碟）,https://www.kingstone.com.tw//basic/2014713114167?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,黃嘉輝,碁峰資訊  ,9789861815855,https://cdn.kingstone.com.tw/book/images/product/20147/2014713114167/2014713114167b.jpg
新觀念Microsoft Visual Basic 2008程式設計,https://www.kingstone.com.tw//basic/2013120155312?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,施威銘研究室,旗標      ,9789574425969,https://cdn.kingstone.com.tw/book/images/product/20131/2013120155312/2013120155312b.jpg
循序漸進學Microsoft Visual Basic 2008,https://www.kingstone.com.tw//basic/2014713061485?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,廖信彥,博碩文化  ,9789862011317,https://cdn.kingstone.com.tw/book/images/product/20147/2014713061485/2014713061485b.jpg
Visual Basic 2005完美的演繹,https://www.kingstone.com.tw//basic/2014712982002?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,黃世陽,知城      ,9789866850295,https://cdn.kingstone.com.tw/book/images/product/20147/2014712982002/2014712982002b.jpg
新Visual Basic 視窗程式設計200專題實,https://www.kingstone.com.tw//basic/2014712972065?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,笠原一浩,博碩文化  ,9789862010310,https://cdn.kingstone.com.tw/book/images/product/20147/2014712972065/2014712972065b.jpg
Visual Basic2005初學入門解答,https://www.kingstone.com.tw//basic/2013120079373?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,胡啟明,弘智      ,9789867451132,https://cdn.kingstone.com.tw/book/images/product/20131/2013120079373/2013120079373b.jpg
Visual Basic2005初學入門（附光碟）,https://www.kingstone.com.tw//basic/2013120079403?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,胡啟明,弘智      ,9789867451125,https://cdn.kingstone.com.tw/book/images/product/20131/2013120079403/2013120079403b.jpg
Visual Basic 2005 Express程式設計經典教,https://www.kingstone.com.tw//basic/2014712851278?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,許清榮,博碩文化  ,9789575279097,https://cdn.kingstone.com.tw/book/images/product/20147/2014712851278/2014712851278b.jpg
Visual Basic 2017基礎必修課(適用VB 2017/2015，附光碟),https://www.kingstone.com.tw//basic/2014713531339?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,蔡文龍、何叡、張傑瑞等,碁峰資訊  ,9789864765409,https://cdn.kingstone.com.tw/book/images/product/20147/2014713531339/2014713531339b.jpg
資料結構：使用 Visual Basic 語言(適用VB 2008-2017),https://www.kingstone.com.tw//basic/2013120439429?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,陳芸仙,松崗      ,9789572246429,https://cdn.kingstone.com.tw/book/images/product/20131/2013120439429/2013120439429b.jpg
Visual Basic 2015資料庫程式設計暨進銷存系統實作,https://www.kingstone.com.tw//basic/2013120395442?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,新鑫資訊,松崗      ,9789572245774,https://cdn.kingstone.com.tw/book/images/product/20131/2013120395442/2013120395442b.jpg
Visual Basic 2015程式設計18堂特訓,https://www.kingstone.com.tw//basic/2013120383531?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,李啟龍,松崗      ,9789572245521,https://cdn.kingstone.com.tw/book/images/product/20131/2013120383531/2013120383531b.jpg
新思維系列 Visual Basic 2015 程式設計,https://www.kingstone.com.tw//basic/2013120366343?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,陳惠貞、陳俊榮,松崗      ,9789572245040,https://cdn.kingstone.com.tw/book/images/product/20131/2013120366343/2013120366343b.jpg
Visual Basic 2015學習經典,https://www.kingstone.com.tw//basic/2013120354272?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,蔡文龍、林義証、張志成等,松崗      ,9789572244760,https://cdn.kingstone.com.tw/book/images/product/20131/2013120354272/2013120354272b.jpg
用Visual Basic您也能開發Android App(增訂版B4A+B4i)--跨平台開發Android與iOS App,https://www.kingstone.com.tw//basic/2014713462671?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,陳會安,碁峰資訊  ,9789863476771,https://cdn.kingstone.com.tw/book/images/product/20147/2014713462671/2014713462671b.jpg
Visual Basic 2010 程式設計 Easy try,https://www.kingstone.com.tw//basic/2013120328679?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,劉超群,松崗      ,9789572243695,https://cdn.kingstone.com.tw/book/images/product/20131/2013120328679/2013120328679b.jpg
第一次寫Visual Basic 2010就上手：18堂範例學習課,https://www.kingstone.com.tw//basic/2013120324831?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,張逸中,松崗      ,9789572243633,https://cdn.kingstone.com.tw/book/images/product/20131/2013120324831/2013120324831b.jpg
Visual Basic 2012 程式開發設計與應用,https://www.kingstone.com.tw//basic/2013120312500?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,賴榮樞,上奇科技  ,9789863750277,https://cdn.kingstone.com.tw/book/images/product/20131/2013120312500/2013120312500b.jpg
互動式網站程式設計：ASP.NET 4.5使用VB 2013,https://www.kingstone.com.tw//basic/2013120308435?zone=book&lid=book_class3_ljc&actid=book_class3_ljc,李春雄、洪瑞展,上奇科技  ,9789865687786,https://cdn.kingstone.com.tw/book/images/product/20131/2013120308435/2013120308435b.jpg
