書名,書籍網站,作者,出版社,ISBN,圖片網址
學會Swift 4程式設計的21堂課,https://www.kingstone.com.tw//basic/2014713545664?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,蔡明志,碁峰資訊  ,9789864767236,https://cdn.kingstone.com.tw/book/images/product/20147/2014713545664/2014713545664b.jpg
iOS 14程式設計實戰：Swift 5.3快速上手的開發技巧200+,https://www.kingstone.com.tw//basic/2014713606969?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,朱克剛,碁峰資訊  ,9789865026509,https://cdn.kingstone.com.tw/book/images/product/20147/2014713606969/2014713606969b.jpg
iOS 13程式設計實戰－ Swift 5.1/SwiftUI框架|快速上手的開發技巧200+,https://www.kingstone.com.tw//basic/2014713587886?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,朱克剛,碁峰資訊  ,9789865022938,https://cdn.kingstone.com.tw/book/images/product/20147/2014713587886/2014713587886b.jpg
Swift 學習手冊 第三版,https://www.kingstone.com.tw//basic/2014713563644?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,Paris Buttfield-Addison等,歐萊禮    ,9789864769278,https://cdn.kingstone.com.tw/book/images/product/20147/2014713563644/2014713563644b.jpg
邁入Swift程式設計新紀元,https://www.kingstone.com.tw//basic/2013120433557?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,羅康鴻,上奇科技  ,9789869472661,https://cdn.kingstone.com.tw/book/images/product/20131/2013120433557/2013120433557b.jpg
Swift基礎入門學習手冊,https://www.kingstone.com.tw//basic/2013120420564?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,邱俊傑,上奇科技  ,9789863759201,https://cdn.kingstone.com.tw/book/images/product/20131/2013120420564/2013120420564b.jpg
Swift 程式設計必學基礎,https://www.kingstone.com.tw//basic/2014713499646?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,Boisy G. Pitre,碁峰資訊  ,9789864761128,https://cdn.kingstone.com.tw/book/images/product/20147/2014713499646/2014713499646b.jpg
iOS Swift 遊戲程式開發錦囊妙計 第二版,https://www.kingstone.com.tw//basic/2014713479792?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,Jonathon Manning等,歐萊禮    ,9789863479048,https://cdn.kingstone.com.tw/book/images/product/20147/2014713479792/2014713479792b.jpg
用Swift語言一次搞定所有蘋果裝置的程式開發,https://www.kingstone.com.tw//basic/2013120368897?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,老鎮,佳魁      ,9789863792789,https://cdn.kingstone.com.tw/book/images/product/20131/2013120368897/2013120368897b.jpg
Swift2.0程式設計開發指南,https://www.kingstone.com.tw//basic/2013120354432?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,邱俊傑,上奇科技  ,9789863755166,https://cdn.kingstone.com.tw/book/images/product/20131/2013120354432/2013120354432b.jpg
Swift 設計模式,https://www.kingstone.com.tw//basic/2014713472618?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,Adam Freeman,碁峰資訊  ,9789863477303,https://cdn.kingstone.com.tw/book/images/product/20147/2014713472618/2014713472618b.jpg
Swift從入門到超人氣遊戲App開發全面修鍊實戰（附近100段影音教學、Swift 2.0/1.2/1.1範例檔）,https://www.kingstone.com.tw//basic/2014713469755?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,柯博文,碁峰資訊  ,9789863475996,https://cdn.kingstone.com.tw/book/images/product/20147/2014713469755/2014713469755b.jpg
從零開始學Swift程式設計,https://www.kingstone.com.tw//basic/2013120325333?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,莊智佐,博碩文化  ,9789862019788,https://cdn.kingstone.com.tw/book/images/product/20131/2013120325333/2013120325333b.jpg
學會Objective－C的24堂課  第三版,https://www.kingstone.com.tw//basic/2014713426901?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,蔡明志,碁峰資訊  ,9789863470984,https://cdn.kingstone.com.tw/book/images/product/20147/2014713426901/2014713426901b.jpg
Objective－C無痛入門（Objective－C Fundamentals）,https://www.kingstone.com.tw//basic/2013120252257?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,Christopher K. Fairbairn,博碩文化  ,9789862017784,https://cdn.kingstone.com.tw/book/images/product/20131/2013120252257/2013120252257b.jpg
Cocoa學習手冊：使用Objective－C 第三版,https://www.kingstone.com.tw//basic/2014713396129?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,Paris Buttfield-Addison等,歐萊禮    ,9789862768136,https://cdn.kingstone.com.tw/book/images/product/20147/2014713396129/2014713396129b.jpg
iOS 12程式設計實戰-Swift 4.2快速上手的開發技巧200+,https://www.kingstone.com.tw//basic/2014713562272?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,朱克剛,碁峰資訊  ,9789864769162,https://cdn.kingstone.com.tw/book/images/product/20147/2014713562272/2014713562272b.jpg
彼得潘的Swift程式設計入門,https://www.kingstone.com.tw//basic/2013120457119?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,彼得潘,松崗      ,9789572246573,https://cdn.kingstone.com.tw/book/images/product/20131/2013120457119/2013120457119b.jpg
iOS 11程式設計實戰-Swift 4 快速上手的開發技巧200+,https://www.kingstone.com.tw//basic/2014713535627?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,朱克剛,碁峰資訊  ,9789864766017,https://cdn.kingstone.com.tw/book/images/product/20147/2014713535627/2014713535627b.jpg
Swift－AR擴增實境與感應器開發,https://www.kingstone.com.tw//basic/2013120430921?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,關東升,佳魁      ,9789863795100,https://cdn.kingstone.com.tw/book/images/product/20131/2013120430921/2013120430921b.jpg
Swift 3自學力！圖解146個iOS App開發範例，入門必備超直覺設計指南,https://www.kingstone.com.tw//basic/2013120421776?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,魏巍,電腦人    ,9789861994741,https://cdn.kingstone.com.tw/book/images/product/20131/2013120421776/2013120421776b.jpg
學會Swift 3程式設計的21堂課,https://www.kingstone.com.tw//basic/2014713507990?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,蔡明志,碁峰資訊  ,9789864762415,https://cdn.kingstone.com.tw/book/images/product/20147/2014713507990/2014713507990b.jpg
iOS 10程式設計實戰：Swift 3 + Apple Watch 快速上手的開發技巧200+,https://www.kingstone.com.tw//basic/2014713506948?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,朱克剛,碁峰資訊  ,9789864762033,https://cdn.kingstone.com.tw/book/images/product/20147/2014713506948/2014713506948b.jpg
Swift初學特訓班(第二版)：iOS App開發快速養成與實戰,https://www.kingstone.com.tw//basic/2014713488237?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,鄧文淵 總監製、文淵閣工,碁峰資訊  ,9789864760312,https://cdn.kingstone.com.tw/book/images/product/20147/2014713488237/2014713488237b.jpg
蘋果開發白皮書：用Swift控制iphone上的感測器,https://www.kingstone.com.tw//basic/2013120381827?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,關東升,佳魁      ,9789863793175,https://cdn.kingstone.com.tw/book/images/product/20131/2013120381827/2013120381827b.jpg
Swift自學力！圖解140個iOS App開發範例，給新手的超直覺設計指南,https://www.kingstone.com.tw//basic/2013120376380?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,魏巍,電腦人    ,9789861994628,https://cdn.kingstone.com.tw/book/images/product/20131/2013120376380/2013120376380b.jpg
邁入Swift程式設計新紀元,https://www.kingstone.com.tw//basic/2013120375048?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,羅康鴻,上奇科技  ,9789863756576,https://cdn.kingstone.com.tw/book/images/product/20131/2013120375048/2013120375048b.jpg
Swift程式設計範例經典 | 讓您設計出專業級的iOS & OS X應用程式,https://www.kingstone.com.tw//basic/2014713476876?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,Paul J. Deitel,碁峰資訊  ,9789863478607,https://cdn.kingstone.com.tw/book/images/product/20147/2014713476876/2014713476876b.jpg
iOS 8 Swift Programming 錦囊妙計,https://www.kingstone.com.tw//basic/2014713457974?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,Vandad Nahavandipoor,歐萊禮    ,9789863476627,https://cdn.kingstone.com.tw/book/images/product/20147/2014713457974/2014713457974b.jpg
Swift 程式設計入門,https://www.kingstone.com.tw//basic/2013120331372?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,彼得潘,松崗      ,9789572243909,https://cdn.kingstone.com.tw/book/images/product/20131/2013120331372/2013120331372b.jpg
Swift程式設計實戰：121個快速上手的開發技巧,https://www.kingstone.com.tw//basic/2014713451002?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,朱克剛、江承翰、吳彬玄等,碁峰資訊  ,9789863475521,https://cdn.kingstone.com.tw/book/images/product/20147/2014713451002/2014713451002b.jpg
養成iOS8 App程式設計實力的25堂課：最新Swift開發教學,https://www.kingstone.com.tw//basic/2013120326385?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,Simon Ng,博碩文化  ,9789862019818,https://cdn.kingstone.com.tw/book/images/product/20131/2013120326385/2013120326385b.jpg
Swift初學特訓班：iOS App開發快速養成與實戰,https://www.kingstone.com.tw//basic/2014713445353?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,鄧文淵、文淵閣工作室編著,碁峰資訊  ,9789863474630,https://cdn.kingstone.com.tw/book/images/product/20147/2014713445353/2014713445353b.jpg
Swift 開發指南,https://www.kingstone.com.tw//basic/2014713445193?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,關東升 趙志榮,碁峰資訊  ,9789863473985,https://cdn.kingstone.com.tw/book/images/product/20147/2014713445193/2014713445193b.jpg
學會Swift程式設計的18堂課,https://www.kingstone.com.tw//basic/2014713439604?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,蔡明志,碁峰資訊  ,9789863473497,https://cdn.kingstone.com.tw/book/images/product/20147/2014713439604/2014713439604b.jpg
私程式：iOS開發程式秘訣：高手這樣發揮Objective-C技巧,https://www.kingstone.com.tw//basic/2013120317970?zone=book&lid=book_class3_ljd&actid=book_class3_ljd,劉銘,上奇科技  ,9789863750567,https://cdn.kingstone.com.tw/book/images/product/20131/2013120317970/2013120317970b.jpg
