書名,書籍網站,作者,出版社,ISBN,圖片網址
輕鬆學會：運算思維與Java語言設計基礎實務（2版）,https://www.kingstone.com.tw//basic/2013120590274?zone=book&lid=book_class3_lje&actid=book_class3_lje,陳德來,上奇科技  ,9789865005337,https://cdn.kingstone.com.tw/book/images/product/20131/2013120590274/2013120590274b.jpg
Java SE 12基礎必修課（適用Java 12~10，涵蓋OCJP與MTA Java國際認證）,https://www.kingstone.com.tw//basic/2014713587046?zone=book&lid=book_class3_lje&actid=book_class3_lje,蔡文龍、何嘉益、張志成等,碁峰資訊  ,9789865022686,https://cdn.kingstone.com.tw/book/images/product/20147/2014713587046/2014713587046b.jpg
最新 Java 程式設計 第六版,https://www.kingstone.com.tw//basic/2013120508507?zone=book&lid=book_class3_lje&actid=book_class3_lje,施威銘研究室,旗標      ,9789863125815,https://cdn.kingstone.com.tw/book/images/product/20131/2013120508507/2013120508507b.jpg
Java SE11與Android 9.x程式設計範例教本,https://www.kingstone.com.tw//basic/2014713568564?zone=book&lid=book_class3_lje&actid=book_class3_lje,陳會安,碁峰資訊  ,9789864769865,https://cdn.kingstone.com.tw/book/images/product/20147/2014713568564/2014713568564b.jpg
從零開始！Java 程式設計入門,https://www.kingstone.com.tw//basic/2014000036264?zone=book&lid=book_class3_lje&actid=book_class3_lje,洪國勝,旗標      ,9789863125334,https://cdn.kingstone.com.tw/book/images/product/20140/2014000036264/2014000036264b.jpg
Java 網站安全防護實務手冊|軟體開發安全技術的九大黃金準則,https://www.kingstone.com.tw//basic/2014713471406?zone=book&lid=book_class3_lje&actid=book_class3_lje,蔡宗霖,碁峰資訊  ,9789863477792,https://cdn.kingstone.com.tw/book/images/product/20147/2014713471406/2014713471406b.jpg
Java 程式設計寶典,https://www.kingstone.com.tw//basic/2013120591936?zone=book&lid=book_class3_lje&actid=book_class3_lje,陳明(編著)、何英治(審訂),經瑋      ,9789576154706,https://cdn.kingstone.com.tw/book/images/product/20131/2013120591936/2013120591936b.jpg
Spring Boot微服務跨語言：最強Kotlin後端開發終極範例,https://www.kingstone.com.tw//basic/2013120578746?zone=book&lid=book_class3_lje&actid=book_class3_lje,袁康,深智數位  ,9789865501815,https://cdn.kingstone.com.tw/book/images/product/20131/2013120578746/2013120578746b.jpg
Java程式設計師應該知道的97件事|來自專家的集體智慧,https://www.kingstone.com.tw//basic/2014713609915?zone=book&lid=book_class3_lje&actid=book_class3_lje,Kevlin Henney,歐萊禮    ,9789865027148,https://cdn.kingstone.com.tw/book/images/product/20147/2014713609915/2014713609915b.jpg
高生產力軟體開發實務|以Java專案驅動的基礎指南,https://www.kingstone.com.tw//basic/2014713608703?zone=book&lid=book_class3_lje&actid=book_class3_lje,Raoul-Gabriel Urma,歐萊禮    ,9789865026622,https://cdn.kingstone.com.tw/book/images/product/20147/2014713608703/2014713608703b.jpg
極速開發 Java大型系統：Spring Boot又輕又快又好學,https://www.kingstone.com.tw//basic/2013120570320?zone=book&lid=book_class3_lje&actid=book_class3_lje,龍中華,深智數位  ,9789865501648,https://cdn.kingstone.com.tw/book/images/product/20131/2013120570320/2013120570320b.jpg
