書名,書籍網站,作者,出版社,ISBN,圖片網址
會做簡報就會製作跨平台App：Smart Apps Creator 3超神開發術,https://www.kingstone.com.tw//basic/2014713529008?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,鄧文淵總監製、文淵閣工作室編,碁峰資訊  ,9789864765256,https://cdn.kingstone.com.tw/book/images/product/20147/2014713529008/2014713529008b.jpg
手機應用程式設計超簡單：App Inventor 2零基礎入門班（中文介面第五版）（附APP實戰影音/範例）,https://www.kingstone.com.tw//basic/2014713617798?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,鄧文淵(總監製),碁峰資訊  ,9789865028688,https://cdn.kingstone.com.tw/book/images/product/20147/2014713617798/2014713617798b.jpg
多元裝置時代的UI/UX設計法則：打造出讓使用者完美體驗的好用介面（第二版）,https://www.kingstone.com.tw//basic/2013120594982?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,原田秀司,博碩文化  ,9789864347971,https://cdn.kingstone.com.tw/book/images/product/20131/2013120594982/2013120594982b.jpg
App Inventor 2 互動範例教本 第 4 版,https://www.kingstone.com.tw//basic/2014480879726?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,蔡宜坦,旗標      ,9789863126577,https://cdn.kingstone.com.tw/book/images/product/20144/2014480879726/2014480879726b.jpg
軟體架構原理|工程方法,https://www.kingstone.com.tw//basic/2014713610584?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,Mark Richards、Neal Ford,歐萊禮    ,9789865026615,https://cdn.kingstone.com.tw/book/images/product/20147/2014713610584/2014713610584b.jpg
打通 RxJS 任督二脈：從菜雞前進老鳥必學的關鍵知識（iT邦幫忙鐵人賽系列書）,https://www.kingstone.com.tw//basic/2013120596726?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,黃升煌 (Mike),博碩文化  ,9789864348039,https://cdn.kingstone.com.tw/book/images/product/20131/2013120596726/2013120596726b.jpg
人人都學得會的App Inventor 2初學入門【附APP專案範例檔】：17個專案實戰演練，從娛樂學習到生活應用，自學APP設計一本搞定！,https://www.kingstone.com.tw//basic/2013120591776?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,贊贊小屋,財經傳訊  ,9789861304793,https://cdn.kingstone.com.tw/book/images/product/20131/2013120591776/2013120591776b.jpg
iClone 7 動畫大師：輕鬆學會即時專業動畫製作,https://www.kingstone.com.tw//basic/2013120591486?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,吳敬堯,深石數位  ,9789865005368,https://cdn.kingstone.com.tw/book/images/product/20131/2013120591486/2013120591486b.jpg
雲端視覺化Android App 技術開發設計寶典,https://www.kingstone.com.tw//basic/2013120592018?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,孫惠民,經瑋      ,9789576154713,https://cdn.kingstone.com.tw/book/images/product/20131/2013120592018/2013120592018b.jpg
Arduino最佳入門與應用：打造互動設計輕鬆學（第三版）,https://www.kingstone.com.tw//basic/2014713617248?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,楊明豐,碁峰資訊  ,9789865027940,https://cdn.kingstone.com.tw/book/images/product/20147/2014713617248/2014713617248b.jpg
輕鬆學會Android Kotlin實作開發：精心設計20個Lab讓你快速上手,https://www.kingstone.com.tw//basic/2013120586499?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,黃士嘉、周映樵,博碩文化  ,9789864345724,https://cdn.kingstone.com.tw/book/images/product/20131/2013120586499/2013120586499b.jpg
Flutter/Dart跨平台App開發實務入門,https://www.kingstone.com.tw//basic/2014713611376?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,孫宏明,碁峰資訊  ,9789865027339,https://cdn.kingstone.com.tw/book/images/product/20147/2014713611376/2014713611376b.jpg
Arduino字幕機自造與程式設計,https://www.kingstone.com.tw//basic/2014713609625?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,洪國勝、蔡懷文,泉勝出版  ,9789869963206,https://cdn.kingstone.com.tw/book/images/product/20147/2014713609625/2014713609625b.jpg
Scratch 3小創客寫程式,https://www.kingstone.com.tw//basic/2015233153254?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,蘇清得,宏全資訊  ,9789869461269,https://cdn.kingstone.com.tw/book/images/product/20152/2015233153254/2015233153254b.jpg
ESP32程式設計（物聯網基礎篇）ESP32 IOT Programming （An Introduction to Internet of Thing）,https://www.kingstone.com.tw//basic/2014713606709?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,曹永忠、許智誠、蔡英德、鄭昊緣,千華駐    ,9789575926731,https://cdn.kingstone.com.tw/book/images/product/20147/2014713606709/2014713606709b.jpg
Android初學特訓班（第九版） （附影音/範例/機器學習教學與Kotlin開發入門電子書）,https://www.kingstone.com.tw//basic/2014713588548?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,鄧文淵總監製、文淵閣工作室編,碁峰資訊  ,9789865023072,https://cdn.kingstone.com.tw/book/images/product/20147/2014713588548/2014713588548b.jpg
手機應用程式設計超簡單：App Inventor 2零基礎入門班（中文介面第四版）（附入門影音/範例）,https://www.kingstone.com.tw//basic/2014713577269?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,鄧文淵 總監製,碁峰資訊  ,9789865021160,https://cdn.kingstone.com.tw/book/images/product/20147/2014713577269/2014713577269b.jpg
手機應用程式設計超簡單：App Inventor2小專題特訓班（附影音//範例/完整程式拼塊PDF）,https://www.kingstone.com.tw//basic/2014713564986?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,鄧文淵總監製、文淵閣工作室編,碁峰資訊  ,9789864769568,https://cdn.kingstone.com.tw/book/images/product/20147/2014713564986/2014713564986b.jpg
Unity行動遊戲開發實務,https://www.kingstone.com.tw//basic/2014713555991?zone=book&lid=book_class3_ljg&actid=book_class3_ljg,Jon Manning,歐萊禮    ,9789864768189,https://cdn.kingstone.com.tw/book/images/product/20147/2014713555991/2014713555991b.jpg
