書名,書籍網站,作者,出版社,ISBN,圖片網址
Scratch程式學習初階,https://www.kingstone.com.tw//basic/2015233133140?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,馬修．海蘭德,和平國際  ,9789863711926,https://cdn.kingstone.com.tw/book/images/product/20152/2015233133140/2015233133140b.jpg
深入淺出 Agile,https://www.kingstone.com.tw//basic/2014713562012?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Andrew Stellman等,歐萊禮    ,9789864768806,https://cdn.kingstone.com.tw/book/images/product/20147/2014713562012/2014713562012b.jpg
刷題實戰筆記：演算法工程師求職加分的祕笈,https://www.kingstone.com.tw//basic/2013180005084?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,付東來(@labuladong),博碩文化  ,9789864348565,https://cdn.kingstone.com.tw/book/images/product/20131/2013180005084/2013180005084b.jpg
Go 學習手冊,https://www.kingstone.com.tw//basic/2014713620651?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Jon Bodner,歐萊禮    ,9789865028787,https://cdn.kingstone.com.tw/book/images/product/20147/2014713620651/2014713620651b.jpg
邊玩邊學，使用Scratch學習AI程式設計,https://www.kingstone.com.tw//basic/2014713611536?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,石原淳也、倉本大資,歐萊禮    ,9789865027131,https://cdn.kingstone.com.tw/book/images/product/20147/2014713611536/2014713611536b.jpg
程式設計邏輯訓練超簡單：Scratch 3初學特訓班（附330分鐘影音教學/範例檔）,https://www.kingstone.com.tw//basic/2014713580092?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,鄧文淵 總監製,碁峰資訊  ,9789865021528,https://cdn.kingstone.com.tw/book/images/product/20147/2014713580092/2014713580092b.jpg
Matlab 程式設計（第2版）,https://www.kingstone.com.tw//basic/2013120259621?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,洪維恩,旗標      ,9789863121404,https://cdn.kingstone.com.tw/book/images/product/20131/2013120259621/2013120259621b.jpg
單體式系統到微服務,https://www.kingstone.com.tw//basic/2014713620941?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Sam Newman,歐萊禮    ,9789865028046,https://cdn.kingstone.com.tw/book/images/product/20147/2014713620941/2014713620941b.jpg
Scrum精華指南 第三版,https://www.kingstone.com.tw//basic/2014713620521?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Gunther Verheyen,碁峰資訊  ,9789865028657,https://cdn.kingstone.com.tw/book/images/product/20147/2014713620521/2014713620521b.jpg
完全自學！Go 語言 （Golang） 實戰聖經,https://www.kingstone.com.tw//basic/2013120591066?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Delio D’Anna，Andrew Hayes,旗標      ,9789863126706,https://cdn.kingstone.com.tw/book/images/product/20131/2013120591066/2013120591066b.jpg
AWS Lambda程式設計,https://www.kingstone.com.tw//basic/2014713617958?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,John Chapin、 Moke Roberts,歐萊禮    ,9789865027810,https://cdn.kingstone.com.tw/book/images/product/20147/2014713617958/2014713617958b.jpg
提升程式設計師的面試力|189道面試題目與解答 第六版 修訂版,https://www.kingstone.com.tw//basic/2014713609755?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Gayle Laakmann McDowell,碁峰資訊  ,9789865025526,https://cdn.kingstone.com.tw/book/images/product/20147/2014713609755/2014713609755b.jpg
Scrum實踐者應該知道的97件事|來自專家的集體智慧,https://www.kingstone.com.tw//basic/2014713608833?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Gunther Verheyen,歐萊禮    ,9789865026875,https://cdn.kingstone.com.tw/book/images/product/20147/2014713608833/2014713608833b.jpg
小輕快跨平台：王的編輯器Visual Studio Code聖經,https://www.kingstone.com.tw//basic/2013120563759?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,韓駿,深智數位  ,9789865501556,https://cdn.kingstone.com.tw/book/images/product/20131/2013120563759/2013120563759b.jpg
量子電腦與量子計算｜IBM Q Experience實作,https://www.kingstone.com.tw//basic/2014713596611?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,張元翔,碁峰資訊  ,9789865025199,https://cdn.kingstone.com.tw/book/images/product/20147/2014713596611/2014713596611b.jpg
量子電腦程式設計,https://www.kingstone.com.tw//basic/2014713595379?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Eric R. Johnston,歐萊禮    ,9789865024840,https://cdn.kingstone.com.tw/book/images/product/20147/2014713595379/2014713595379b.jpg
Unity 3D遊戲設計實戰（第三版）,https://www.kingstone.com.tw//basic/2014713589170?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,邱勇標,碁峰資訊  ,9789865023058,https://cdn.kingstone.com.tw/book/images/product/20147/2014713589170/2014713589170b.jpg
玩轉Scratch 3.0程式積木設計的16堂課,https://www.kingstone.com.tw//basic/2015233131016?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,數位新知,深石數位  ,9789865004118,https://cdn.kingstone.com.tw/book/images/product/20152/2015233131016/2015233131016b.jpg
Scratch 3.0動畫遊戲與創意設計主題必修課,https://www.kingstone.com.tw//basic/2014713583888?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,王麗君,碁峰資訊  ,9789865022280,https://cdn.kingstone.com.tw/book/images/product/20147/2014713583888/2014713583888b.jpg
深入淺出Kotlin,https://www.kingstone.com.tw//basic/2014713583338?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Dawn Griffiths等,歐萊禮    ,9789865021870,https://cdn.kingstone.com.tw/book/images/product/20147/2014713583338/2014713583338b.jpg
Java RWD Web企業網站開發指南|使用Spring MVC與Bootstrap,https://www.kingstone.com.tw//basic/2014713582836?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,曾瑞君,碁峰資訊  ,9789865021955,https://cdn.kingstone.com.tw/book/images/product/20147/2014713582836/2014713582836b.jpg
深入淺出學會編寫程式,https://www.kingstone.com.tw//basic/2014713579713?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Eric Freeman,歐萊禮    ,9789865021375,https://cdn.kingstone.com.tw/book/images/product/20147/2014713579713/2014713579713b.jpg
一讀就懂micro：bit：給程式新手的開發板入門指南,https://www.kingstone.com.tw//basic/2014713556523?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,沃弗拉姆．多納特,馥林文化  ,9789864050550,https://cdn.kingstone.com.tw/book/images/product/20147/2014713556523/2014713556523b.jpg
當虛擬實境和人工智慧齊步走－從現實、科幻、產品、企業到未來的影響?,https://www.kingstone.com.tw//basic/2013120452039?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,王寒、卿偉龍、王趙翔、藍天,五南      ,9789571194431,https://cdn.kingstone.com.tw/book/images/product/20131/2013120452039/2013120452039b.jpg
提升程式設計的資料結構力 第二版|國際程式設計競賽之資料結構原理、題型、解題技巧與重點解析,https://www.kingstone.com.tw//basic/2014713532411?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,吳永輝/王建德,碁峰資訊  ,9789864765249,https://cdn.kingstone.com.tw/book/images/product/20147/2014713532411/2014713532411b.jpg
互動式網站程式設計－ASP.NET4.5使用VB2013（第二版）,https://www.kingstone.com.tw//basic/2013120388161?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,李春雄.洪瑞展,上奇科技  ,9789863757436,https://cdn.kingstone.com.tw/book/images/product/20131/2013120388161/2013120388161b.jpg
MATLAB程式設計入門篇（第四版）,https://www.kingstone.com.tw//basic/2014713486813?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,張智星,碁峰資訊  ,9789863478775,https://cdn.kingstone.com.tw/book/images/product/20147/2014713486813/2014713486813b.jpg
人人都能學會寫程式：李家同教你用邏輯思考學程式設計,https://www.kingstone.com.tw//basic/2013120182967?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,李家同,聯經      ,9789570837759,https://cdn.kingstone.com.tw/book/images/product/20131/2013120182967/2013120182967b.jpg
光傳輸網路：循序次進OTN（究級版）,https://www.kingstone.com.tw//basic/2014480861813?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,李允博,佳魁      ,9789863793380,https://cdn.kingstone.com.tw/book/images/product/20144/2014480861813/2014480861813b.jpg
培養與鍛鍊程式設計的邏輯腦：程式設計大賽的解題策略基礎入門,https://www.kingstone.com.tw//basic/2013120242920?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,江任捷,博碩文化  ,9789862017074,https://cdn.kingstone.com.tw/book/images/product/20131/2013120242920/2013120242920b.jpg
無瑕的程式碼：敏捷軟體開發技巧守則,https://www.kingstone.com.tw//basic/2013120167803?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Robert C. Martin,博碩文化  ,9789862017050,https://cdn.kingstone.com.tw/book/images/product/20131/2013120167803/2013120167803b.jpg
Scratch超人氣遊戲大改造：動腦想、動手玩，讓程式與遊戲設計都變有趣！,https://www.kingstone.com.tw//basic/2014713622235?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Asobism,碁峰資訊  ,9789865028770,https://cdn.kingstone.com.tw/book/images/product/20147/2014713622235/2014713622235b.jpg
整合風向、風速、溫溼度於環控平台（氣象物聯網）,https://www.kingstone.com.tw//basic/2014713617538?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,曹永忠,千華駐    ,9789575927516,https://cdn.kingstone.com.tw/book/images/product/20147/2014713617538/2014713617538b.jpg
編寫程式的邏輯：如何用物件導向實作複雜的業務需求,https://www.kingstone.com.tw//basic/2013120588523?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,李運華,博碩文化  ,9789864347841,https://cdn.kingstone.com.tw/book/images/product/20131/2013120588523/2013120588523b.jpg
資料密集型應用系統設計,https://www.kingstone.com.tw//basic/2014713616746?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Martin Kleppmann,歐萊禮    ,9789865028350,https://cdn.kingstone.com.tw/book/images/product/20147/2014713616746/2014713616746b.jpg
矽谷工程師教你Kubernetes：史上最全CI/CD中文應用指南（iT邦幫忙鐵人賽系列書）,https://www.kingstone.com.tw//basic/2013120586239?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,邱宏瑋,博碩文化  ,9789864347551,https://cdn.kingstone.com.tw/book/images/product/20131/2013120586239/2013120586239b.jpg
Regular Expression－橫刃萬解程式的關鍵語言（2版）：正規表示法,https://www.kingstone.com.tw//basic/2013120573116?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,余晟,上奇科技  ,9789865005047,https://cdn.kingstone.com.tw/book/images/product/20131/2013120573116/2013120573116b.jpg
Flag，s 旗標創客.自造者工作坊 Unity × 遊戲手把 虛實整合互動遊戲設計,https://www.kingstone.com.tw//basic/2013120567597?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,施威銘研究室,旗標      ,4712946750845,https://cdn.kingstone.com.tw/book/images/product/20131/2013120567597/2013120567597b.jpg
工業流程控制系統開發（流程雲端化－自動化條碼掃描驗收）Using Automatic Barcode Reader to Production Acce,https://www.kingstone.com.tw//basic/2014480878774?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,曹永忠、許智誠、蔡英德,千華駐    ,9789575926755,https://cdn.kingstone.com.tw/book/images/product/20144/2014480878774/2014480878774b.jpg
Scratch 3.0 動畫遊戲設計,https://www.kingstone.com.tw//basic/2015233152172?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,鄭苑鳳,博碩文化  ,9789864345281,https://cdn.kingstone.com.tw/book/images/product/20152/2015233152172/2015233152172b.jpg
語意軟體設計|現代架構師的新理論與實務指南,https://www.kingstone.com.tw//basic/2014713604965?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Eben Hewitt,歐萊禮    ,9789865025939,https://cdn.kingstone.com.tw/book/images/product/20147/2014713604965/2014713604965b.jpg
深入淺出Go,https://www.kingstone.com.tw//basic/2014713605047?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Jay McGavren,歐萊禮    ,9789865026257,https://cdn.kingstone.com.tw/book/images/product/20147/2014713605047/2014713605047b.jpg
Arduino程式教學（入門篇）Arduino Programming （Basic Skills & Tricks）,https://www.kingstone.com.tw//basic/2014713605207?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,曹永忠、許志誠、蔡英德,千華駐    ,9789575926601,https://cdn.kingstone.com.tw/book/images/product/20147/2014713605207/2014713605207b.jpg
After Effects Expression全面解剖：由淺入深極速上手AE頂層技術,https://www.kingstone.com.tw//basic/2013120560413?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,白乃遠、趙國松、陳冠鵬、黃文興,深石數位  ,9789865004873,https://cdn.kingstone.com.tw/book/images/product/20131/2013120560413/2013120560413b.jpg
再強一點：用Go語言完成六個大型專案,https://www.kingstone.com.tw//basic/2013120560123?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,陳劍煜、徐新華,深智數位  ,9789865501501,https://cdn.kingstone.com.tw/book/images/product/20131/2013120560123/2013120560123b.jpg
UML3 & XML3物件導向 程式設計寶典,https://www.kingstone.com.tw//basic/2014941681011?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,孫惠民,易習圖書  ,9789576154348,https://cdn.kingstone.com.tw/book/images/product/20149/2014941681011/2014941681011b.jpg
軟體開發人員職涯發展成功手冊,https://www.kingstone.com.tw//basic/2014713599247?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,程式設計,碁峰資訊  ,9789865025502,https://cdn.kingstone.com.tw/book/images/product/20147/2014713599247/2014713599247b.jpg
全員敏捷|創造快速、彈性與客戶優先的組織,https://www.kingstone.com.tw//basic/2014713598745?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,Matt LeMay,歐萊禮    ,9789865024949,https://cdn.kingstone.com.tw/book/images/product/20147/2014713598745/2014713598745b.jpg
The Pragmatic Programmer 20週年紀念版,https://www.kingstone.com.tw//basic/2014713595089?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,David Thomas- Andrew Hunt,碁峰資訊  ,9789865022754,https://cdn.kingstone.com.tw/book/images/product/20147/2014713595089/2014713595089b.jpg
ActionScript 武功祕笈,https://www.kingstone.com.tw//basic/2013120545519?zone=book&lid=book_class3_ljz&actid=book_class3_ljz,蔡國強,易習圖書  ,9789863800873,https://cdn.kingstone.com.tw/book/images/product/20131/2013120545519/2013120545519b.jpg
