書名,書籍網站,作者,出版社,ISBN,圖片網址
最輕巧前端框架首選：Vue.js完整專案開發實作,https://www.kingstone.com.tw//basic/2013120597228?zone=book&lid=book_class3_lke&actid=book_class3_lke,聚慕課教育研發中心,深智數位  ,9789860776232,https://cdn.kingstone.com.tw/book/images/product/20131/2013120597228/2013120597228b.jpg
JavaScript第一次學就上手,https://www.kingstone.com.tw//basic/2014713619662?zone=book&lid=book_class3_lke&actid=book_class3_lke,陳惠貞,碁峰資訊  ,9789865028909,https://cdn.kingstone.com.tw/book/images/product/20147/2014713619662/2014713619662b.jpg
重新認識Vue.js：008天絕對看不完的Vue.js 3指南,https://www.kingstone.com.tw//basic/2013120576032?zone=book&lid=book_class3_lke&actid=book_class3_lke,許國政（Kuro）,博碩文化  ,9789864345687,https://cdn.kingstone.com.tw/book/images/product/20131/2013120576032/2013120576032b.jpg
前端三雄首強：用Angular高速聰明開發多介面,https://www.kingstone.com.tw//basic/2013120550636?zone=book&lid=book_class3_lke&actid=book_class3_lke,李一鳴,深智數位  ,9789865501372,https://cdn.kingstone.com.tw/book/images/product/20131/2013120550636/2013120550636b.jpg
React思考模式：從hook入門到開發實戰,https://www.kingstone.com.tw//basic/2013120597068?zone=book&lid=book_class3_lke&actid=book_class3_lke,張家銨,深智數位  ,9789860776188,https://cdn.kingstone.com.tw/book/images/product/20131/2013120597068/2013120597068b.jpg
JavaScript大全 第七版,https://www.kingstone.com.tw//basic/2014713612748?zone=book&lid=book_class3_lke&actid=book_class3_lke,David Flanagan,歐萊禮    ,9789865027322,https://cdn.kingstone.com.tw/book/images/product/20147/2014713612748/2014713612748b.jpg
函數式程式設計極峰精粹：JavaScript、Clojure、Macro、Monad 前端工程師超實力秘典,https://www.kingstone.com.tw//basic/2013120515048?zone=book&lid=book_class3_lke&actid=book_class3_lke,歐陽繼超,佳魁      ,9789863797647,https://cdn.kingstone.com.tw/book/images/product/20131/2013120515048/2013120515048b.jpg
JavaScript & JQuery ： 網站互動設計程式進化之道,https://www.kingstone.com.tw//basic/2014713515353?zone=book&lid=book_class3_lke&actid=book_class3_lke,Jon Duckett,碁峰資訊  ,9789863478164,https://cdn.kingstone.com.tw/book/images/product/20147/2014713515353/2014713515353b.jpg
你所不知道的 JS|ES6 與未來發展,https://www.kingstone.com.tw//basic/2014713514721?zone=book&lid=book_class3_lke&actid=book_class3_lke,Kyle Simpson,歐萊禮    ,9789864763078,https://cdn.kingstone.com.tw/book/images/product/20147/2014713514721/2014713514721b.jpg
React 學習手冊 第二版,https://www.kingstone.com.tw//basic/2014713616166?zone=book&lid=book_class3_lke&actid=book_class3_lke,Alex Banks、Eve Porcello,歐萊禮    ,9789865027568,https://cdn.kingstone.com.tw/book/images/product/20147/2014713616166/2014713616166b.jpg
