書名,書籍網站,作者,出版社,ISBN,圖片網址
WEB 設計職人必修：UX Design 初學者學習手冊,https://www.kingstone.com.tw//basic/2013120468078?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,玉飼真一、村上竜介、佐藤哲,旗標      ,9789863125167,https://cdn.kingstone.com.tw/book/images/product/20131/2013120468078/2013120468078b.jpg
設計師都該懂的UI/UX設計實務：超圖解跨裝置網頁設計實戰講座,https://www.kingstone.com.tw//basic/2013120424982?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,エ・ビスコム,博碩文化  ,9789864341832,https://cdn.kingstone.com.tw/book/images/product/20131/2013120424982/2013120424982b.jpg
UX從新手開始|使用者體驗的100堂必修課,https://www.kingstone.com.tw//basic/2014713505606?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,Joel Marsh,歐萊禮    ,9789864762293,https://cdn.kingstone.com.tw/book/images/product/20147/2014713505606/2014713505606b.jpg
不是你太笨，是爛UI的錯！非設計師也該學的介面設計常識,https://www.kingstone.com.tw//basic/2013120351936?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,中村聡史,旗標      ,9789863122968,https://cdn.kingstone.com.tw/book/images/product/20131/2013120351936/2013120351936b.jpg
如何設計好網站之UX與美學基礎,https://www.kingstone.com.tw//basic/2014713622365?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,Tracy Osborn,碁峰資訊  ,9789865029395,https://cdn.kingstone.com.tw/book/images/product/20147/2014713622365/2014713622365b.jpg
人人都該懂的UI設計（熱銷版）：配色×網格系統×圖標×字體，四主題搞定介面,https://www.kingstone.com.tw//basic/2013120543775?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,三度出版有限公司,上奇科技  ,9789865004613,https://cdn.kingstone.com.tw/book/images/product/20131/2013120543775/2013120543775b.jpg
UI設計,https://www.kingstone.com.tw//basic/2013120523371?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,張劍、李曼丹 編著,崧燁文化  ,9789577357557,https://cdn.kingstone.com.tw/book/images/product/20131/2013120523371/2013120523371b.jpg
使用者經驗的要素：跨屏時代的使用者導向設計 第二版,https://www.kingstone.com.tw//basic/2014713550781?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,Jesse James Garrett,碁峰資訊  ,9789864767786,https://cdn.kingstone.com.tw/book/images/product/20147/2014713550781/2014713550781b.jpg
黑色數據Linux KVM虛擬化架構Using oVirt,https://www.kingstone.com.tw//basic/2013120422988?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,何坤源原著,佳魁      ,9789863794790,https://cdn.kingstone.com.tw/book/images/product/20131/2013120422988/2013120422988b.jpg
打造最強網頁UI/UX設計腦：設計師都該懂的絕佳設計．溝通法則,https://www.kingstone.com.tw//basic/2013120392786?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,秋葉秀樹,博碩文化  ,9789864341344,https://cdn.kingstone.com.tw/book/images/product/20131/2013120392786/2013120392786b.jpg
成為一流的前端工程師 ： 打造專業的UX網站（暢銷回饋版）,https://www.kingstone.com.tw//basic/2013120381667?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,彭其捷,博碩文化  ,9789864341122,https://cdn.kingstone.com.tw/book/images/product/20131/2013120381667/2013120381667b.jpg
使用者故事對照|User Story Mapping,https://www.kingstone.com.tw//basic/2014713489449?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,Jeff Patton,歐萊禮    ,9789863479468,https://cdn.kingstone.com.tw/book/images/product/20147/2014713489449/2014713489449b.jpg
人人都該懂的UI設計：配色X網格系統X圖標X字體，四主題搞定介面,https://www.kingstone.com.tw//basic/2013120473225?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,三度出版有限公司,拓客（上奇,9789865002145,https://cdn.kingstone.com.tw/book/images/product/20131/2013120473225/2013120473225b.jpg
精實UX設計|帶領敏捷團隊打造出色的產品 第二版,https://www.kingstone.com.tw//basic/2014713526922?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,Jeff Gothelf- Josh Seiden,歐萊禮    ,9789864764488,https://cdn.kingstone.com.tw/book/images/product/20147/2014713526922/2014713526922b.jpg
打造成功UI/UX的50個關鍵：用魔鬼的細節創造極致使用者體驗,https://www.kingstone.com.tw//basic/2013120397576?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,彭其捷,博碩文化  ,9789864341436,https://cdn.kingstone.com.tw/book/images/product/20131/2013120397576/2013120397576b.jpg
UX策略|設計讓人夢寐以求的創新數位產品,https://www.kingstone.com.tw//basic/2014713500076?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,Jaime Levy,歐萊禮    ,9789864761425,https://cdn.kingstone.com.tw/book/images/product/20147/2014713500076/2014713500076b.jpg
多元裝置時代的網站UI/UX設計法則：打造出讓使用者完美體驗的好用介面,https://www.kingstone.com.tw//basic/2013120313132?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,原田秀司,博碩文化  ,9789862019504,https://cdn.kingstone.com.tw/book/images/product/20131/2013120313132/2013120313132b.jpg
UI 進化論：行動裝置使用者介面設計(附光碟),https://www.kingstone.com.tw//basic/2014480821435?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,周陟,上奇科技  ,9789862570531,https://cdn.kingstone.com.tw/book/images/product/20144/2014480821435/2014480821435b.jpg
超強的PC TOOLS DELUX,https://www.kingstone.com.tw//basic/2014710778799?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,林錦瑞,波前電腦  ,,https://cdn.kingstone.com.tw/book/images/product/20147/2014710778799/2014710778799b.jpg
PC TOOLS DELUXE 圖解,https://www.kingstone.com.tw//basic/2014710779741?zone=book&lid=book_class3_lkh&actid=book_class3_lkh,格致      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20147/2014710779741/2014710779741b.jpg
