書名,書籍網站,作者,出版社,ISBN,圖片網址
GAN 對抗式生成網路,https://www.kingstone.com.tw//basic/2013120557390?zone=book&lid=book_class3_lkz&actid=book_class3_lkz,Jakub Langr、Vladimir Bok,旗標      ,9789863126386,https://cdn.kingstone.com.tw/book/images/product/20131/2013120557390/2013120557390b.jpg
Google Apps Script雲端自動化與動態網頁系統實戰（附320分鐘影音教學/範例程式碼）,https://www.kingstone.com.tw//basic/2013120537316?zone=book&lid=book_class3_lkz&actid=book_class3_lkz,呂國泰、白乃遠、王榕藝,碁峰資訊  ,9789865024079,https://cdn.kingstone.com.tw/book/images/product/20131/2013120537316/2013120537316b.jpg
Vue.js 2前端漸進式建構框架實戰應用|完美搭配Bootstrap 4與Firebase,https://www.kingstone.com.tw//basic/2014713575425?zone=book&lid=book_class3_lkz&actid=book_class3_lkz,黃聰明,碁峰資訊  ,9789865021061,https://cdn.kingstone.com.tw/book/images/product/20147/2014713575425/2014713575425b.jpg
React前端開發（2版）：同構應用與狀態管理,https://www.kingstone.com.tw//basic/2013120579248?zone=book&lid=book_class3_lkz&actid=book_class3_lkz,侯策、顏海鏡,上奇科技  ,9789865005177,https://cdn.kingstone.com.tw/book/images/product/20131/2013120579248/2013120579248b.jpg
WEB網站的華麗冒險：HTML5+CSS3+jQuery斜槓青年的網頁設計起手式,https://www.kingstone.com.tw//basic/2013120574878?zone=book&lid=book_class3_lkz&actid=book_class3_lkz,朱庭輝、尤柄文,深石數位  ,9789865005085,https://cdn.kingstone.com.tw/book/images/product/20131/2013120574878/2013120574878b.jpg
操作介面設計模式 第三版,https://www.kingstone.com.tw//basic/2014713608543?zone=book&lid=book_class3_lkz&actid=book_class3_lkz,Jenifer Tidwell,歐萊禮    ,9789865026547,https://cdn.kingstone.com.tw/book/images/product/20147/2014713608543/2014713608543b.jpg
WordPress&網頁設計會遇到的100個問題,https://www.kingstone.com.tw//basic/2013120568969?zone=book&lid=book_class3_lkz&actid=book_class3_lkz,黃英展,博碩文化  ,9789864345373,https://cdn.kingstone.com.tw/book/images/product/20131/2013120568969/2013120568969b.jpg
React 前端開發：同構應用與狀態管理,https://www.kingstone.com.tw//basic/2013120524033?zone=book&lid=book_class3_lkz&actid=book_class3_lkz,侯策、顏海鏡,深石數位  ,9789865004316,https://cdn.kingstone.com.tw/book/images/product/20131/2013120524033/2013120524033b.jpg
Webpack：卓效Web前端開發建置工具強能技術,https://www.kingstone.com.tw//basic/2013120521087?zone=book&lid=book_class3_lkz&actid=book_class3_lkz,吳浩麟,佳魁      ,9789863797791,https://cdn.kingstone.com.tw/book/images/product/20131/2013120521087/2013120521087b.jpg
ThingLink：VR網頁內容輕鬆做,https://www.kingstone.com.tw//basic/2013120519886?zone=book&lid=book_class3_lkz&actid=book_class3_lkz,王妙媛,五南      ,9789577636072,https://cdn.kingstone.com.tw/book/images/product/20131/2013120519886/2013120519886b.jpg
