書名,書籍網站,作者,出版社,ISBN,圖片網址
情境式雲端APP設計：商用雲端APP軟體設計師認證應考指南（使用App Inventor 2）,https://www.kingstone.com.tw//basic/2014713605177?zone=book&lid=book_class3_llz&actid=book_class3_llz,許銘家/温志皓/陳嘉瑩/陳桂芬,碁峰資訊  ,9789865026479,https://cdn.kingstone.com.tw/book/images/product/20147/2014713605177/2014713605177b.jpg
Autodesk AutoCAD電腦繪圖與輔助設計（適用AutoCAD 2017~2020，含國際認證模擬試題）,https://www.kingstone.com.tw//basic/2013120531734?zone=book&lid=book_class3_llz&actid=book_class3_llz,邱聰倚、姚家琦,碁峰資訊  ,9789865023454,https://cdn.kingstone.com.tw/book/images/product/20131/2013120531734/2013120531734b.jpg
電子商務概論實力養成暨評量（第四版）,https://www.kingstone.com.tw//basic/2014713535757?zone=book&lid=book_class3_llz&actid=book_class3_llz,財團法人中華民國電腦技能基金會,碁峰資訊  ,9789864766079,https://cdn.kingstone.com.tw/book/images/product/20147/2014713535757/2014713535757b.jpg
SAS Knowledge Today教學範本,https://www.kingstone.com.tw//basic/2015120008292?zone=book&lid=book_class3_llz&actid=book_class3_llz,SSE Big Data編輯委員會,上奇科技  ,9789863757894,https://cdn.kingstone.com.tw/book/images/product/20151/2015120008292/2015120008292b.jpg
CCNA 200－301 專業認證手冊， Volume 1,https://www.kingstone.com.tw//basic/2014713615404?zone=book&lid=book_class3_llz&actid=book_class3_llz,Wendell Odom,碁峰資訊  ,9789865027803,https://cdn.kingstone.com.tw/book/images/product/20147/2014713615404/2014713615404b.jpg
MOS國際認證應考指南：Microsoft Excel Associate|Exam MO－200,https://www.kingstone.com.tw//basic/2014713614742?zone=book&lid=book_class3_llz&actid=book_class3_llz,王仲麒,碁峰資訊  ,9789865027674,https://cdn.kingstone.com.tw/book/images/product/20147/2014713614742/2014713614742b.jpg
網路架設丙級技能檢定學術科|2021版,https://www.kingstone.com.tw//basic/2014713609335?zone=book&lid=book_class3_llz&actid=book_class3_llz,胡秋明．李成祥,碁峰資訊  ,9789865026998,https://cdn.kingstone.com.tw/book/images/product/20147/2014713609335/2014713609335b.jpg
Java SE8 OCPJP進階認證指南,https://www.kingstone.com.tw//basic/2013120508347?zone=book&lid=book_class3_llz&actid=book_class3_llz,曾瑞君,博碩文化  ,9789864343997,https://cdn.kingstone.com.tw/book/images/product/20131/2013120508347/2013120508347b.jpg
乙級電腦硬體裝修檢定術科解題實作（2019版）,https://www.kingstone.com.tw//basic/2014713579393?zone=book&lid=book_class3_llz&actid=book_class3_llz,胡秋明．林文恭研究室,碁峰資訊  ,9789865021290,https://cdn.kingstone.com.tw/book/images/product/20147/2014713579393/2014713579393b.jpg
APCS C&C++解題高手（2021版）,https://www.kingstone.com.tw//basic/2013120576742?zone=book&lid=book_class3_llz&actid=book_class3_llz,數位新知,上奇科技  ,9789865005115,https://cdn.kingstone.com.tw/book/images/product/20131/2013120576742/2013120576742b.jpg
APCS大學程式設計先修檢測：Python 超效解題致勝祕笈【暢銷回饋版】,https://www.kingstone.com.tw//basic/2013120598270?zone=book&lid=book_class3_llz&actid=book_class3_llz,吳燦銘,博碩文化  ,9789864345526,https://cdn.kingstone.com.tw/book/images/product/20131/2013120598270/2013120598270b.jpg
電腦軟體應用乙級檢定學術科解題教本|2021版,https://www.kingstone.com.tw//basic/2014713615534?zone=book&lid=book_class3_llz&actid=book_class3_llz,林文恭,碁峰資訊  ,9789865027957,https://cdn.kingstone.com.tw/book/images/product/20147/2014713615534/2014713615534b.jpg
Mixcraft數位成音國際認證（Mixcraft Certified Associate Program 官方用書）,https://www.kingstone.com.tw//basic/2013120583603?zone=book&lid=book_class3_llz&actid=book_class3_llz,中華數位音樂科技協會,博碩文化  ,9789864347490,https://cdn.kingstone.com.tw/book/images/product/20131/2013120583603/2013120583603b.jpg
全球物流200講,https://www.kingstone.com.tw//basic/2013120582811?zone=book&lid=book_class3_llz&actid=book_class3_llz,林文恭．吳舜丞,碁峰資訊  ,9789865027759,https://cdn.kingstone.com.tw/book/images/product/20131/2013120582811/2013120582811b.jpg
ERP資訊管理系統：餐飲實務應用|ERP學會認證教材,https://www.kingstone.com.tw//basic/2014713612618?zone=book&lid=book_class3_llz&actid=book_class3_llz,莊玉成．莊高閔．廖棋弘．葉伊庭,碁峰資訊  ,9789865027056,https://cdn.kingstone.com.tw/book/images/product/20147/2014713612618/2014713612618b.jpg
