書名,書籍網站,作者,出版社,ISBN,圖片網址
數位學習導論與實務（第二版）,https://www.kingstone.com.tw//basic/2015214858253?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,黃國禎,博碩文化  ,9789864340620,https://cdn.kingstone.com.tw/book/images/product/20152/2015214858253/2015214858253b.jpg
Hatch 1－2－3（開發板+書）,https://www.kingstone.com.tw//basic/2013120511040?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,智匯通股份有限公司,智匯通    ,4712977744950,https://cdn.kingstone.com.tw/book/images/product/20131/2013120511040/2013120511040b.jpg
DevOps三十六計,https://www.kingstone.com.tw//basic/2014713572509?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,DevOps時代社區,碁峰資訊  ,9789865020330,https://cdn.kingstone.com.tw/book/images/product/20147/2014713572509/2014713572509b.jpg
資訊法,https://www.kingstone.com.tw//basic/2013120416659?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,楊智傑,五南      ,9789571189260,https://cdn.kingstone.com.tw/book/images/product/20131/2013120416659/2013120416659b.jpg
從歷屆MWC大展洞悉行動通訊發展趨勢,https://www.kingstone.com.tw//basic/2014840036318?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,資策會MIC編輯,資訊會MIC ,9789575816094,https://cdn.kingstone.com.tw/book/images/product/20148/2014840036318/2014840036318b.jpg
智慧家庭發展趨勢與應用案例分析,https://www.kingstone.com.tw//basic/2014840036448?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,古亞薇 等作,資訊會MIC ,9789575816025,https://cdn.kingstone.com.tw/book/images/product/20148/2014840036448/2014840036448b.jpg
從歷屆COMPUTEX大展洞悉資通訊發展趨勢,https://www.kingstone.com.tw//basic/2014840036578?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,資策會MIC編輯,資訊會MIC ,9789575816070,https://cdn.kingstone.com.tw/book/images/product/20148/2014840036578/2014840036578b.jpg
從歷屆CES大展洞悉消費性電子發展趨勢,https://www.kingstone.com.tw//basic/2014840036608?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,資策會MIC編輯,資訊會MIC ,9789575816087,https://cdn.kingstone.com.tw/book/images/product/20148/2014840036608/2014840036608b.jpg
數位學習導論與實務,https://www.kingstone.com.tw//basic/2015213513504?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,黃國禎,博碩文化  ,9789862016091,https://cdn.kingstone.com.tw/book/images/product/20152/2015213513504/2015213513504b.jpg
Debugging 中文版：軟體與系統除錯的 66 個具體作法,https://www.kingstone.com.tw//basic/2014713509284?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,Diomidis Spinellis,碁峰資訊  ,9789864762514,https://cdn.kingstone.com.tw/book/images/product/20147/2014713509284/2014713509284b.jpg
國際能源管理系統大廠剖析,https://www.kingstone.com.tw//basic/2014000029723?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,資策會MIC編輯,資訊會MIC ,,https://cdn.kingstone.com.tw/book/images/product/20140/2014000029723/2014000029723b.jpg
處理大數據的必備美工刀 - 全支援中文的正規表示法精解,https://www.kingstone.com.tw//basic/2013120290891?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,余晟,上奇科技  ,9789865714581,https://cdn.kingstone.com.tw/book/images/product/20131/2013120290891/2013120290891b.jpg
蘋果專業訓練教材： OS X Support Essentials,https://www.kingstone.com.tw//basic/2013120240186?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,陳盈潔,上奇科技  ,9789862577011,https://cdn.kingstone.com.tw/book/images/product/20131/2013120240186/2013120240186b.jpg
求職加分！進入IT產業必讀的324個 Java面試決勝題：從求職準備、面試流程、開發心得、重點回顧到經典,https://www.kingstone.com.tw//basic/2013120208414?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,張昆,博碩文化  ,9789862016121,https://cdn.kingstone.com.tw/book/images/product/20131/2013120208414/2013120208414b.jpg
蘋果專業訓練教材OS X Lion Server Essentials,https://www.kingstone.com.tw//basic/2013120211797?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,Arek Dreyer.Ben Greisler,上奇科技  ,9789862574171,https://cdn.kingstone.com.tw/book/images/product/20131/2013120211797/2013120211797b.jpg
多媒體概論(第六版),https://www.kingstone.com.tw//basic/2014713346414?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,鄭苑鳳,博碩文化  ,9789862015865,https://cdn.kingstone.com.tw/book/images/product/20147/2014713346414/2014713346414b.jpg
2012資訊科技概論-含Office 2007應用(雙色印刷/附光碟),https://www.kingstone.com.tw//basic/2014713346704?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,楊榮文,碁峰資訊  ,9789862765098,https://cdn.kingstone.com.tw/book/images/product/20147/2014713346704/2014713346704b.jpg
89S51/52 單晶片與專題製作最佳範本-使用Keil (附範例程式檔案及Keil C軟體),https://www.kingstone.com.tw//basic/2014713308900?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,黃慶璋,台科大    ,9789863080299,https://cdn.kingstone.com.tw/book/images/product/20147/2014713308900/2014713308900b.jpg
Namo WebEditor 2008網頁設計,https://www.kingstone.com.tw//basic/2013210001154?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,洪錦永,台科大    ,9789862382134,https://cdn.kingstone.com.tw/book/images/product/20132/2013210001154/2013210001154b.jpg
世紀末軟體革命復刻版:C++-GUI與物件導向,https://www.kingstone.com.tw//basic/2014712860683?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,劉燈,上奇科技  ,9789867199645,https://cdn.kingstone.com.tw/book/images/product/20147/2014712860683/2014712860683b.jpg
資訊教育(全一冊),https://www.kingstone.com.tw//basic/2014712856068?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,展鵬,松崗      ,9789861257747,https://cdn.kingstone.com.tw/book/images/product/20147/2014712856068/2014712856068b.jpg
輕鬆建立內聯網,https://www.kingstone.com.tw//basic/2013120076587?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,愛博科研究,萬里機構  ,9789621431509,https://cdn.kingstone.com.tw/book/images/product/20131/2013120076587/2013120076587b.jpg
輕鬆架設網站,https://www.kingstone.com.tw//basic/2013120076617?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,愛博科研究,萬里機構  ,9789621431585,https://cdn.kingstone.com.tw/book/images/product/20131/2013120076617/2013120076617b.jpg
Windows XP Registry速查120條,https://www.kingstone.com.tw//basic/2013120076747?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,E,萬里機構  ,9789621431592,https://cdn.kingstone.com.tw/book/images/product/20131/2013120076747/2013120076747b.jpg
資訊教育（一）,https://www.kingstone.com.tw//basic/2014712741760?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,ACE資訊工,松崗      ,9789861255262,https://cdn.kingstone.com.tw/book/images/product/20147/2014712741760/2014712741760b.jpg
資訊教育（二）,https://www.kingstone.com.tw//basic/2014712741500?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,ACE資訊工,松崗      ,9789861255279,https://cdn.kingstone.com.tw/book/images/product/20147/2014712741500/2014712741500b.jpg
ARM韌體教戰手冊-使用Net-Start Lite!&AD,https://www.kingstone.com.tw//basic/2014712735431?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,探矽工作室,學貫      ,9789867693976,https://cdn.kingstone.com.tw/book/images/product/20147/2014712735431/2014712735431b.jpg
Borland JBuilder X實用技術手冊,https://www.kingstone.com.tw//basic/2014712583780?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,Borland台,碁峰資訊  ,9789864214792,https://cdn.kingstone.com.tw/book/images/product/20147/2014712583780/2014712583780b.jpg
GOLD FUION MX應用密技,https://www.kingstone.com.tw//basic/2014712628399?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,淡煙,文魁      ,9789861251271,https://cdn.kingstone.com.tw/book/images/product/20147/2014712628399/2014712628399b.jpg
PRO破報NO.1,https://www.kingstone.com.tw//basic/2013120065918?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,蔡卓軒,電腦人    ,9789867644206,https://cdn.kingstone.com.tw/book/images/product/20131/2013120065918/2013120065918b.jpg
Access 2000電腦技能檢定題庫(MOCC視窗系,https://www.kingstone.com.tw//basic/2015212134908?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,電腦教育發,台科大    ,9789861290119,https://cdn.kingstone.com.tw/book/images/product/20152/2015212134908/2015212134908b.jpg
逆向工程Imageware功能剖析（附範例光碟,https://www.kingstone.com.tw//basic/2013000029078?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,莊峻超,全華      ,9789572139325,https://cdn.kingstone.com.tw/book/images/product/20130/2013000029078/2013000029078b.jpg
ANSYS與電腦輔助工程分析,https://www.kingstone.com.tw//basic/2013000029658?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,龔皇光,全華      ,9789572135891,https://cdn.kingstone.com.tw/book/images/product/20130/2013000029658/2013000029658b.jpg
逆向工程軟體Surfacer使用手冊,https://www.kingstone.com.tw//basic/2013000029788?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,林瑞璋,全華      ,9789572135211,https://cdn.kingstone.com.tw/book/images/product/20130/2013000029788/2013000029788b.jpg
MicroStation J使用手冊（上）附自學及展示,https://www.kingstone.com.tw//basic/2013000030197?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,美商賓特利,全華      ,9789572132890,https://cdn.kingstone.com.tw/book/images/product/20130/2013000030197/2013000030197b.jpg
從活字版到萬維網,https://www.kingstone.com.tw//basic/2013120065468?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,張信剛,香港商務  ,9789620744037,https://cdn.kingstone.com.tw/book/images/product/20131/2013120065468/2013120065468b.jpg
多媒體簡報＜資訊科技5＞,https://www.kingstone.com.tw//basic/2014712450112?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,王緒溢,碁峰資訊  ,9789864210756,https://cdn.kingstone.com.tw/book/images/product/20147/2014712450112/2014712450112b.jpg
文書處理＜資訊科技2＞＜注音版＞,https://www.kingstone.com.tw//basic/2014712450242?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,王緒溢,碁峰資訊  ,9789864210749,https://cdn.kingstone.com.tw/book/images/product/20147/2014712450242/2014712450242b.jpg
BETTRT ENGLISH WITH THE WWW,https://www.kingstone.com.tw//basic/2013120043220?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,KEN KEOBKE,香港商務  ,9789629488192,https://cdn.kingstone.com.tw/book/images/product/20131/2013120043220/2013120043220b.jpg
空間魔法師,https://www.kingstone.com.tw//basic/2014712059926?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,林嘉菊,文魁      ,9789570462128,https://cdn.kingstone.com.tw/book/images/product/20147/2014712059926/2014712059926b.jpg
FUSION A.01世界級的網頁製作工具,https://www.kingstone.com.tw//basic/2013120038363?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,美商溫普敦,美商溫普敦,9789579824217,https://cdn.kingstone.com.tw/book/images/product/20131/2013120038363/2013120038363b.jpg
多媒體法與企業經營手冊,https://www.kingstone.com.tw//basic/2013120038073?zone=book&lid=book_class3_lzz&actid=book_class3_lzz,黛安娜．布,商周出版  ,9789576675737,https://cdn.kingstone.com.tw/book/images/product/20131/2013120038073/2013120038073b.jpg
